"Dur.Simple","Ceil.Simple","StartFY","Term","Action_Obligation_OMB20_GDP18","Count","metric",".group"
"<~1 year","0k - <100k",2007,"Unterminated",15318776615.5864,782821,"Contracts within Period",1
"<~1 year","0k - <100k",2007,"Complete or Partial Termination",37662392.290368,4267,"Contracts within Period",1
"<~1 year","0k - <100k",2008,"Unterminated",15974034403.9792,832895,"Contracts within Period",2
"<~1 year","0k - <100k",2008,"Complete or Partial Termination",38749345.8095642,4430,"Contracts within Period",2
"<~1 year","0k - <100k",2009,"Unterminated",14082049272.0813,744048,"Contracts within Period",3
"<~1 year","0k - <100k",2009,"Complete or Partial Termination",60685115.4927673,5054,"Contracts within Period",3
"<~1 year","0k - <100k",2010,"Unterminated",16464007701.0933,740446,"Contracts within Period",4
"<~1 year","0k - <100k",2010,"Complete or Partial Termination",149747882.07618,7060,"Contracts within Period",4
"<~1 year","0k - <100k",2011,"Unterminated",13528804195.9639,708170,"Contracts within Period",5
"<~1 year","0k - <100k",2011,"Complete or Partial Termination",273194392.897595,8558,"Contracts within Period",5
"<~1 year","0k - <100k",2012,"Unterminated",12753828020.7083,678283,"Contracts within Period",6
"<~1 year","0k - <100k",2012,"Complete or Partial Termination",38808552.2872,4745,"Contracts within Period",6
"<~1 year","0k - <100k",2013,"Unterminated",10790086847.8855,620485,"Contracts within Period",7
"<~1 year","0k - <100k",2013,"Complete or Partial Termination",33584349.4154556,6211,"Contracts within Period",7
"<~1 year","0k - <100k",2014,"Unterminated",12147659671.8414,648003,"Contracts within Period",8
"<~1 year","0k - <100k",2014,"Complete or Partial Termination",25119828.3068105,8760,"Contracts within Period",8
"<~1 year","0k - <100k",2015,"Unterminated",12365749674.9694,2475872,"Contracts within Period",9
"<~1 year","0k - <100k",2015,"Complete or Partial Termination",24541069.6603217,12961,"Contracts within Period",9
"<~1 year","0k - <100k",2016,"Unterminated",13171112491.7252,2916635,"Contracts within Period",10
"<~1 year","0k - <100k",2016,"Complete or Partial Termination",21966184.0016975,18555,"Contracts within Period",10
"<~1 year","0k - <100k",2017,"Unterminated",13034073590.1185,2898596,"Contracts within Period",11
"<~1 year","0k - <100k",2017,"Complete or Partial Termination",14105498.325213,16111,"Contracts within Period",11
"<~1 year","100k - <10m",2007,"Unterminated",62099903675.8601,94586,"Contracts within Period",12
"<~1 year","100k - <10m",2007,"Complete or Partial Termination",596271498.601732,977,"Contracts within Period",12
"<~1 year","100k - <10m",2008,"Unterminated",67355299633.3934,100326,"Contracts within Period",13
"<~1 year","100k - <10m",2008,"Complete or Partial Termination",1919040160.87912,1039,"Contracts within Period",13
"<~1 year","100k - <10m",2009,"Unterminated",65365092254.2186,99719,"Contracts within Period",14
"<~1 year","100k - <10m",2009,"Complete or Partial Termination",1082539367.8086,1335,"Contracts within Period",14
"<~1 year","100k - <10m",2010,"Unterminated",65441119639.972,96855,"Contracts within Period",15
"<~1 year","100k - <10m",2010,"Complete or Partial Termination",679574500.972667,1337,"Contracts within Period",15
"<~1 year","100k - <10m",2011,"Unterminated",56986646575.5541,87631,"Contracts within Period",16
"<~1 year","100k - <10m",2011,"Complete or Partial Termination",548557645.023843,1233,"Contracts within Period",16
"<~1 year","100k - <10m",2012,"Unterminated",51363618439.1516,80756,"Contracts within Period",17
"<~1 year","100k - <10m",2012,"Complete or Partial Termination",696528527.2721,1155,"Contracts within Period",17
"<~1 year","100k - <10m",2013,"Unterminated",43895332109.7483,67853,"Contracts within Period",18
"<~1 year","100k - <10m",2013,"Complete or Partial Termination",390142328.520719,952,"Contracts within Period",18
"<~1 year","100k - <10m",2014,"Unterminated",45019653291.1352,73980,"Contracts within Period",19
"<~1 year","100k - <10m",2014,"Complete or Partial Termination",385587597.806281,1064,"Contracts within Period",19
"<~1 year","100k - <10m",2015,"Unterminated",38634807094.4745,66642,"Contracts within Period",20
"<~1 year","100k - <10m",2015,"Complete or Partial Termination",197458280.099362,923,"Contracts within Period",20
"<~1 year","100k - <10m",2016,"Unterminated",38311448862.9913,68729,"Contracts within Period",21
"<~1 year","100k - <10m",2016,"Complete or Partial Termination",197252323.503395,868,"Contracts within Period",21
"<~1 year","100k - <10m",2017,"Unterminated",35126137344.6112,68804,"Contracts within Period",22
"<~1 year","100k - <10m",2017,"Complete or Partial Termination",163805673.933401,731,"Contracts within Period",22
"<~1 year","10m+",2007,"Unterminated",55865385691.0677,1752,"Contracts within Period",23
"<~1 year","10m+",2007,"Complete or Partial Termination",1619258568.40216,36,"Contracts within Period",23
"<~1 year","10m+",2008,"Unterminated",57884722128.2162,1686,"Contracts within Period",24
"<~1 year","10m+",2008,"Complete or Partial Termination",1599975569.02248,45,"Contracts within Period",24
"<~1 year","10m+",2009,"Unterminated",55374250923.3055,1572,"Contracts within Period",25
"<~1 year","10m+",2009,"Complete or Partial Termination",1940142868.99507,53,"Contracts within Period",25
"<~1 year","10m+",2010,"Unterminated",52872314626.9153,1342,"Contracts within Period",26
