"ProductOrServiceCode","ProductOrServiceCodeText","ProductServiceOrRnDarea","ProductServiceOrRnDarea.sum","Action_Obligation_OMB20_GDP20"
"5120","HAND TOOLS, NONEDGED, NONPOWERED","Other","Products (All)",282138.578784361
"5130","HAND TOOLS, POWER DRIVEN","Other","Products (All)",25505.8827053337
"5140","TOOL AND HARDWARE BOXES","Other","Products (All)",17252.8061524898
"5180","SETS KITS & OUTFITS OF HAND TOOLS","Other","Products (All)",242454.073356831
"5210","MEASURING TOOLS, CRAFTSMEN'S","Other","Products (All)",279536.464537951
"5220","GAGES & PRECISION LAYOUT TOOL","Other","Products (All)",366592.298310269
"5280","SETS, KITS & OUTFITS OF MEASURING T","Other","Products (All)",1825418.15849147
"5325","FASTENING DEVICES","Other","Products (All)",25061.4878850603
"5330","PACKING AND GASKET MATERIALS","Other","Products (All)",5171.27071823204
"5340","HARDWARE","Other","Products (All)",4151635.78021408
"5350","ABRASIVE MATERIALS","Other","Products (All)",119501.936933487
"5355","KNOBS AND POINTERS","Other","Products (All)",4298.36065573771
"5410","PREFABRICATED & PORTABLE BUILDINGS","Other","Products (All)",2052591.85771523
"5411","RIGID WALL SHELTERS","Other","Products (All)",5539.99756483624
"5420","BRIDGES, FIXED AND FLOATING","Other","Products (All)",2920.92
"5430","STORAGE TANKS","Other","Products (All)",331337.378611477
"5440","SCAFFOLDING EQ & CONCRETE FORMS","Other","Products (All)",8303.9368162048
"5445","PREFABRICATED TOWER STRUCTURES","Other","Products (All)",99000.4117964728
"5450","MISC PREFABRICATED STRUCTURES","Other","Products (All)",66703.9038186327
"5510","LUMBER & RELATED WOOD MATERIALS","Other","Products (All)",30710.9636114169
"5530","PLYWOOD AND VENEER","Other","Products (All)",32247.2244966892
"5620","TILE, BRICK AND BLOCK","Other","Products (All)",127744.234585093
"5630","PIPE AND CONDUIT, NONMETALLIC","Other","Products (All)",17746.9428261916
"5640","WALLBOARD BLDG & THERMAL INSULATION","Other","Products (All)",1369.13377056007
"5650","ROOFING AND SIDING MATERIALS","Other","Products (All)",22410.4278057085
"5660","FENCING FENCES & GATES","Other","Products (All)",205065.01003435
"5670","BUILDING COMPONENTS, PREFABRICATED","Other","Products (All)",697422.073228598
"5675","NONWOOD CONSTRUCT MATERIAL","Other","Products (All)",99394.8055175842
"5680","MISC CONTRUCT MATERIALS","Other","Products (All)",350944.082583041
"5805","TELEPHONE AND TELEGRAPH EQUIPMENT","Electronics & Communications","Products (All)",284818973.672782
"5810","COMM SECURITY EQ & COMPS","Electronics & Communications","Products (All)",396518014.903971
"5811","OTHER CRYPTOLOGIC EQ & COMPONENTS","Electronics & Communications","Products (All)",11848584.4542874
"5815","TELETYPE AND FACSIMILE EQUIPMENT","Electronics & Communications","Products (All)",11851976.806145
"5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","Electronics & Communications","Products (All)",80896708.0133459
"5821","RADIO & TV EQ AIRBORNE","Aircraft","Products (All)",60922132.6079601
"5825","RADIO NAVIGATION EQ - EXCEPT AIR","Electronics & Communications","Products (All)",210492.452329649
"5826","RADIO NAVIGATION EQ AIR","Aircraft","Products (All)",12748.9683166084
"5830","INTERCOMM PUBLIC ADDRESS SYS EX AIR","Electronics & Communications","Products (All)",1911288.72576993
"5831","INTERCOMM PUBLIC ADDRESS SYS - AIR","Aircraft","Products (All)",578393.684126786
"5835","SOUND RECORDING & REPRODUCING EQ","Electronics & Communications","Products (All)",6401328.25015247
"5836","VIDEO RECORDING AND REPRODUCING EQU","Electronics & Communications","Products (All)",32447024.776649
"5840","RADAR EQUIPMENT, EXCEPT AIRBORNE","Electronics & Communications","Products (All)",78872.1595290002
"5850","VISIBLE AND INVISIBLE LIGHT COMMUNICATION EQUIPMENT","Electronics & Communications","Products (All)",249673.857546803
"5855","NIGHT VISION EQ","Electronics & Communications","Products (All)",198402.972677596
"5860","STIMULATED COHERENT RADIATION DEV","Electronics & Communications","Products (All)",31042.624580589
"5865","ELEC COUNTERMEASURE & QUICK REAC EQ","Electronics & Communications","Products (All)",1292998.17202147
"5895","MISC COMMUNICATION EQ","Electronics & Communications","Products (All)",1872052895.58459
"5905","RESISTORS","Electronics & Communications","Products (All)",5218.18181818182
"5915","FILTERS AND NETWORKS","Electronics & Communications","Products (All)",197539.135299747
"5920","FUSES ARRESTERS ABORBERS & PROTECTO","Electronics & Communications","Products (All)",11635.3887399464
"5925","CIRCUIT BREAKERS","Electronics & Communications","Products (All)",350062.346645221
"5930","SWITCHES","Electronics & Communications","Products (All)",808649.247810062
"5935","CONNECTORS, ELECTRICAL","Electronics & Communications","Products (All)",875659.234692927
"5950","COILS AND TRANSFORMERS","Electronics & Communications","Products (All)",204048.709739717
"5955","OSCILLATORS AND PIEZOELECTRIC CRYSTALS","Electronics & Communications","Products (All)",8935.00683484528
"5961","SEMI CONDUCTOR DEVICES","Electronics & Communications","Products (All)",4036.76752202221
"5962","MICROCIRCUITS, ELECTRONIC","Electronics & Communications","Products (All)",30649.9336802367
"5963","ELECTRONIC MODULES","Electronics & Communications","Products (All)",358591.154810342
"5965","HEADSET,HANDSET,MICROPHONE & SPEAK","Electronics & Communications","Products (All)",528901.499597482
"5975","ELECTRICAL HARDWARE AND SUPPLIES","Electronics & Communications","Products (All)",4827138.65195743
"5980","OPTOELECTRICAL DEVICES/ASSOC HARDWA","Electronics & Communications","Products (All)",10935.7524543308
"5985","ANTENNAS WAVEGUIDES & RELATED EQ","Electronics & Communications","Products (All)",299680018.601959
"5995","CABLE CORD WIRE ASSEMBLY - COMM EQ","Electronics & Communications","Products (All)",14041529.3201799
"5996","AMPLIFIERS","Electronics & Communications","Products (All)",116155.992600093
"5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE","Electronics & Communications","Products (All)",310567.089494947
"5999","MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS","Electronics & Communications","Products (All)",43231318.6838727
"6010","FIBER OPTIC CONDUCTORS","Electronics & Communications","Products (All)",17570.0066469757
"6015","FIBER OPTIC CABLES","Electronics & Communications","Products (All)",86767086.6972535
"6020","FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES","Electronics & Communications","Products (All)",228107.042029704
"6021","FIBER OPTIC SWITCHES","Electronics & Communications","Products (All)",60194.1467455894
"6026","FIBER OPTIC RECEIVERS","Electronics & Communications","Products (All)",57775.2650816451
"6030","FIBER OPTIC DEVICES","Electronics & Communications","Products (All)",320854.644986947
"6032","FIBER OPTIC LIGHT SOURCES","Electronics & Communications","Products (All)",9233.9190083551
"6060","FIBER OPTIC INTERCONNECTORS","Electronics & Communications","Products (All)",12707.6410576723
"6070","FIBER OPTIC ACCESSORIES & SUPPLIES","Electronics & Communications","Products (All)",669378.791468645
"6080","FIBER OPTIC KITS AND SETS","Electronics & Communications","Products (All)",102054.474159052
"6099","MISC FIBER OPTIC COMPONENTS","Electronics & Communications","Products (All)",32141916.1217333
"6110","ELECTRICAL CONTROL EQUIPMENT","Engines & Power Plants","Products (All)",1173378.4144901
"6115","GENERATORS & GENERATOR SETS ELECT","Engines & Power Plants","Products (All)",798195.917355554
"6120","TRANSFORMERS - DISTRIB & POWER STA","Engines & Power Plants","Products (All)",3598322.26018848
"6125","CONVERTERS, ELECTRICAL, ROTATING","Engines & Power Plants","Products (All)",1239292.85773288
"6130","CONVERTERS, ELECTRICAL, NONROTATING","Engines & Power Plants","Products (All)",776162.182423458
"6135","BATTERIES, NONRECHARGEABLE","Engines & Power Plants","Products (All)",1452706.03185944
"6140","BATTERIES, RECHARGEABLE","Engines & Power Plants","Products (All)",1264162.81652421
"6145","WIRE AND CABLE, ELECTRICAL","Electronics & Communications","Products (All)",7187743.69198745
"6150","MISC ELECTRIC POWER & DISTRIB EQ","Electronics & Communications","Products (All)",24064718.6517843
"6160","MISC BATTERY RET FIXTURES & LINERS","Electronics & Communications","Products (All)",20240.557312253
"6210","INDOOR & OUTDOOR ELEC LIGHTING FIXT","Electronics & Communications","Products (All)",110204.691983006
"6230","ELEC PORTABLE & HAND LIGHTING EQ","Electronics & Communications","Products (All)",44690.2792389302
"6240","ELECTRIC LAMPS","Electronics & Communications","Products (All)",517878.809214696
"6250","BALLASTS, LAMPHOLDERS, AND STARTERS","Electronics & Communications","Products (All)",291649.248552842
"6340","AIRCRAFT ALARM AND SIGNAL SYSTEMS","Aircraft","Products (All)",33439.366062091
"6350","MISC ALARM, SIGNAL, SEC SYSTEMS","Electronics & Communications","Products (All)",19206638.7499232
"6515","MED & SURGICAL INSTRUMENTS,EQ & SUP","Clothing & Subsistence","Products (All)",25552.2311142611
"6530","HOSP FURNITURE,EQ,UTENSILS & SUP","Clothing & Subsistence","Products (All)",58191.7821404319
"6545","MEDICAL SETS KITS & OUTFITS","Clothing & Subsistence","Products (All)",147614.110373603
"6605","NAVIGATIONAL INSTRUMENTS","Other","Products (All)",16492.9622662812
"6615","AUTO PILOT MECHANISMS AIRBORNE GYRO","Aircraft","Products (All)",6265.0457390467
"6625","ELECT ELECTRONIC MEASURING INSTRUMT","Other","Products (All)",10026923.4721273
"6630","CHEMICAL ANALYSIS INSTRUMENTS","Other","Products (All)",358800.642533794
"6635","PHYSICAL PROPERTIES TEST EQ","Other","Products (All)",1495040.89347208
"6636","ENVIRONMENTAL CHAMBERS & RELATED EQ","Other","Products (All)",701939.393939394
"6640","LABORATORY EQUIPMENT AND SUPPLIES","Other","Products (All)",285033.853378567
"6645","TIME MEASURING INSTRUMENTS","Other","Products (All)",69686.5181082367
"6650","OPTICAL INSTRUMENTS","Other","Products (All)",417265.722693221
"6665","HAZARD-DETECTING INSTRU & APPARATUS","Other","Products (All)",187858.827304743
"6670","SCALES AND BALANCES","Other","Products (All)",28617.7137062352
"6675","DRAFTING SURVEYING & MAPPING INSTRU","Other","Products (All)",256959.116748861
"6680","LIQUID AND GAS FLOW, LIQUID LEVEL, AND MECHANICAL MOTION MEASURING INSTRUMENTS","Other","Products (All)",543.04
"6685","PRESSURE TEMP HUMIDITY INSTRUMENTS","Other","Products (All)",1200864.73249787
"6695","COMBINATION & MISC INSTRUMENTS","Other","Products (All)",216601.322301458
"6710","CAMERAS, MOTION PICTURE","Other","Products (All)",740429.04685147
"6720","CAMERAS, STILL PICTURE","Other","Products (All)",240301.073615835
"6730","PHOTOGRAPHIC PROJECTION EQUIPMENT","Other","Products (All)",1203640.31450396
"6740","PHOTO DEVELOPLNG & FINISHING EQ","Other","Products (All)",333952.693569007
"6750","PHOTOGRAPHIC SUPPLIES","Other","Products (All)",1523779.06203456
"6760","PHOTOGRAPHIC EQ & ACCESSORIES","Other","Products (All)",3681354.30555851
"6770","FILM, PROCESSED","Other","Products (All)",49944.5260238212
"6780","PHOTOGRAPHIC SETS KITS & OUTFITS","Other","Products (All)",1013334.09524227
"6830","GASES: COMPRESSED AND LIQUEFIED","Other","Products (All)",590.282092705356
"6910","TRAINING AIDS","Other","Products (All)",16392676.7927647
"6920","ARMAMENT TRAINING DEVICES","Other","Products (All)",67394.4247476761
"6930","OPERATION TRAINING DEVICES","Other","Products (All)",18510.5621195847
"6940","COMMUNICATION TRAINING DEVICES","Other","Products (All)",568052.65667945
"7010","ADPE SYSTEM CONFIGURATION","Electronics & Communications","Products (All)",1513555776.7597
"7020","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), ANALOG","Electronics & Communications","Products (All)",320678502.07899
"7021","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), DIGITAL","Electronics & Communications","Products (All)",251200118.010263
"7022","ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER), HYBRID","Electronics & Communications","Products (All)",209201326.777812
"7025","ADP INPUT/OUTPUT & STORAGE DEVICES","Electronics & Communications","Products (All)",613821894.821376
"7030","ADP SOFTWARE","Electronics & Communications","Products (All)",7268477405.65856
"7035","ADP SUPPORT EQUIPMENT","Electronics & Communications","Products (All)",1528367963.31409
"7040","PUNCHED CARD EQUIPMENT","Electronics & Communications","Products (All)",261144.783476019
"7042","MINI & MICRO COMPUTER CONT DEVICES","Electronics & Communications","Products (All)",26371650.1411009
"7045","ADP SUPPLIES","Electronics & Communications","Products (All)",123953307.867905
"7050","ADP COMPONENTS","Electronics & Communications","Products (All)",1888292130.33434
"7105","HOUSEHOLD FURNITURE","Other","Products (All)",946363.115651287
"7110","OFFICE FURNITURE","Other","Products (All)",84916298.9481009
"7125","CABINETS LOCKERS BINS & SHELVING","Other","Products (All)",6322536.3847075
"7195","MISC FURNITURE & FIXTURES","Other","Products (All)",2026110.67658684
"7210","HOUSEHOLD FURNISHINGS","Other","Products (All)",526356.656156923
"7220","FLOOR COVERINGS","Other","Products (All)",1314295.88636954
"7230","DRAPERIES, AWNINGS, AND SHADES","Other","Products (All)",70981.6633976005
"7290","MISCELLANEOUS HOUSEHOLD AND COMMERCIAL FURNISHINGS AND APPLIANCES","Other","Products (All)",349893.691545739
"7310","FOOD COOKING BAKING SERVING EQ","Other","Products (All)",91437.6880013562
"7320","KITCHEN EQUIPMENT AND APPLIANCES","Other","Products (All)",91992.9531289647
"7330","KITCHEN HAND TOOLS AND UTENSILS","Other","Products (All)",670276.755483586
"7360","SET KIT & OUTFIT FOOD PREP & SERV","Other","Products (All)",34979.2789171458
"7430","TYPEWRITER & OFFICE COMPOSING MACH","Other","Products (All)",1184088.34043833
"7435","OFFICE INFORMATION SYSTEM EQUIPMENT","Other","Products (All)",66485861.1271263
"7450","OFFICE SOUND RECORDING REPRO MACH","Other","Products (All)",267699.645796566
"7460","VISIBLE RECORD EQUIPMENT","Other","Products (All)",329450.668603215
"7490","MISCELLANEOUS OFFICE MACHINES","Other","Products (All)",4316909.65839717
"7510","OFFICE SUPPLIES","Other","Products (All)",14413851.5394131
"7520","OFFICE DEVICES AND ACCESSORIES","Other","Products (All)",2214071.26100272
"7530","STATIONERY AND RECORD FORMS","Other","Products (All)",1508158.67335683
"7540","STANDARD FORMS","Other","Products (All)",1120999.30770893
"7610","BOOKS AND PAMPHLETS","Other","Products (All)",252464.125844556
"7630","NEWSPAPERS AND PERIODICALS","Other","Products (All)",411560.365591099
"7644","DIGITAL MAPS, CHARTS AND GEODETIC PRODUCTS","Other","Products (All)",309781.198946153
"7670","MICROFILM, PROCESSED","Other","Products (All)",4049.68775454792
"7690","MISCELLANEOUS PRINTED MATTER","Other","Products (All)",185199.036673715
"7730","PHONOGRAPH,RADIO & TV-HOME TYPE","Other","Products (All)",752533.935941583
"7735","PARTS AND ACCESSORIES OF PHONOGRAPHS, RADIOS, AND TELEVISION SET: HOME TYPE","Other","Products (All)",45874.606837265
"7740","PHONOGRAPH RECORDS","Other","Products (All)",226700.446904049
"7810","ATHLETIC AND SPORTING EQUIPMENT","Other","Products (All)",893854.697005095
"7830","RECREATIONAL & GYMNASTIC EQ","Other","Products (All)",337127.370402443
"7920","BROOMS, BRUSHES, MOPS, AND SPONGES","Other","Products (All)",94.13
"7930","CLEANING AND POLISHING COMPOUNDS AND PREPARATIONS","Other","Products (All)",5640.94736842105
"8010","PAINT,DOPE,VARNISH & RELATED PROD","Other","Products (All)",11156.7376775272
"8020","PAINT AND ARTISTS' BRUSHES","Other","Products (All)",5658.43062720608
"8030","PRESERVATIVE AND SEALING COMPOUNDS","Other","Products (All)",6156.84535016392
"8105","BAGS AND SACKS","Other","Products (All)",93817.5400488732
"8110","DRUMS AND CANS","Other","Products (All)",523.048668503214
"8115","BOXES, CARTONS, AND CRATES","Other","Products (All)",236781.273797462
"8135","PACKAGING & PACKING BULK MATERIALS","Other","Products (All)",222712.509143717
"8145","SPECIAL SHIPPING & STORAGE CONTAIN","Other","Products (All)",2815867.37887466
"8315","NOTIONS AND APPAREL FINDINGS","Clothing & Subsistence","Products (All)",20405.6290680606
"8335","SHOE FINDINGS AND SOLING MATERIALS","Clothing & Subsistence","Products (All)",16553.4946434037
"8340","TENTS AND TARPAULINS","Clothing & Subsistence","Products (All)",138407.688335861
"8345","FLAGS AND PENNANTS","Clothing & Subsistence","Products (All)",219702.362965694
"8405","OUTERWEAR, MEN'S","Clothing & Subsistence","Products (All)",54993.18845375
"8415","CLOTHING, SPECIAL PURPOSE","Clothing & Subsistence","Products (All)",14125.4752624059
"8425","UNDERWEAR AND NIGHTWEAR, WOMEN'S","Clothing & Subsistence","Products (All)",93424.5934245934
"8430","FOOTWEAR, MEN'S","Clothing & Subsistence","Products (All)",37536.1097737121
"8450","CHILDREN & INFANTS APPAREL & ACC","Clothing & Subsistence","Products (All)",14896.5781078778
"8455","BADGES AND INSIGNIA","Clothing & Subsistence","Products (All)",59658.5764961465
"8460","LUGGAGE","Clothing & Subsistence","Products (All)",65520.9470502789
"8465","INDIVIDUAL EQUIPMENT","Clothing & Subsistence","Products (All)",26708.1099079589
"8470","ARMOR, PERSONAL","Clothing & Subsistence","Products (All)",47152.9259248113
"8540","TOILETRY PAPER PRODUCTS","Clothing & Subsistence","Products (All)",156860.674080509
"8930","JAMS, JELLIES, AND PRESERVES","Clothing & Subsistence","Products (All)",6338175.37766302
"8960","BEVERAGES, NONALCOHOLIC","Clothing & Subsistence","Products (All)",10741.1385606874
"8970","COMPOSITE FOOD PACKAGES","Clothing & Subsistence","Products (All)",11460.4835220896
"8975","TOBACCO PRODUCTS","Clothing & Subsistence","Products (All)",18084.7399242163
"8999","FOOD ITEMS FOR RESALE","Clothing & Subsistence","Products (All)",2481719.85533148
"9140","FUEL OILS","Fuels","Products (All)",1150002.87914783
"9310","PAPER AND PAPERBOARD","Other","Products (All)",22846.3730233732
"9320","RUBBER FABRICATED MATERIALS","Other","Products (All)",453693.084474104
"9330","PLASTICS FABRICATED MATERIALS","Other","Products (All)",8275.83965343139
"9390","MISC FABRICATED NONMETAL MATERIALS","Other","Products (All)",57314.8304686669
"9505","WIRE, NONELECTRICAL","Other","Products (All)",15349.2453492453
"9515","PLATE, SHEET, STRIP, FOIL, AND LEAF","Other","Products (All)",11260.0536193029
"9535","PLATE SHEET STRIP-NONFERROUS METAL","Other","Products (All)",89447.3950513393
"9630","ADDITIVE METAL MATERIALS","Other","Products (All)",23971.1896381254
"9640","IRON & STEEL PRIMARY & SEMIFINISHED","Other","Products (All)",14052.2011752377
"9905","SIGNS, ADVERTISING DISPLAYS, AND IDENTIFICATION PLATES","Other","Products (All)",2162125.12912943
"9910","JEWELRY","Clothing & Subsistence","Products (All)",1261594.72438223
"9915","COLLECTORS AND/OR HISTORICAL ITEMS","Other","Products (All)",5929.03904007349
"9998","NON-FOOD ITEMS FOR RESALE","Other","Products (All)",2203835.7903567
"9999","MISCELLANEOUS ITEMS","Other","Products (All)",1665076313.5065
"AB11","R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (BASIC RESEARCH)","Basic Research (6.1)","R&D",562373.884212931
"AB94","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ENGINEERING DEVELOPMENT)","Advanced Component Development & Prototypes (6.4)","R&D",1694287.15062666
"AC22","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Applied Research (6.2)","R&D",1093439.63152185
"AC26","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",595034.093916033
"AC34","DEFENSE SHIPS (ENGINEERING)","Advanced Component Development & Prototypes (6.4)","R&D",977757.031042696
"AC36","DEFENSE SHIPS (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",384578.067151794
"AC61","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","Basic Research (6.1)","R&D",15203134.6674238
"AC62","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Applied Research (6.2)","R&D",1351160.44682562
"AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)","Advanced Component Development & Prototypes (6.4)","R&D",3889930.34189723
"AC65","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT)","System Development & Demonstration (6.5)","R&D",9322642.17980095
"AC66","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",4464320.92110173
"AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)","Basic Research (6.1)","R&D",102178.449640905
"AD22","R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","Applied Research (6.2)","R&D",1750406.25494576
"AD23","R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT)","Advanced Technology Development (6.3)","R&D",138898517.789648
"AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)","Advanced Component Development & Prototypes (6.4)","R&D",36503721.4032333
"AD25","R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)","System Development & Demonstration (6.5)","R&D",37716024.4238524
"AD26","R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)","PAMS","Services (Non-R&D)",452941614.470245
"AD61","CONSTRUCTION (BASIC)","Basic Research (6.1)","R&D",68208.4887321243
