"NAICS_Code","naics_text","mismatch","exclude","obl","US_rcp","US_pay","EMP","minyear","maxyear","NAICS.display.label"
"11111",NA,"Not tracked: Agriculture","Not in stats",212378.3335,NA,NA,NA,2007,2016,NA
"11112",NA,"Not tracked: Agriculture","Not in stats",46852.2398,NA,NA,NA,2007,2016,NA
"11113",NA,"Not tracked: Agriculture","Not in stats",52944.0298,NA,NA,NA,2007,2016,NA
"11114",NA,"Not tracked: Agriculture","Not in stats",5478290.1363,NA,NA,NA,2008,2016,NA
"11115",NA,"Not tracked: Agriculture","Not in stats",55279.79,NA,NA,NA,2008,2016,NA
"11116",NA,"Not tracked: Agriculture","Not in stats",154086.7001,NA,NA,NA,2007,2015,NA
"11119",NA,"Not tracked: Agriculture","Not in stats",73462.7108,NA,NA,NA,2007,2016,NA
"11121",NA,"Not tracked: Agriculture","Not in stats",83047.4302,NA,NA,NA,2007,2016,NA
"11131",NA,"Not tracked: Agriculture","Not in stats",5366.25,NA,NA,NA,2010,2011,NA
"11132",NA,"Not tracked: Agriculture","Not in stats",2182.01,NA,NA,NA,2015,2015,NA
"11133",NA,"Not tracked: Agriculture","Not in stats",7232490.3501,NA,NA,NA,2007,2016,NA
"11141",NA,"Not tracked: Agriculture","Not in stats",68090.7698,NA,NA,NA,2010,2015,NA
"11142",NA,"Not tracked: Agriculture","Not in stats",5922864.4824,NA,NA,NA,2007,2016,NA
"11192",NA,"Not tracked: Agriculture","Not in stats",24214.1797,NA,NA,NA,2007,2009,NA
"11194",NA,"Not tracked: Agriculture","Not in stats",929736.5693,NA,NA,NA,2007,2016,NA
"11199",NA,"Not tracked: Agriculture","Not in stats",3900025.1717,NA,NA,NA,2007,2016,NA
"11211",NA,"Not tracked: Agriculture","Not in stats",1685527.9084,NA,NA,NA,2009,2016,NA
"11212",NA,"Not tracked: Agriculture","Not in stats",529452.0804,NA,NA,NA,2007,2016,NA
"11221",NA,"Not tracked: Agriculture","Not in stats",1314711.1398,NA,NA,NA,2007,2016,NA
"11232",NA,"Not tracked: Agriculture","Not in stats",52278.5807,NA,NA,NA,2008,2016,NA
"11234",NA,"Not tracked: Agriculture","Not in stats",32508,NA,NA,NA,2014,2016,NA
"11239",NA,"Not tracked: Agriculture","Not in stats",52486.1001,NA,NA,NA,2007,2013,NA
"11241",NA,"Not tracked: Agriculture","Not in stats",15235,NA,NA,NA,2007,2007,NA
"11242",NA,"Not tracked: Agriculture","Not in stats",8103151.7442,NA,NA,NA,2007,2016,NA
"11251",NA,"Not tracked: Agriculture","Not in stats",6893052.0687,NA,NA,NA,2007,2016,NA
"11291",NA,"Not tracked: Agriculture","Not in stats",270896.4502,NA,NA,NA,2007,2011,NA
"11292",NA,"Not tracked: Agriculture","Not in stats",347107.5205,NA,NA,NA,2007,2016,NA
"11293",NA,"Not tracked: Agriculture","Not in stats",532649.7859,NA,NA,NA,2007,2016,NA
"11299",NA,"Not tracked: Agriculture","Not in stats",29824629.6396,NA,NA,NA,2007,2016,NA
"11311","Timber Tract Operations","Not tracked: Agriculture","Not in stats",1371365.1669,NA,NA,NA,2007,2016,NA
"11321","Forest Nurseries and Gathering of Forest Products","Not tracked: Agriculture","Not in stats",2788126.5214,NA,NA,NA,2007,2016,NA
"11331","Logging","Not tracked: Agriculture","Not in stats",12903311.4255,NA,NA,NA,2007,2016,NA
"11411","Fishing","Not tracked: Agriculture","Not in stats",6968708.5776,NA,NA,NA,2007,2016,NA
"11421","Hunting and Trapping","Not tracked: Agriculture","Not in stats",4711925.8452,NA,NA,NA,2007,2016,NA
"11511","Support Activities for Crop Production","Not tracked: Agriculture","Not in stats",51378588.8105,NA,NA,NA,2007,2016,NA
