"","ContractingCustomer","ContractingSubCustomer","SumOfobligatedAmount"
"1","Defense","Air Force",205392901718.218
"2","Defense","Army",284472654661.251
"3","Defense","DISA",87030528263.4325
"4","Defense","DLA",37528081828.2989
"5","Defense","MilitaryHealth",5073937681.3647
"6","Defense","Navy",248489373228.368
"7","Defense","Other DoD",50651687159.8436
"8","Defense",NA,401586
"9","DHS","CBP",18698721969.786
"10","DHS","COAST GUARD",10121346290.7892
"11","DHS","FEMA",5137968699.9596
"12","DHS","ICE",5992645421.0572
"13","DHS","OPO",11757275232.6868
"14","DHS","Other DHS",9804805786.3157
"15","DHS","TSA",14679202527.7509
"16","Energy","Energy",6730663021.9257
"17","GSA","GSA",80910018108.2453
"18","HHS","HHS",65471912391.3928
"19","NASA","NASA",19748484106.9084
"20","NATIONAL ENDOWMENT FOR THE HUMANITIES",NA,3198385.1253
"21","Other Agencies","Agriculture",15203249582.8642
"22","Other Agencies","All Other Customers",17724629551.8433
"23","Other Agencies","Archives",1417228354.1608
"24","Other Agencies","BROADCASTING BOARD OF GOVERNORS",1070975587.0292
"25","Other Agencies","Commerce",21801151542.3096
"26","Other Agencies","COMMISSION ON CIVIL RIGHTS",157471.5401
"27","Other Agencies","COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND O",1342759.5504
"28","Other Agencies","COMMODITY FUTURES TRADING COMMISSION",511831779.3475
"29","Other Agencies","Comptroller",228336719.8281
"30","Other Agencies","CONSUMER PRODUCT SAFETY COMMISSION",215118772.8554
"31","Other Agencies","CORPORATION FOR NATIONAL AND COMMUNITY SERVICE",203550122.2279
"32","Other Agencies","COURT SERVICES AND OFFENDER SUPERVISION AGENCY",175374779.9299
"33","Other Agencies","DEFENSE NUCLEAR FACILITIES SAFETY BOARD",18166516.5111
"34","Other Agencies","Education",7002416736.1927
"35","Other Agencies","ELECTION ASSISTANCE COMMISSION",672676.4408
"36","Other Agencies","EPA",4081017981.0004
"37","Other Agencies","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION",219037068.173
"38","Other Agencies","Exec Office",887315786.8699
"39","Other Agencies","FEDERAL ELECTION COMMISSION",134501229.0408
"40","Other Agencies","FEDERAL HOUSING FINANCE AGENCY",7087768.0963
"41","Other Agencies","FEDERAL HOUSING FINANCE BOARD",328484.2202
"42","Other Agencies","FEDERAL LABOR RELATIONS AUTHORITY",7877234.8082
"43","Other Agencies","FEDERAL MARITIME COMMISSION",19604463.4256
"44","Other Agencies","FEDERAL TRADE COMMISSION",560337245.955
"45","Other Agencies","HUD",4841276463.1915
"46","Other Agencies","Interior",21892117047.0229
"47","Other Agencies","INTERNATIONAL TRADE COMMISSION",110755672.5695
"48","Other Agencies","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS",9785261.5187
"49","Other Agencies","Justice",34153361634.5721
"50","Other Agencies","Labor",5915944346.5851
"51","Other Agencies","MERIT SYSTEMS PROTECTION BOARD",20475090.36
"52","Other Agencies","NATIONAL CAPITAL PLANNING COMMISSION",4362538.5285
"53","Other Agencies","NATIONAL ENDOWMENT FOR THE ARTS",18607064.8046
"54","Other Agencies","NATIONAL ENDOWMENT FOR THE HUMANITIES",15477523.1158
"55","Other Agencies","NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES",8569369.7402
"56","Other Agencies","NATIONAL GALLERY OF ART",88010236.934
"57","Other Agencies","NATIONAL LABOR RELATIONS BOARD",403998644.8266
"58","Other Agencies","NATIONAL MEDIATION BOARD",26759.1796
"59","Other Agencies","NATIONAL SCIENCE FOUNDATION",1609395754.3562
"60","Other Agencies","NATIONAL TRANSPORTATION SAFETY BOARD",63933642.3801
"61","Other Agencies","NUCLEAR REGULATORY COMMISSION",1821275394.7992
"62","Other Agencies","OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION",2643209.6768
"63","Other Agencies","OFFICE OF PERSONNEL MANAGEMENT",3066641663.3487
"64","Other Agencies","OFFICE OF SPECIAL COUNSEL",334549.4914
"65","Other Agencies","RAILROAD RETIREMENT BOARD",180651718.597
"66","Other Agencies","SECURITIES AND EXCHANGE COMMISSION",3204831458.9785
"67","Other Agencies","SELECTIVE SERVICE SYSTEM",16680150.6127
"68","Other Agencies","SMALL BUSINESS ADMINISTRATION",1111441739.9687
"69","Other Agencies","SMITHSONIAN INSTITUTION",553674129.5316
"70","Other Agencies","Transportation",24583331512.3935
"71","Other Agencies","Treasury",38175854252.4653
"72","Other Agencies",NA,211588895.1376
"73","State and IAP","MILLENNIUM CHALLENGE CORPORATION",231565885.3892
"74","State and IAP","OVERSEAS PRIVATE INVESTMENT CORPORATION",93439714.1903
"75","State and IAP","PEACE CORPS",290466001.5207
"76","State and IAP","State",24530856900.7755
"77","State and IAP","USAID",1997002108.5327
"78","State and IAP",NA,11711895.4835
"79","UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CO",NA,12910517.2619
"80","VA","VA",47819665810.5097
"81",NA,NA,5893162.3928
