"CalendarYear","exclude","NAICS_Code","naics_text","def5_mismatch","def5_obl","def5_period_obl","US5_rcp","def5_ratio","OPTAX.display.label","US5_pay","US5_emp","US5_avg_sal","def5_cont_count","US5_estab","def5_hh_index","def5_top4","def5_top8","def5_top12","def5_top20","def5_top50"
2007,"No","21111","Oil and gas extraction",NA,57698168.382,57698168.382,255104849000,0.000226174330312318,"Total",9593816000,"150443",63770.4379731859,48,"6260",1282.66248207565,0.647148073840227,0.832071575614685,0.930366462873023,0.995945143104279,1
2007,"No","21211","Coal mining",NA,1981566.7895,1981566.7895,34261466000,5.78366024822172e-05,"Total",4767887000,"77435",61572.7642538904,2,"1034",8670.80267912769,1,1,1,1,1
2007,"No","21221","Iron ore mining",NA,912,912,2953963000,3.08737787169304e-07,"Total",381492000,"4985",76527.9839518556,2,"20",9761.68147891659,1,1,1,1,1
2007,"No","21222","Gold ore and silver ore mining",NA,-3000,-3000,6127688000,-4.89581062221184e-07,"Total",851676000,"12012",70902.0979020979,1,"126",0,0,0,0,0,0
2007,"No","21223","Copper, nickel, lead, and zinc mining",NA,-17870.99,-17870.99,11386565000,-1.56948034811201e-06,"Total",795077000,"13148",60471.326437481,2,"49",0,0,0,0,0,0
2007,"No","21229","Other metal ore mining",NA,-12778,-12778,3199232000,-3.99408358005921e-06,"Total",327014000,"4859",67300.6791520889,8,"55",3624.12152651561,0.968352128046562,1,1,1,1
2007,"No","21231","Stone mining and quarrying",NA,16674613.8624,16674613.8624,15169461000,0.0010992225671301,"Total",2386099000,"53827",44329.035614097,145,"2653",425.393181914483,0.345833661673371,0.4924346897554,0.573231235241193,0.705246678324652,0.929542221031931
2007,"No","21232","Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",NA,9200624.7813,9200624.7813,8937290000,0.00102946472379211,"Total",1524739000,"34723",43911.4995824094,116,"2265",604.419540755369,0.401128963610866,0.625872282862189,0.739959272644126,0.83110333141041,0.958540451665539
2007,"No","21239","Other nonmetallic mineral mining and quarrying",NA,1830006,1830006,3819587000,0.00047911096147306,"Total",589704000,"10388",56767.8090103966,26,"270",1715.8212417975,0.761197421238026,0.92304625134026,0.975596473893121,0.999241861895422,1
2007,"No","21311","Support activities for mining",NA,2674505.5183,2674505.5183,72564630000,3.68568752889665e-05,"Total",19469968000,"368613",52819.5370212119,68,"9935",794.166228347185,0.462975879140357,0.681256083744819,0.802580475696003,0.911285511619589,0.99865863510567
