"ProductServiceOrRnDarea","type","2015","2016","2017","2018","2019","2020","2021","2022"
"Advanced Component Development & Prototypes (6.4)","contract",654242510.960205,776401251.82314,1244316218.4698,2527462580.21515,3981841615.07867,3979743697.72177,4463494874.38,2880101678.96914
"Advanced Component Development & Prototypes (6.4)","OTA",654242510.960205,776401251.82314,1244316218.4698,2527462580.21515,3981841615.07867,3979743697.72177,4463494874.38,2880101678.96914
"Advanced Technology Development (6.3)","contract",21912044.4115817,230216205.676975,367444595.357246,455880956.320381,630709448.985718,8244165242.73992,3674693281.51,3029294327.18607
"Advanced Technology Development (6.3)","OTA",21912044.4115817,230216205.676975,367444595.357246,455880956.320381,630709448.985718,8244165242.73992,3674693281.51,3029294327.18607
"Applied Research (6.2)","contract",82318414.52985,297708440.026194,353684014.186337,414037984.206592,1033165502.38116,1932236993.12505,1882828516.79,1527373882.14598
"Applied Research (6.2)","OTA",82318414.52985,297708440.026194,353684014.186337,414037984.206592,1033165502.38116,1932236993.12505,1882828516.79,1527373882.14598
"Basic Research (6.1)","contract",12282749.6663137,9740514.12970127,50172729.5531361,98360340.62539,338976101.788283,513073273.122682,709075131.4,630340540.543844
"Basic Research (6.1)","OTA",12282749.6663137,9740514.12970127,50172729.5531361,98360340.62539,338976101.788283,513073273.122682,709075131.4,630340540.543844
"Operational Systems Development (6.7)","contract",NA,NA,2051815.99924083,3704121.96676063,434854.755459737,16294685.6145876,400529,649969.846334827
"Operational Systems Development (6.7)","OTA",NA,NA,2051815.99924083,3704121.96676063,434854.755459737,16294685.6145876,400529,649969.846334827
"System Development & Demonstration (6.5)","contract",1530582.10290018,1978555.1198284,2707392.13899826,32483100.1703027,810216106.233908,510573543.279671,612503205.61,333894965.712708
"System Development & Demonstration (6.5)","OTA",1530582.10290018,1978555.1198284,2707392.13899826,32483100.1703027,810216106.233908,510573543.279671,612503205.61,333894965.712708
