"OfficeSum","DISAprodserv.sum","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Telecomm Div.","Professional, Administrative,
and Managerial Services",0.0604824546056204,0.0480208876400527,0.0709269120728967,0.0572393462244315,0.0169217901861683,0.021352339646726,0.0247761596333691,0.018881151021762,0.0138002232727064,0.00453295974743489,0.00470085842920354,0.0377195346768306,0.0436267459626421,0.047076531157307,0.048389555201853,0.0159630208446077,0.0253481553231
"Telecomm Div.","Information & Communication
Technology Services",2.96644190476622,3.82230721268248,3.70752485714618,3.44584649870088,1.19049730447047,1.21659646829622,1.48993607764781,1.69104669017609,1.50848505037433,1.35521377432304,1.07527715035918,0.942798731435738,1.19511958833286,1.70524739355626,1.27981963474464,1.1216795831307,2.0278100065315
"Telecomm Div.","Other Services and R&D",,0.00100013043478261,0.00339350673739308,0.00150728018528644,0.000261703397053452,,,,,,,,,0,0,,
"Telecomm Div.","Software as a Product",0.067785015442574,0.0313054229249012,0.121161418838631,0.169202206168386,0.0199917404640205,0.0206424401812711,0.00993480317197756,0.0325311276284076,0.00276887763382708,0.00055205837185703,0.000335572909292035,0.000314994481202186,8.8898754737412e-05,,0.00419870362731626,0.000241542476584022,0
"Telecomm Div.","Other Products",0.299528038284008,0.223095733860343,0.163361764256351,0.190553175564061,0.0500938858986972,0.00312787734713529,0.0311917578120301,0.00123259985234585,0.00265256626937651,0.00499034196989514,0.00435550363207965,0.00596928643584699,0.00173167740216567,0.000470955926611359,0.00155537183198001,0.000270234485256606,0.0025373373863
"Telecomm Div.","Unlabeled",,,0.00211246265798545,,,,,,,,,,,,,,
"IT Contracting PL83","Professional, Administrative,
and Managerial Services",,,,-9.50664844041258e-06,0.0247649074641422,0.0669564093040443,0.168690571577754,0.145972183852229,0.164632996172465,0.17182535331176,0.265671748111394,0.279430826117049,0.336033440902761,0.349408780721974,0.409065577673537,0.403017471360882,0.567081418263
"IT Contracting PL83","Information & Communication
Technology Services",,,,-0.0168671703048341,1.86636698462925,2.48968333369475,2.71163865977694,2.68382258095648,2.95500883169021,1.9341065674642,2.2924532902344,1.98060765972153,2.22025193629702,2.24135789842023,2.15719615263127,1.78359347457698,1.6707579212956
"IT Contracting PL83","Other Services and R&D",,,,0,0.00296001350176549,0.00575071835435725,0.00253293646151092,0.00703910996209196,0.017968316982432,0.025941983605818,0.0176168000103982,0.0288688681001093,0.030268063151922,0.0357534031312487,0.0491125459278576,0.0713780233317008,0.0776883487445
"IT Contracting PL83","Software as a Product",,,,,0.177126124031779,0.225633254692706,0.197566599748299,0.243953582807184,0.272045917872086,0.395430140453941,0.543408519247788,0.654895400177705,0.642512615563075,0.823906899034992,0.433698341962523,0.0917455725232119,0.0997591122563
