"ProjectAbbreviation","ProjectName","ProjectPlatform","Fiscal.Year","Action_Obligation"
"100","GPALS (SDS) ","Missile Defense",2006,33433.3438
"100","GPALS (SDS) ","Missile Defense",2007,362043.2266
"100","GPALS (SDS) ","Missile Defense",2008,5270776.9277
"100","GPALS (SDS) ","Missile Defense",2009,76411.9297
"100","GPALS (SDS) ","Missile Defense",2010,139907.9063
"100","GPALS (SDS) ","Missile Defense",2011,131874.3438
"101","H-1 UPGRADE ","Aircraft",2004,2434804
"101","H-1 UPGRADE ","Aircraft",2005,52987
"101","H-1 UPGRADE ","Aircraft",2006,1135683
"101","H-1 UPGRADE ","Aircraft",2007,3537858
"101","H-1 UPGRADE ","Aircraft",2008,0
"101","H-1 UPGRADE ","Aircraft",2011,349582.0313
"101","H-1 UPGRADE ","Aircraft",2012,0
"101","H-1 UPGRADE ","Aircraft",2013,0
"103","E-3A ","Electronics, Comms, & Sensors",1997,27343
"103","E-3A ","Electronics, Comms, & Sensors",2006,44866
"103","E-3A ","Electronics, Comms, & Sensors",2007,-825.58
"103","E-3A ","Electronics, Comms, & Sensors",2012,147238.9063
"103","E-3A ","Electronics, Comms, & Sensors",2013,80869.1
"103","E-3A ","Electronics, Comms, & Sensors",2014,0
"104","EF-111A ","Aircraft",2007,-50636.1016
"105","AN/BQS-13 ","Ships & Submarines",2007,1914183.875
"105","AN/BQS-13 ","Ships & Submarines",2010,9248.1299
"105","AN/BQS-13 ","Ships & Submarines",2011,830907
"105","AN/BQS-13 ","Ships & Submarines",2012,0
"105","AN/BQS-13 ","Ships & Submarines",2013,0
"105","AN/BQS-13 ","Ships & Submarines",2014,-4881
"106","PATRIOT ","Missile Defense",2004,-7664
"106","PATRIOT ","Missile Defense",2005,0
"106","PATRIOT ","Missile Defense",2006,545590
"106","PATRIOT ","Missile Defense",2007,339186911.8996
"106","PATRIOT ","Missile Defense",2008,774593630.2636
"106","PATRIOT ","Missile Defense",2009,2411545050.5789
"106","PATRIOT ","Missile Defense",2010,3093567124.9184
"106","PATRIOT ","Missile Defense",2011,3543625368.9727
"106","PATRIOT ","Missile Defense",2012,2391815511.2453
"106","PATRIOT ","Missile Defense",2013,2089190450.0281
"106","PATRIOT ","Missile Defense",2014,1167891356.23
"106","PATRIOT ","Missile Defense",2015,695863642.4823
"106","PATRIOT ","Missile Defense",2016,333641882.2051
"106","PATRIOT ","Missile Defense",2017,52715937.5805
"106","PATRIOT ","Missile Defense",2018,-28843688.2066
"106","PATRIOT ","Missile Defense",2019,-36491160.0334
