,NASbioEconomyPretty,BioTechCustomer,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,"Bioeconomy
R&D services",HHS," 123,078,079 "," 606,881,172 "," 808,108,822 "," 1,219,627,074 "," 1,076,836,293 "," 967,100,035 "," 1,030,412,060 "," 1,567,469,817 "," 1,472,669,434 "," 1,722,321,931 "," 2,066,228,994 "," 2,448,345,712 "," 1,689,345,153 "," 1,879,125,106 "," 1,752,362,646 "," 2,055,858,020 "," 1,953,340,863 "," 2,061,832,980 "," 1,681,999,927 "," 2,268,525,648 "," 3,884,484,946 "
2,Biologics (enzymes),HHS, -   ," 66,426,003 "," 115,049,357 "," 191,594,065 "," 157,987,974 "," 1,923,724,200 "," 4,506,208,826 "," 5,715,481,414 "," 2,562,225,576 "," 1,753,711,243 "," 675,012,599 "," 3,994,967,937 "," 2,268,378,957 "," 977,539,540 "," 735,056,448 "," 332,816,505 "," 567,467,932 "," 1,002,939,402 "," 428,958,412 "," 2,481,470,034 "," 1,414,646,173 "
3,"Biopharmaceuticals
/Other pharmaceuticals",HHS, -   ," 7,740,544 "," 141,400,057 "," 49,759,523 "," 45,637,367 "," 12,532,860 "," 406,107,194 "," 6,303,682 "," 1,094,074,342 "," 3,853,694,667 "," 3,868,232,123 "," 1,432,121,662 "," 3,022,344,623 "," 4,596,192,508 "," 4,260,914,850 "," 4,260,661,259 "," 4,453,520,446 "," 2,545,669,833 "," 773,712,636 "," 1,864,110,758 "," 1,383,748,360 "
4,"Electromedical
instruments",HHS," 7,847,784 "," 53,408,601 "," 64,434,537 "," 109,450,314 "," 76,726,835 "," 105,513,202 "," 100,592,270 "," 109,039,465 "," 153,389,932 "," 204,357,258 "," 255,943,569 "," 183,764,718 "," 209,264,398 "," 194,040,758 "," 241,693,445 "," 209,729,513 "," 232,775,620 "," 254,324,719 "," 244,095,208 "," 254,572,985 "," 758,097,493 "
5,"Surgical and
Medical Equipment",HHS," 889,151 "," 2,302,603 "," 3,472,537 "," 13,879,530 "," 4,318,768 "," 20,405,852 "," 19,122,638 "," 17,573,462 "," 10,867,787 "," 72,178,291 "," 41,665,244 "," 33,938,657 "," 29,399,879 "," 28,938,497 "," 52,026,995 "," 82,982,139 "," 70,931,827 "," 74,178,187 "," 58,357,965 "," 62,602,390 "," 1,422,919,799 "
6,"Bioeconomy
R&D services",Energy, NA ," 71,911 ", NA , NA , NA , NA , NA ," 15,161 "," 1,922,005 "," 1,098,697,770 "," 618,058,644 "," 431,541,040 "," 372,445,605 "," 398,883,291 "," 382,208,523 "," 366,944,321 "," 425,218,265 "," 452,605,048 "," 518,076,327 "," 467,907,904 "," 574,809,758 "
7,Biologics (enzymes),Energy, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ," 5,491 ", NA , NA , NA , NA , NA , NA , NA 
8,"Biopharmaceuticals
/Other pharmaceuticals",Energy, NA , NA , NA , NA , NA , NA , NA ," 4,847 "," 8,675 ", NA , NA , NA , NA , NA , NA ," 43,091 ", NA , -   , -   , -   , NA 
9,"Electromedical
instruments",Energy," 9,548,256 "," 2,074,070 "," 2,966,561 "," 5,600,441 "," 8,231,780 "," 6,083,364 "," 11,006,936 "," 4,965,372 "," 14,381,816 "," 37,846,460 "," 8,700,395 "," (7,385,963)"," (247,786)"," 3,275,712 "," 7,118,525 "," 9,381,605 "," 15,295,788 "," 6,622,224 "," 12,892,254 "," 17,798,409 "," 16,931,853 "
10,"Surgical and
Medical Equipment",Energy, NA , NA , NA ," 28,820 ", NA ," 4,466 "," 40,295 "," 30,575 "," 4,707 "," 60,293 "," 21,072 ", NA ," 24,952 "," 11,839 "," 12,582 "," 32,556 ", NA ," 5,086 "," 5,897 "," 3,207 "," 159,168 "
11,"Bioeconomy
R&D services",VA, NA ," 4,165,109 "," 4,941,492 "," 7,870,107 "," 1,622,288 "," 2,726,543 "," 3,711,808 "," 4,063,657 "," 3,988,324 "," 7,331,103 "," 11,544,824 "," 18,088,381 "," 22,729,746 "," 47,188,276 "," 20,844,782 "," 24,086,967 "," 38,532,226 "," 20,212,024 "," 22,547,873 "," 16,593,316 "," 9,675,119 "
12,Biologics (enzymes),VA," 136,934 "," 9,502,373 "," 8,025,198 "," 6,032,236 "," 1,967,924 "," 2,255,595 "," 1,456,111 "," 3,795,572 "," 4,769,301 "," 12,903,693 "," 5,262,150 "," 6,527,945 "," 6,257,413 "," 5,298,978 "," 1,107,476 "," 1,301,409 "," 4,575,099 "," 7,025,949 "," 13,917,228 "," 5,647,037 "," 7,027,720 "
13,"Biopharmaceuticals
/Other pharmaceuticals",VA," 1,523,627 "," 267,702,256 "," 956,585,570 "," 3,325,672,807 "," 207,225,299 "," 265,522,534 "," 270,163,111 "," 262,201,919 "," 180,241,935 "," 105,978,258 "," 154,533,133 "," 195,188,237 "," 1,807,817,535 "," 4,361,412,942 "," 4,864,915,372 "," 6,582,849,160 "," 6,179,704,765 "," 6,092,906,777 "," 6,300,556,838 "," 6,818,892,754 "," 6,807,899,238 "
14,"Electromedical
instruments",VA," 3,472,692 "," 26,791,313 "," 27,421,669 "," 42,435,535 "," 93,988,280 "," 231,811,554 "," 476,026,059 "," 304,879,451 "," 333,006,471 "," 824,471,158 "," 956,897,718 "," 911,450,722 "," 1,016,112,305 "," 1,442,717,758 "," 1,611,993,665 "," 1,178,042,681 "," 1,207,500,000 "," 1,129,251,648 "," 1,391,746,640 "," 1,292,429,547 "," 1,147,890,778 "
15,"Surgical and
Medical Equipment",VA," 43,570,694 "," 245,958,484 "," 117,964,326 "," 216,050,072 "," 202,555,839 "," 436,399,273 "," 798,043,386 "," 983,486,788 "," 1,030,472,953 "," 685,546,299 "," 637,216,300 "," 848,206,964 "," 817,136,068 "," 1,014,113,037 "," 707,676,995 "," 802,418,242 "," 1,170,066,803 "," 1,306,959,063 "," 1,217,494,911 "," 1,222,078,625 "," 1,321,356,789 "
16,"Bioeconomy
R&D services",Defense, -   ," 81,515,320 "," 311,705,978 "," 384,968,106 "," 246,034,282 "," 355,513,063 "," 361,774,556 "," 357,651,429 "," 675,880,163 "," 744,722,939 "," 731,979,466 "," 808,903,250 "," 694,239,653 "," 663,964,515 "," 712,124,412 "," 651,952,791 "," 585,645,581 "," 608,789,451 "," 615,325,775 "," 604,915,128 "," 709,310,194 "
17,Biologics (enzymes),Defense, NA ," 10,157,184 "," 42,281,856 "," 44,376,940 "," 47,924,574 "," 200,064,221 "," 88,570,049 "," 15,577,453 "," 32,597,314 "," 51,645,144 "," 7,675,775 "," 15,436,177 "," 10,970,576 "," 2,458,331 "," 7,244,830 "," 5,186,796 "," 3,266,827 "," 4,351,435 "," 57,091,207 "," 38,625,362 "," 36,476,727 "
