Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2024,1,Defense,Air Force,Electronics & Communications,Aircraft,FALSE,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Large: Big 5,TRUE,N,N,NA,2017,FALSE,2015,>7-12 Months,>2-4 Years,1,0,NA,1,2024-01-01,2024.1,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Air Force,Big Five,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2022,2,Defense,Army,FRS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Unlabeled,TRUE,N,N,NA,2023,FALSE,2023,>2-4 Years,>2-4 Years,1,36296,NA,1,2022-01-01,2022.2,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Unlabeled,37956.41840190746,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2010,NA,Defense,Army,ERS,Land Vehicles,NA,NA,BPA,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,FALSE,Y,N,X,2009,FALSE,2009,<=2 Months,<=2 Months,1,0,NA,1,2010-01-01,2010,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Army,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2000,NA,Defense,Army,ICT,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Large (Small Subsidiary),FALSE,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,2000-01-01,2000,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Army,Large,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2023,3,Defense,MDA,Experimental Development,Missile Defense,FALSE,NA,DCA,No Competition (Only One Source Exception),No competition,Other CB,R,Large: Big 5,TRUE,N,Y,Y,2024,FALSE,2024,>4 years,>4 years,4,8809180,-22239502,4,2023-01-01,2023.3,Full Year,Other DoD,MDA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Missile Defense,MDA,Big Five,8809180,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2015,NA,Defense,Air Force,Aircraft,Aircraft,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,Other CB,S,Large,TRUE,N,N,Y,2015,FALSE,2010,>7-12 Months,>4 years,1,0,NA,1,2015-01-01,2015,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,Products,Products (All),Products (All),Aircraft,Air Force,Large,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2011,NA,Defense,DLA,Other,Other Products,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Small,FALSE,N,N,NA,2011,NA,2011,>2-7 Months,>2-7 Months,7,35655.6299,NA,7,2011-01-01,2011,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,DLA,Small,47578.51710404729,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2014,NA,Defense,Army,Other,Other Products,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,FALSE,N,Y,NA,2014,NA,2014,<=2 Months,<=2 Months,1,2800,NA,1,2014-01-01,2014,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Army,Medium,3539.7265949311154,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2013,NA,Defense,Air Force,Aircraft,Aircraft,FALSE,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,R,Large: Big 5,TRUE,N,N,Y,2010,FALSE,1900,NA,>4 years,1,0,NA,1,2013-01-01,2013,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,Products,Products (All),Products (All),Aircraft,Air Force,Big Five,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2011,NA,Defense,Navy,Clothing & Subsistence,Other Products,NA,NA,FSS,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,Y,N,X,2009,FALSE,2009,>7-12 Months,>7-12 Months,1,-23343.9199,NA,1,2011-01-01,2011,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Navy,Medium,-31149.89400980012,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,PO,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Small,FALSE,N,N,X,2006,FALSE,1900,NA,<=2 Months,1,3090,NA,1,2006-01-01,2006,Full Year,Air Force,Air Force,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Air Force,Small,4495.24847871481,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
