"NAICS_Code","naics_text","mismatch","obl","minyear","maxyear"
"1111",NA,"Not tracked: Agriculture",144322.9,2007,2012
"1112",NA,"Not tracked: Agriculture",8175.1802,2007,2012
"1113",NA,"Not tracked: Agriculture",7309233,2007,2012
"1114",NA,"Not tracked: Agriculture",190480.7687,2007,2012
"1119",NA,"Not tracked: Agriculture",375906.2196,2007,2012
"1121",NA,"Not tracked: Agriculture",300116.8195,2007,2012
"1122",NA,"Not tracked: Agriculture",384380,2007,2012
"1123",NA,"Not tracked: Agriculture",11100,2007,2012
"1124",NA,"Not tracked: Agriculture",1291794.5,2007,2012
"1125",NA,"Not tracked: Agriculture",1829910.0388,2007,2012
"1129",NA,"Not tracked: Agriculture",4743080.3907,2007,2012
"1131","Timber Tract Operations","Not tracked: Agriculture",296609.1856,2007,2012
"1132","Forest Nurseries and Gathering of Forest Products","Not tracked: Agriculture",431620.6626,2007,2012
"1133","Logging","Not tracked: Agriculture",2168308.0307,2007,2012
"1141","Fishing","Not tracked: Agriculture",916564.5527,2007,2012
"1142","Hunting and Trapping","Not tracked: Agriculture",1424155.3926,2007,2012
"1151","Support Activities for Crop Production","Not tracked: Agriculture",8123820.8947,2007,2012
"1152","Support Activities for Animal Production","Not tracked: Agriculture",2544670.8296,2007,2012
"1153","Support Activities for Forestry","Not tracked: Agriculture",11746276.7706,2007,2012
"2331",NA,"Reassigned in 2002",755246,2007,2007
"2332",NA,"Reassigned in 2002",50801159.9375,2007,2012
"2333",NA,"Reassigned in 2002",446971694.4577,2007,2012
"2341",NA,"Reassigned in 2002",12199892,2007,2012
"2349",NA,"Reassigned in 2002",64288796.5223,2007,2012
"2351",NA,"Reassigned in 2002",13716637.3984,2007,2007
"2352",NA,"Reassigned in 2002",609922.4799,2007,2007
"2353",NA,"Reassigned in 2002",125655,2007,2007
"2354",NA,"Reassigned in 2002",155763,2007,2007
"2355",NA,"Reassigned in 2002",-38173,2007,2007
"2356",NA,"Reassigned in 2002",10295993.8203,2007,2007
"2357",NA,"Reassigned in 2002",3818534,2007,2007
"2359",NA,"Reassigned in 2002",33760795.6012,2007,2012
"4211",NA,"Reassigned in 2002",-4716062,2007,2007
"4212",NA,"Reassigned in 2002",10609,2007,2007
"4213",NA,"Reassigned in 2002",702219,2007,2007
"4214",NA,"Reassigned in 2002",42227773.9794,2007,2012
"4216",NA,"Reassigned in 2002",285556,2007,2007
"4218",NA,"Reassigned in 2002",338602,2007,2012
"4219",NA,"Reassigned in 2002",1146619,2007,2007
"4221",NA,"Reassigned in 2002",19552135.8804,2007,2012
"4222",NA,"Reassigned in 2002",1078210,2007,2007
"4224",NA,"Reassigned in 2002",-1296032.6552,2007,2012
"4226",NA,"Reassigned in 2002",177327,2007,2007
"4227",NA,"Reassigned in 2002",3233369.1104,2007,2012
"4229",NA,"Reassigned in 2002",2384890.4512,2007,2012
"4821",NA,"Not tracked: Railroads",63994.1581,2007,2012
"4911",NA,"Not tracked: Postal Service",63664912.9073,2007,2012
"5132",NA,"Reassigned in 2002",239467.63,2007,2012
"5133",NA,"Reassigned in 2002",521675800.7089,2007,2012
"5141",NA,"Reassigned in 2002",16359404.4285,2007,2012
"5142",NA,"Reassigned in 2002",312074074.0713,2007,2012
"5161",NA,"Reassigned in 2007",6149867.9142,2007,2012
"5173",NA,"Reassigned in 2007",47551335.7989,2007,2012
"5175",NA,"Reassigned in 2007",8885360.8675,2007,2012
"5181",NA,"Reassigned in 2007",35375583.7705,2007,2012
"5251",NA,"Not tracked: Pension and Other Funds",2004740.4431,2007,2012
"6111","Elementary and Secondary Schools","Not tracked: Schools and Universities",58563407.7995,2007,2012
"6112","Junior Colleges","Not tracked: Schools and Universities",26066209.3947,2007,2012
"6113","Colleges, Universities, and Professional Schools","Not tracked: Schools and Universities",518515017.1371,2007,2012
"7225","Restaurants and Other Eating Places",NA,7000,2012,2012
"8131","Religious Organizations","Not tracked: Religious Organizations",19990676.3092,2007,2012
"8141",NA,"Not tracked: Private Households",111311.3001,2007,2012
"9211",NA,"Not tracked: Public Administration",2202733825.241,2007,2012
"9221",NA,"Not tracked: Public Administration",33700373.4994,2007,2012
"9231",NA,"Not tracked: Public Administration",47088080.6168,2007,2012
"9241",NA,"Not tracked: Public Administration",254949942.4348,2007,2012
"9251",NA,"Not tracked: Public Administration",10881766.6845,2007,2012
"9261",NA,"Not tracked: Public Administration",343171402.4384,2007,2012
"9271",NA,"Not tracked: Public Administration",1214078772.6348,2007,2012
"9281",NA,"Not tracked: Public Administration",112550947.6568,2007,2012
