"PlatformPortfolio","multiyearcontracttext","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aircraft","Multiyear Contract",0.00184893128012185,0.00132681791462937,0.0161662673634834,0.0489730839195145,0.0737831076943652,0.138929288083422,0.120164639031243,0.0806068492196272,0.133582166839208,0.0729879401986341,0.062056647520033,0.0613918457641273,0.0975739877486586,0.0910143735061761,0.0661724993770213,0.0635763187820906,0.0668422865318942,0.0593253293382221,0.0710058262324856,0.0877681181085653,0.0624853512520185,0.0769607205930122
"Aircraft","Unlabeled",,,1.40800400419555e-06,7.521261046484e-07,7.90307307190264e-07,9.22974094928672e-07,3.04166073768286e-05,1.20050063016848e-05,6.19383381239094e-05,0.00679480016960112,0.0268276788955869,0.04348101272246,0.0652258621421813,0.0824553499171745,0.098795120043463,0.108824681303255,0.0905654261457011,0.0987882503795191,0.134519636318223,0.113669256240466,0.078086119865352,0.125760024081915
"Ships &
Submarines","Multiyear Contract",0.108015013496362,0.0327712832868303,0.0111885709579686,0.02419971379325,0.0110219181620932,0.0125372127587874,0.00510865134197714,0.00614464997948358,0.00582565787954967,0.134901534834797,0.156452165151876,0.126465239215999,0.12713244510888,0.182644695764478,0.143877283366746,0.0752676692241723,0.0933355930592148,0.0781546611735661,0.0709190801318542,0.0995130307584047,0.0975377133491312,0.0521267660686975
"Ships &
Submarines","Unlabeled",,,,,3.95102573974464e-06,1.81034564910058e-06,1.03384397231682e-06,1.15973523448287e-06,7.22118119523921e-05,0.00250922168464565,0.0413242353498214,0.0373919260233655,0.0488541259700112,0.0542323244859142,0.0666955535411094,0.0710943641931136,0.0596651009627098,0.0530003080852522,0.0603835253761,0.0512059122034447,0.0321571633922684,0.0426283797889021
"Land Vehicles","Multiyear Contract",0.0391109014693179,0.168366359095148,0.128655535157843,0.0374086137543923,0.0642591052219857,0.0225914350682342,0.0190421723139416,-0.000400612079808209,0.00276699226381146,0.00551348143042464,0.00733945347230907,0.0144942976785881,0.0247532667782568,0.013365569770976,0.0448402046137441,0.128913276140423,0.14794446803963,0.147807696032425,0.102752544339088,0.0838726166370502,0.0583583541075875,0.0397877035163795
"Land Vehicles","Unlabeled",,6.50658630700782e-06,,1.76727977788616e-06,0.000723365382665756,1.7601718835978e-05,0.00518722465677708,0.00150462786132468,0.00159003071635097,0.00444936058820136,0.0303978241617174,0.0799324005382468,0.114057194597869,0.0813105487149534,0.125705279402698,0.0955756099856969,0.0800354332508776,0.0731070314729364,0.0770164229726746,0.0710869713008663,0.0695445014511891,0.0718212408020237
"Space Systems","Multiyear Contract",,0.00081240816374131,,,0.000719826290356621,,,0.000552727663685649,0.00274262333248637,0.0061154774478491,0.0274909084259983,0.0502142396775445,0.118048244976935,0.00439043800988762,0.0032111133221732,0.00605136493390895,0.0171620565927236,0.0142828031829424,0.00993522728901527,0.0278214806121996,0.0282335108621206,0.0118459330878873
"Space Systems","Unlabeled",,,,,,,6.80519404259139e-06,0,6.64087051615215e-07,0.00033104091735873,0.00394282806038294,0.00315639187222889,0.00462739529089038,0.00822983742048144,0.00737823803233157,0.00590643076964789,0.00681185896316169,0.00432225614978279,0.00194391699456835,0.00437943752408039,0.00101306112757283,0.00126650279516111
"Air & Missile
Defense","Multiyear Contract",,,,,,0,0.000221738201657309,0,0.0014283029950147,0.0032321684223624,0.0119443611220566,0.0351160990665504,0.0378315485419041,0.0398648210316462,0.0507062879472042,0.0906943362451963,0.109828952925552,0.113487050775087,0.0305362268150432,0.0359124802616842,0.106491501515493,0.141909011600448
"Air & Missile
Defense","Unlabeled",,,,,,,,,1.71170069156568e-06,0.000304227281934286,0.000398008180732418,0.00294976645832447,0.0111194109010893,0.0141461614425173,0.0267993472025186,0.0244568389192695,0.0332030046953578,0.0311095346813603,0.019768326719037,0.0198484718781373,0.0135932512941767,0.0189576978538713
"Ordnance &
Missiles","Multiyear Contract",0.07943464756402,0.0681332259213065,0.0489264678510914,0.0368035352827357,0.0313638530937839,0.0225197243727818,0.030378239246168,0.0213811357533785,0.0481163288912433,0.0335983510740586,0.0596354850315665,0.0444890518664343,0.0325558812103498,0.0472219708954428,0.0655858157474355,0.0687968594981608,0.0395699496861838,0.0555489610328235,0.0634874081212692,0.0458227504213657,0.0506669203449759,0.0573567603395049
"Ordnance &
Missiles","Unlabeled",,1.4965093020325e-06,6.54612271435979e-06,0.000148119773021954,0.000100137506665651,,-3.73866720589458e-07,3.16971069102279e-06,0.000549422290246521,0.00787258833768251,0.0226419108734466,0.0278344090742201,0.0313332118744763,0.0218018658752603,0.0276517328079541,0.0269875994376659,0.0339501797780997,0.0459106608066824,0.0378134726898487,0.0357907639233658,0.0285318132138932,0.0229779187462719
"Electronics,
Comms, & Sensors","Multiyear Contract",0.00338004149593404,0.00647575423686381,0.0153144552126454,0.0174790843784825,0.0356468133051303,0.0227286719802638,0.0340843658787294,0.00482827337007922,0.00411493497079549,0.00749021293158606,0.00741652231735475,0.0129443697201982,0.0137813827125448,0.0227101432870184,0.0196585758586609,0.0199743264686824,0.0276449790234769,0.0383579579023391,0.0392342108112938,0.0368511313324181,0.0299535683755601,0.0392303201020335
"Electronics,
Comms, & Sensors","Unlabeled",3.51661323129312e-06,4.26280776855288e-06,0.000940400301135805,0.0081527999566085,0.00840140159332161,1.16358126263916e-05,0.00177105814881899,6.05836326774445e-05,0.000498431002906939,0.0156988707094245,0.0728196211334643,0.0885038302981721,0.105015515913745,0.11502822484247,0.133406598933911,0.151900180354836,0.172335573026343,0.177928884631865,0.175787146372838,0.186671290448825,0.216748534785733,0.234456182524932
"Facilities &
Construction","Multiyear Contract",0.00351150856227352,0.0023167372695171,0.00183872697201143,0.00173542184651611,0.00419440294028464,0.00480818518608604,0.0043971527089924,0.0101361586540475,0.00888519733696197,0.00759753008537774,0.0194672077158976,0.0258815169209309,0.0259760939388541,0.0324881228589818,0.0368847896872899,0.0323996435370747,0.0250196831789623,0.0264865452778124,0.0238907369848775,0.0236373250472421,0.0278631648630925,0.0379158350709431
"Facilities &
Construction","Unlabeled",1.13048187471745e-06,3.11969864143973e-07,5.05947654159877e-06,6.07531535525713e-06,0.00239587376295938,0.00478684083724523,0.000213157943244774,0.000123192153375311,0.000330564733645239,0.0170351541167585,0.0792631480739335,0.0890004281443605,0.0807479486333393,0.0700278902215326,0.0702940007853566,0.062165176996408,0.0639519006562156,0.0627487264365237,0.0761891488298521,0.0530781291088054,0.0488473941446858,0.05524487698354
"Other
Products","Multiyear Contract",0.0633621021669429,0.0636850653848873,0.105279697920651,0.0533280406018649,0.0152735964043643,0.050073977871416,0.0226884811612573,0.00212236170922353,0.0495495355941308,0.056229251112934,0.0536536789997935,0.0904587353428525,0.0344368784941791,0.111228845014129,0.128375499894826,0.0642267579306254,0.012916259925051,0.00795236022355219,0.0091640624745738,0.0145283580351562,0.0565295026494157,0.13428545291224
"Other
Products","Unlabeled",3.05485785346174e-06,1.47975408268719e-06,9.13996302247196e-08,3.47849133009512e-06,4.09945135426473e-05,1.72577589642865e-05,6.59340475938041e-05,2.09304539670602e-06,0.000172244824875012,0.0235906628791206,0.0780382097644314,0.0748008658609715,0.053962559909037,0.076777758227012,0.077577429536352,0.0883133345942463,0.0901424677565547,0.085235819225028,0.0963556462909338,0.0829930748978671,0.0725208659670104,0.0297370233888557
"Other
Services","Multiyear Contract",,,2.93974956733484e-05,5.56615698050397e-05,0.000172255252104049,0.000788175890560898,0.000350331332352685,0.000319249426147826,0.000594134247506988,0.000750296428433592,0.00153665503771546,0.00262113093449835,0.0073384606836097,0.00707926349299714,0.00445008124024895,0.0041155119295399,0.00318700052443403,0.00368790271935135,0.00756723932068479,0.0029603928688064,0.00416429442980065,0.00544178216746982
"Other
Services","Unlabeled",,0,,3.08003902795785e-06,4.29122540417487e-05,9.32895783830918e-06,1.53160297856705e-05,9.26789335978548e-06,0.000121409274086994,0.00169254207765238,0.0932061499331451,0.0514768729883992,0.0381502965443452,0.0338337260189854,0.0543161258020994,0.0570364949723461,0.0668222643080076,0.0763348978745467,0.0857676148360062,0.0785882675416209,0.0885565239251355,0.0762722640965822
"Other Knowledge
Based","Multiyear Contract",0.00511323100878579,0.00400827097046239,0.000869133472831727,0.00667030942032986,0.0081841177280579,0.00345513431354609,0.00257487781232444,0.00432311881815244,0.0068307745843375,0.00780912971644543,0.0154205578312486,0.0159636535291444,0.0147716924219307,0.0192188290790746,0.0130704916468942,0.0154357107089847,0.0206312194603405,0.0266108652035614,0.0176173223641437,0.0255064869782789,0.0287173031481963,0.0202432736910993
"Other Knowledge
Based","Unlabeled",1.61653863149408e-06,2.10216752805715e-06,1.24945152302106e-07,3.65622176653031e-06,2.75087501288759e-06,5.43149171033983e-05,6.61342059877384e-05,1.79094027343256e-05,9.68073490062131e-05,0.00739622738277352,0.0373340669778168,0.0512804355202264,0.0590852908174531,0.0668347386760139,0.0795433490046046,0.0893798254381609,0.100547412309328,0.108855143148661,0.0964035573996561,0.101276311881388,0.102347929146294,0.0999397616592683
