"principalnaicscode","principalnaicscodeText","NAICS_ShortHand","Action_Obligation_OMB20_GDP20","rank"
115111,"Cotton Ginning","",378376.323649199,217
212112,"Bituminous Coal Underground Mining","",7399.20948616601,429
213112,"Support Activities for Oil and Gas Operations","",13280.7257362992,397
221112,"Fossil Fuel Electric Power Generation","",17994505.4376258,73
221118,"Other Electric Power Generation","",30977.0770549355,351
221122,"Electric Power Distribution","",6596038.00351529,101
233320,"Commercial and Institutional Building Construction","",41619.4790486976,332
235310,"Electrical Contractors","",198493.771234428,242
235510,"Carpentry Contractors","",107304.643261608,269
235950,"Building Equipment and Other Machinery Installation Contractors","",42257.9275198188,330
236115,"New Single-Family Housing Construction (except For-Sale Builders)","",5967.00596700597,436
236210,"Industrial Building Construction","",111569.781458922,267
236220,"Commercial and Institutional Building Construction","236220 Comm./Inst. Building Construction",6918724.79728832,99
237130,"Power and Communication Line and Related Structures Construction","",100520.624934869,273
237310,"Highway, Street, and Bridge Construction","",22862.9928629929,367
238110,"Poured Concrete Foundation and Structure Contractors","",161194.465640974,250
238130,"Framing Contractors","",5462.44296244296,439
238140,"Masonry Contractors","",10144.4086406492,413
238150,"Glass and Glazing Contractors","",15835.3096179183,388
238160,"Roofing Contractors","",24231.3941096749,366
238190,"Other Foundation, Structure, and Building Exterior Contractors","",303026.381656471,223
238210,"Electrical Contractors and Other Wiring Installation Contractors","",26886721.5068189,62
238220,"Plumbing, Heating, and Air-Conditioning Contractors","",6318102.09541262,103
238290,"Other Building Equipment Contractors","",505364.556227806,194
238310,"Drywall and Insulation Contractors","",59986.2330306157,307
238320,"Painting and Wall Covering Contractors","",14088.2206793634,394
238330,"Flooring Contractors","",666211.295095843,185
238390,"Other Building Finishing Contractors","",4438108.75715465,112
238910,"Site Preparation Contractors","",33862.5823647171,345
238990,"All Other Specialty Trade Contractors","",2375431.63329272,136
311999,"All Other Miscellaneous Food Manufacturing","",13530.9259516519,395
312112,"Bottled Water Manufacturing","",4635.77863577864,450
313311,"Broadwoven Fabric Finishing Mills","",3430243.54177186,123
313312,"Textile and Fabric Finishing (Except Broadwoven Fabric) Mills","",4000.96292729899,460
314110,"Carpet and Rug Mills","",383082.490297469,214
314120,"Curtain and Linen Mills","",9986.17315464795,415
314121,"Curtain and Drapery Mills","",52433.6195862556,317
314912,"Canvas and Related Product Mills","",16858.5335532178,386
314999,"All Other Miscellaneous Textile Product Mills","",433520.227989346,205
315280,"Other Cut and Sew Apparel Manufacturing","",13283.7974968993,396
315299,"All Other Cut and Sew Apparel Manufacturing","",4314.23017402537,456
315990,"Apparel Accessories and Other Apparel Manufacturing","",53654.9648029623,313
315992,"Glove and Mitten Manufacturing","",10763.4238402533,412
315999,"Other Apparel Accessories and Other Apparel Manufacturing","",5153794.99139461,108
316110,"Leather and Hide Tanning and Finishing","",18536.3505055368,382
316213,"Men'S Footwear (Except Athletic) Manufacturing","",18999.7592681753,379
316991,"Luggage Manufacturing","",209953.29812947,238
316998,"All Other Leather Good and Allied Product Manufacturing","",352.47,469
316999,"All Other Leather Good Manufacturing","",95389.0348892313,276
321211,"Hardwood Veneer and Plywood Manufacturing","",29050.2798711731,356
321214,"Truss Manufacturing","",38268.350399809,337
321920,"Wood Container and Pallet Manufacturing","",33679.5991823384,346
321991,"Manufactured Home (Mobile Home) Manufacturing","",129700.567793986,256
321992,"Prefabricated Wood Building Manufacturing","",5749.26147254482,437
321999,"All Other Miscellaneous Wood Product Manufacturing","",128857.986563315,258
322121,"Paper (except Newsprint) Mills","",249094.431916677,228
322212,"Folding Paperboard Box Manufacturing","",10991.7651271035,409
322222,"Coated and Laminated Paper Manufacturing","",19998.3656244689,375
322223,"Plastics, Foil, and Coated Paper Bag Manufacturing","",38567.439402727,336
322225,"Laminated Aluminum Foil Manufacturing For Flexible Packaging Uses","",4966.06027694814,446
322226,"Surface-Coated Paperboard Manufacturing","",20094.1554713515,374
322230,"Stationery Product Manufacturing","",175764.605766083,244
322231,"Die-Cut Paper and Paperboard Office Supplies Manufacturing","",74903.0711151923,293
322232,"Envelope Manufacturing","",128582.24925073,259
322233,"Stationery, Tablet, and Related Product Manufacturing","",27834.959696014,359
322291,"Sanitary Paper Product Manufacturing","",25841.083936158,363
322299,"All Other Converted Paper Product Manufacturing","",63886.1348841955,302
323110,"Commercial Lithographic Printing","",59083.3601569051,309
323111,"Commercial Printing (except Screen and Books)","",21929.7481187099,368
323113,"Commercial Screen Printing","",9176.09046849758,419
323114,"Quick Printing","",223323.022313723,230
323115,"Digital Printing","",5005.49142710478,445
323117,"Books Printing","",18055.1758419287,383
323119,"Other Commercial Printing","",60322.6793885074,306
323120,"Support Activities for Printing","",113153.832896665,265
324122,"Asphalt Shingle and Coating Materials Manufacturing","",1369.13377056007,466
325130,"Synthetic Dye and Pigment Manufacturing","",40770.6574863388,333
325211,"Plastics Material and Resin Manufacturing","",215262.409894877,236
325412,"Pharmaceutical Preparation Manufacturing","",78507.9771094606,288
325413,"In-Vitro Diagnostic Substance Manufacturing","",771095.997864539,174
325510,"Paint and Coating Manufacturing","",11156.7376775272,408
325910,"Printing Ink Manufacturing","",80918.4150512209,284
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing","",1746063.11750887,145
325998,"All Other Miscellaneous Chemical Product and Preparation Manufacturing","",92042.3346197079,277
326122,"Plastics Pipe and Pipe Fitting Manufacturing","",1503844.49153184,149
326150,"Urethane and Other Foam Product (except Polystyrene) Manufacturing","",29121.6647516916,355
326199,"All Other Plastics Product Manufacturing","",29488.8912963591,354
326299,"All Other Rubber Product Manufacturing","",453693.084474104,200
327111,"Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing","",129631.504413064,257
327122,"Ceramic Wall and Floor Tile Manufacturing","",24597.2550565313,365
327390,"Other Concrete Product Manufacturing","",7693.19095188885,427
327993,"Mineral Wool Manufacturing","",1474.95326721586,465
331111,"Iron and Steel Mills","",74342.0055830871,294
331318,"Other Aluminum Rolling, Drawing, and Extruding","",36179.2911082748,341
331419,"Primary Smelting and Refining Of Nonferrous Metal (Except Copper and Aluminum)","",83471.2115409166,282
331422,"Copper Wire (Except Mechanical) Drawing","",21565.7312507313,369
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding","",4318956.69551896,114
332116,"Metal Stamping","",176065.334628774,243
332212,"Hand and Edge Tool Manufacturing","",9347.15564018323,418
332213,"Saw Blade and Handsaw Manufacturing","",19074.4103826332,377
332216,"Saw Blade and Handtool Manufacturing","",8674.6250382614,425
332311,"Prefabricated Metal Building and Component Manufacturing","",1350750.08090152,153
332312,"Fabricated Structural Metal Manufacturing","",4315502.29502693,115
332313,"Plate Work Manufacturing","",211397.292490959,237
332321,"Metal Window and Door Manufacturing","",12333.8388515011,403
332322,"Sheet Metal Work Manufacturing","",53672.8773031847,312
332323,"Ornamental and Architectural Metal Work Manufacturing","",120729.775885668,261
332420,"Metal Tank (Heavy Gauge) Manufacturing","",289311.09314662,225
332439,"Other Metal Container Manufacturing","",379764.461975008,215
332510,"Hardware Manufacturing","",21365102.9912345,71
332618,"Other Fabricated Wire Product Manufacturing","",27286.3979074295,360
332710,"Machine Shops","",96910.0802440821,274
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","",36988.2461128786,339
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring","",4354.11643127799,455
332996,"Fabricated Pipe and Pipe Fitting Manufacturing","",10138.1955436503,414
332999,"All Other Miscellaneous Fabricated Metal Product Manufacturing","",1298181.24452953,154
333111,"Farm Machinery and Equipment Manufacturing","",15632.4110671937,389
333120,"Construction Machinery Manufacturing","",51143.5864188568,318
333131,"Mining Machinery and Equipment Manufacturing","",77885.3754940712,289
333210,"Sawmill and Woodworking Machinery Manufacturing","",14776.7100278937,392
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing","",9752.52167708855,417
333244,"Printing Machinery and Equipment Manufacturing","",113097.750270654,266
333249,"Other Industrial Machinery Manufacturing","",276931.087211999,226
333292,"Textile Machinery Manufacturing","",11245.8355834337,407
333293,"Printing Machinery and Equipment Manufacturing","",6824730.11386409,100
333298,"All Other Industrial Machinery Manufacturing","",1269079.46262484,155
333311,"Automatic Vending Machine Manufacturing","",12638.2502796073,401
333313,"Office Machinery Manufacturing","",408340.758780753,210
333314,"Optical Instrument and Lens Manufacturing","",166594.078768898,246
333315,"Photographic and Photocopying Equipment Manufacturing","",1459448.57653974,150
333316,"Photographic and Photocopying Equipment Manufacturing","",669046.770719205,184
333318,"Other Commercial and Service Industry Machinery Manufacturing","",470552.504424779,197
333319,"Other Commercial and Service Industry Machinery Manufacturing","",160901.832955892,251
333411,"Air Purification Equipment Manufacturing","",103525.187859623,272
333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment","",15393052.8632994,75
333511,"Industrial Mold Manufacturing","",-4862.6817447496,475
