"","NAICS_Code","NAICS_DESCRIPTION","Mismatch","Action.Obligation","Obligation.2016","RCPTOT","minyear","maxyear","NAICS.display.label"
"1","111110",NA,"Not tracked: Agriculture",897134.3178,901521.594080669,0,2007,2017,NA
"2","111120",NA,"Not tracked: Agriculture",95537.49,96960.7018970121,0,2007,2017,NA
"3","111130",NA,"Not tracked: Agriculture",59998.6797,60875.4571494468,0,2007,2017,NA
"4","111140",NA,"Not tracked: Agriculture",5564625.9534,6086735.26179023,0,2009,2018,NA
"5","111150",NA,"Not tracked: Agriculture",55279.79,59286.7547946662,0,2008,2016,NA
"6","111160",NA,"Not tracked: Agriculture",154086.7001,161536.4588762,0,2007,2016,NA
"7","111191",NA,"Not tracked: Agriculture",38899.0508,42142.1503445749,0,2007,2016,NA
"8","111199",NA,"Not tracked: Agriculture",36374.34,36499.1210712393,0,2014,2017,NA
"9","111211",NA,"Not tracked: Agriculture",76535.1802,79839.6588253215,0,2007,2015,NA
"10","111219",NA,"Not tracked: Agriculture",6512.25,7030.64754620348,0,2009,2016,NA
"11","111310",NA,"Not tracked: Agriculture",5366.25,5712.42282307856,0,2011,2011,NA
"12","111320",NA,"Not tracked: Agriculture",2182.01,2199.82861175522,0,2015,2015,NA
"13","111331",NA,"Not tracked: Agriculture",7192665,7979326.43496842,0,2007,2016,NA
"14","111332",NA,"Not tracked: Agriculture",384,440.670185907735,0,2007,2007,NA
"15","111335",NA,"Not tracked: Agriculture",16150,17313.9695854148,0,2009,2012,NA
"16","111336",NA,"Not tracked: Agriculture",15270,16635.7991066565,0,2010,2010,NA
"17","111339",NA,"Not tracked: Agriculture",8021.3501,8538.80146902278,0,2011,2011,NA
"18","111419",NA,"Not tracked: Agriculture",68090.7698,71822.4826066551,0,2010,2015,NA
"19","111421",NA,"Not tracked: Agriculture",5685048.5813,6158473.3867494,0,2007,2017,NA
"20","111422",NA,"Not tracked: Agriculture",404004.5012,441294.979359555,0,2007,2017,NA
"21","111920",NA,"Not tracked: Agriculture",24214.1797,26442.1223567842,0,2007,2010,NA
"22","111940",NA,"Not tracked: Agriculture",1021104.4677,1039375.5273923,0,2007,2017,NA
"23","111992",NA,"Not tracked: Agriculture",48440.8901,50202.9786930686,0,2007,2016,NA
"24","111998",NA,"Not tracked: Agriculture",3943263.2433,4280653.85599331,0,2007,2017,NA
"25","112111",NA,"Not tracked: Agriculture",1465623.2,1609578.64538445,0,2009,2017,NA
"26","112112",NA,"Not tracked: Agriculture",275213.2184,291869.145870857,0,2010,2017,NA
"27","112120",NA,"Not tracked: Agriculture",660552.9207,725899.52314846,0,2007,2017,NA
"28","112210",NA,"Not tracked: Agriculture",1341667.7804,1393217.50740576,0,2007,2018,NA
"29","112320",NA,"Not tracked: Agriculture",52278.5807,53726.3887127063,0,2008,2017,NA
"30","112340",NA,"Not tracked: Agriculture",43386,42758.893882077,0,2015,2018,NA
"31","112390",NA,"Not tracked: Agriculture",52486.1001,55897.6681375447,0,2007,2013,NA
"32","112410",NA,"Not tracked: Agriculture",15235,17534.7810221774,0,2007,2008,NA
