"Veh.SIDC","qLowCeiling","2018","2019","2020","2021"
"All Other Awards and Task Orders","[0,15k)","$0.8B
25 Days","$2.5B
26 Days","$1.4B
21 Days","$1.5B
27 Days"
"All Other Awards and Task Orders","[15k,100k)","$2.1B
36 Days","$4.8B
44 Days","$4B
37 Days","$3.5B
40 Days"
"All Other Awards and Task Orders","[100k,1m)","$7.5B
44 Days","$14.4B
45 Days","$13.4B
40 Days","$10.4B
36 Days"
"All Other Awards and Task Orders","[1m,30m)","$32B
69 Days","$60.4B
78 Days","$50.6B
68 Days","$32.8B
81 Days"
"All Other Awards and Task Orders","[30m+]","$60.1B
242 Days","$108.2B
186 Days","$85.5B
156 Days","$61.2B
241 Days"
"Single Award or Unlabeled Task Order","[0,15k)","$1.2B
1 Day","$3.9B
1 Day","$3.6B
1 Day","$3.9B
1 Day"
"Single Award or Unlabeled Task Order","[15k,100k)","$2B
1 Day","$5.8B
1 Day","$5.3B
1 Day","$5.6B
1 Day"
"Single Award or Unlabeled Task Order","[100k,1m)","$5.8B
9 Days","$14.5B
1 Day","$14.5B
1 Day","$14B
1 Day"
"Single Award or Unlabeled Task Order","[1m,30m)","$19.2B
32 Days","$50.7B
21 Days","$47.8B
26 Days","$40.4B
23 Days"
"Single Award or Unlabeled Task Order","[30m+]","$14.3B
86 Days","$31.6B
50 Days","$36.1B
90 Days","$30.4B
115 Days"
,"[0,15k)",,,,"$0B
370 Days"
