"ProductServiceOrRnDarea","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Basic Research (6.1)",906271764,1061683181,1201436701,1372964200,1070461947,1602084609,1601006963,1705910362,1654779221,1773970984,1708919088.875,1969918232.627,2491746279,3387565430.1078,3796217361.1946,4673593564.4676,4497778085.5625,4765324405.7155,4963434822.5865,4892554947.7283,5180191095.5461,4488531529.381,4177515860.3359,3418595039.7041,3322046820.1618,3128972281.6024,3272446993.7904,3278077789.2265,3679496206.7801,3886363222.0569,3776125490.6814,3495741903.011,3518389135.13,1769199168.5627
"Applied Research (6.2)",1652192000,2285130546,2161209114,2202254182,2187211767,2323903528,2300145534,1982222535,2052478954,2253220444,2519227091.54,2780287195.8401,3190310544.5,3765369999.1676,4499572631.4463,5037631440.2397,5307033375.6313,5945384433.3795,6565856574.3903,6882843620.2702,7768860016.5661,8697234323.1263,7931792528.2445,6656936961.6818,6836974242.3253,6157825479.1865,6649419051.924,6838662315.9153,6901678361.9701,7762479939.0812,7993922520.6615,8522762358.5698,10727955364.5046,4937298166.4898
"Experimental Development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4972238617.4475,7971232383.1028,6140731702.9061
"Advanced Development",5486322000,6286179090,5718244451,5140491100,4798500580,4761933461,4921894718,5011120195,5180352072,4722234520,5183352833,6131452406.6201,6346266503.5,7042720994.0665,6812793620.9581,7731286694.8283,8054503326.9605,8851010044.3032,8730149084.6568,9131386732.927,7449099302.8027,6671402838.8418,6877287114.2026,5029634070.5333,4044208975.2685,3943988556.3326,3972011794.4947,4170245083.5796,4789546354.629,6120210732.4872,6110101661.5985,3002106690.1625,2093265783.6803,705067769.1794
"Engineering Development",8010758000,5790030019,7418535498,8334519210,9089191963,5546833078,5571893377,5761159218,5081887849,4295706795,3265656468,3619911776,3760202190.5996,3594220180,3605566922,2651441532.7657,2625277371.8666,3706281605.5497,3936874917.1333,5469911998.6759,5974035205.6784,5444198610.379,4622332262.8805,3721729442.9124,4265473987.4774,3936720244.6805,4845020679.5045,5110208166.8298,5858300568.5094,7134560657.3964,7876057445.2977,2672251280.13,1779038404.9054,1449067541.9503
"Operational Systems Development",3826544000,4308226737,3910081088,3720889710,3585351058,4762692900,4062908569,4108189253,4772748627,5059025834,5047190255.7802,4868326303,7276919623.5195,8902654067.5,9314382855.7813,11795563629.418,14993827584.9336,15059574057.177,12975373642.8237,13837083040.1969,11457240139.0456,10083946745.8093,8202359355.7025,6386824648.0383,4224453246.3043,4267270827.6354,3702004692.7574,4189069216.5555,4136901306.7002,4078805708.3672,3788278459.396,322476937.3128,163702780.1909,72464499.8406
"R&D administrative and operational expenses",746915000,1127462755,1413423659,1444082272,1122314507,789244551,830606845,1005562023,874705388,1007726382,1091711883.0078,1122007883.3008,1445155027.3048,1200014367.7139,1135233256.9407,1282356277.3255,1285136318.6073,1357657136.6169,1455482888.0454,1567139362.1834,1675008381.9797,1527068094.4019,1563995972.6084,1361605615.3806,1473637013.4673,1223663687.4416,1110835335.1597,954653023.003,1004475253.83,1057632900.1628,1239080805.3127,6663132044.6953,6358372138.7579,5824348004.6464
"R&D facilities and major equipment",287046000,223846621,193006078,412017769,675707898,717936425,662734168,515220063,628323030,682597841,683679440,654338561,505092888,648443544,730135771,857611550,770413795.1634,610201623.1253,620240440.1994,192794088.275,111641866.7578,124977366.9153,74411023.7629,100100897.23,80794715.8238,84600961.8933,114471958.7473,157944594.4788,196015516.2165,137120522.4245,228316273.4021,2639488874.0134,2272789243.6329,1449346691.7082
"Commercialization",,,,,,1785124648,932495950,382211353,421153332,264041294,584614636,659696016,922008502.1992,1067853242,1393788520.9854,1752995271.5645,1844790681.0156,1977657181.7849,1925505783.07,1803467488.4437,1852549833.4818,1996755273.465,1526316347.4058,1313649843.3941,1452847216.451,1044139991.4515,919687626.0158,947937679.9111,722485035.4064,727323763.1135,741042117.5334,423280416.991,230728367.7877,163371682.2105
"Other Transaction Authority (OTA)
R&D Agreements",,,,,,,,,,,,,,,,,,,,,,,,,,692410749.79,1187333627.82,1853556666.47,3314278615.88,6488923855.93,14805466187.97,11342995538.69,8827046432.91,
