"Shiny.VendorSize","PricingUCA.1year","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Big Five","<=1 Year (All Types)",10156879784.0311,12958445672.0084,12147165868.6331,13418186057.3783,11634294881.822,12529842989.8208,10623504953.4575,9189232928.9783,10481204205.5441,10230121862.4004,11105940539.5469,13714874372.8618,12084836663.1506,11002090763.9561,12219332836.8425
"Big Five","FFP",28438618229.8744,25101889504.0932,28429889867.2436,29215734509.5491,31322955469.594,26222470316.4735,23801144566.4304,20749446453.7035,22561227691.0652,30892810661.1937,28318142873.2659,25785062807.787,32169792567.8295,42504249226.9232,28691143704.6029
"Big Five","Incentive",8320660741.4079,11943609466.8258,12227491687.1101,16272300186.3999,34099643490.2292,24724649013.9045,30535358763.8245,25065172611.5817,24398490457.8779,24493332601.6245,22413120997.4815,33453816699.7245,40971451603.9831,33835673724.584,39152830300.6941
"Big Five","Less Common",4405733994.8094,8986623399.482,4554791121.9452,2859758938.4575,2182440320.9962,1870144510.6024,1218679406.2168,351227163.1453,475190814.7737,440347425.1821,209696316.3063,205007482.8938,583283974.3142,1009977493.1038,938724224.2647
"Big Five","Other CB",25233591996.5405,22190104008.1883,25741924448.2652,24608840185.2678,24188850707.0814,20242883262.6989,17503986631.4346,21569273112.875,20524073344.3211,19133228775.2113,19817956002.0564,18102887273.244,18047825943.3849,24190325560.4683,15487645066.2973
"Big Five","UCA",13775275953.4705,10024654407.4987,8938118937.6115,9528368164.8322,5382216865.5365,16933566755.9146,12756732378.4004,4875300248.3094,3381783623.7388,17265830757.9011,30820221319.9807,22005923588.2087,19775210934.653,40378866911.6859,12721601038.8984
"Big Five","Unclear",8796439599.356,13974359996.7398,15212284883.8664,1035267519.4376,656486854.931,2804794878.7018,30632435.0687,224239868.1713,74270902.4073,426022876.67,-293611049.3209,0,50903.5586,0,0
"Large","<=1 Year (All Types)",33782664916.793,43926031495.1557,41118665500.6931,36904233893.0872,39659759483.0739,35395027668.4016,25791717275.8309,30644136641.0154,27990756934.4327,26885892996.9821,28229330615.5536,33464189230.2672,29154183268.4579,32911975409.8456,44530255923.7819
"Large","FFP",25608064558.8127,33872372717.6355,32625743701.658,32985786240.4839,32257009650.7076,29593266231.2228,25773742934.5784,22684977419.1441,22796989938.4337,19858069685.2792,21583516619.783,27302358726.7645,29017687703.9052,30019048303.1655,39092107975.6281
"Large","Incentive",7428317713.8745,7272741053.3044,8672497632.053,9813822507.7782,9255805069.6864,10544781248.4717,9499299830.3324,8987385898.1337,9059090562.0368,8778647751.6095,9133442420.0703,8020325793.5047,13660394097.6376,10867773774.9269,7543821164.6738
"Large","Less Common",13486292500.6736,16219502390.4519,18362442023.4644,15999886561.8267,7556608155.2729,12670681432.0599,8816553677.8154,2081430294.0613,1331745785.969,1458159263.0675,1413957865.5494,1576802901.4987,1893654587.1154,2000304118.1667,1887718353.2981
"Large","Other CB",17526728901.6209,20717919623.0685,18308575161.9277,23895194330.7042,27720283324.927,27700938588.1612,28165607432.1547,25593122799.9293,24231519031.3483,23136289957.0822,25882474826.4124,23884246247.0101,27656758965.9223,27467575886.4716,29045673402.2237
"Large","UCA",2509889282.5158,2286340314.4925,1457743881.3027,4354190340.7277,2499701129.0306,3095685422.5687,1251427571.1098,1490836579.5168,226058334.6419,4230504607.5766,2278235675.1377,11220349335.2395,7584569717.0903,8593325876.4305,3338326512.4142
"Large","Unclear",5843353443.7818,7162809908.6174,6691729801.3787,201244919.7505,65473507.1802,92670021.6956,242139874.3644,310997725.0809,373533317.1178,91821302.2329,710784750.6233,0,0,,0
"Medium","<=1 Year (All Types)",25268533293.8626,27185213875.999,30350588818.7886,31543302598.4822,30114532450.5572,26280190565.4257,21711100588.2679,22503720907.2766,20011955112.3616,20182981483.3417,21840129333.9019,26039272152.5284,26548279300.3687,25279959842.7187,25424305467.0735
"Medium","FFP",22047445401.4383,29007471991.4844,26320764778.2706,26227134194.7509,26369875719.9275,25706694422.4177,20737805321.0519,19934556512.4411,20241513847.7889,19482462317.3123,23065584731.543,26301616435.6515,32561471977.2832,36206582574.7213,32917055961.1431
"Medium","Incentive",994920989.3892,2363924105.0435,1017754882.3477,4019896086.4396,5300622358.4502,5529700880.5088,3768818313.6095,2100356794.3135,2250906223.5882,2186776936.9975,1833450336.0858,3153440547.4924,2693791925.4604,2123989015.4826,2196402090.9834
"Medium","Less Common",4141585997.3985,5929620283.6304,6994234937.8668,4636796635.9246,5131393104.8228,5034340436.9543,5589858291.0555,1127399242.895,1290307124.5484,677709522.3631,886752716.8009,1040950927.5988,1088437712.5386,1236099003.0377,787006471.6154
"Medium","Other CB",7220614778.0124,8085797501.578,8962769769.4263,10485892842.0158,10759831096.1767,10018188693.2385,9190464760.7339,9135676936.963,9292073744.4089,10175466421.7698,10721694573.3539,11903315425.9483,12885784307.9566,15432444298.5673,15104933186.1324
"Medium","UCA",650183211.8566,787847129.1257,1255697218.0368,1521566835.0824,1621975624.0236,971971123.5064,792143028.0301,429835088.7268,33622824.1487,966796434.4401,736457099.2093,1298664233.3614,1835079013.4273,822966489.5795,924854637.7353
"Medium","Unclear",5551707467.5034,3709031912.5408,7496530097.9893,65022177.3319,210391982.9135,310231419.2535,74802947.2116,95915449.6299,98477759.9433,76622730.3335,124503869.5761,20204.7109,0,0,0
"Small","<=1 Year (All Types)",26720860644.2589,30711673617.8238,31069603825.7575,30631765436.7129,29717123464.3008,28703366534.8457,23081533120.5844,26756260267.6414,27123965595.5622,28784967874.6378,28881642493.3643,34508447898.7761,33160998907.6601,34291902319.3135,33293278422.8578
"Small","FFP",12954782353.7031,13339473580.6811,15899047213.4455,16461116383.9522,16891769842.2504,17923612372.6799,15190030084.7246,17648785864.0138,16474573206.1516,18168702479.1726,19993682222.898,24036624920.8347,26397958745.9734,28022290890.2834,28277499169.3648
"Small","Incentive",72702710.6684,57626279.3931,96264815.2962,442981747.2992,272300841.8732,201751112.1714,180479600.1937,334079410.896,579596999.8908,644678487.2604,680437314.2876,634389434.8224,580025122.2996,677533312.0487,528959863.0113
"Small","Less Common",3075531367.2943,3277695282.2623,4023996952.2893,3706490443.5674,3189543201.3026,3038078962.0861,2390485955.0612,2015808628.2808,1120618625.6502,712846252.0928,803585318.5102,1115628716.6776,1625303995.1275,1442436686.9428,1271807268.0207
"Small","Other CB",4539870686.1476,4493420642.3364,4416060076.2722,5584052756.5347,5764976182.6447,6030374640.1087,6027228091.9343,6374935878.7245,7087619039.4828,7647850593.6019,8286266801.3581,9511474519.7242,11096639422.5473,10976541046.4804,10607651835.1071
"Small","UCA",425398414.9152,607057837.9364,897674048.3381,903498291.6975,438875817.9005,323664309.1775,226903945.6008,282911364.3041,67858001.1163,461767189.1641,443768967.7032,443535159.0542,411064159.0735,447043681.59,323436863.9342
"Small","Unclear",2153753394.0702,2550275641.3706,2939883294.4885,270195968.4557,61980719.2034,108479604.0603,65434772.3345,67817466.3617,65232513.2457,133495809.3836,182842809.1217,0,0,-199.72,0
"Unlabeled","<=1 Year (All Types)",6662536044.4573,8016145794.6546,4125273814.6997,3459392867.0395,3182332825.7904,2206358241.5194,1193719875.8321,506198757.9966,312847896.3011,445294213.3173,343207823.1658,99849702.2721,115894325.8973,75140179.8403,445801334.4316
"Unlabeled","FFP",345208458.5722,1178630732.9912,1156950539.99,1311273860.2465,1036128579.4005,824932314.5641,348153942.3665,153751546.9082,234786172.251,272563466.7034,162009709.5138,132831450.5551,254527344.3607,4168763.5782,239348374.8081
"Unlabeled","Incentive",,0,,64600,1250,,,,,18909980,11743510,,,,67138274.5
"Unlabeled","Less Common",-1070,0,0,631656,284631.9688,0,261475.12,-58965.07,28180.3496,536103.4063,,-11639,837214,,0
"Unlabeled","Other CB",0,21110763.2463,42094019.8209,38296338.8486,20124933.606,3025115.3005,-339023.48,-359044.96,-7436043.8732,39150.6908,69967.4981,,,,3959577.3994
"Unlabeled","UCA",,12397,3788037.5625,106157.5703,551133,45000,1613000,-9871.49,,236040,4500,36256.3492,-299243.0313,140733.5078,-8961.89
"Unlabeled","Unclear",2660351.4601,-722024.1593,-26808740.5605,1576607.375,-229066.0196,22567.0703,26521.43,0,10000,2333.23,1346532,0,0,314555.625,10000
