"SWpsc","PricingUCA","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Annual Software Maint.","FFP",,,,,,,,,,,,,0.186531978290849,0.441806680379524,0.760504127173894,1.0519099121141,1.09543853056286,1.49407246110083,1.68061017856069,2.35036749618672,3.1562774731584
"Annual Software Maint.","Other FP",,,,,,,,,,,,,5.95303125502354e-05,0.002240606370504,0.00297258332964602,0.00257909006557377,0.00284416035733622,0.00427781743118485,9.81657195502811e-05,0.000287781818181818,0.0004061911011
"Annual Software Maint.","Incentive",,,,,,,,,,,,,,,,,,0.000886694320357371,,6.66523824099582e-05,0.0235249175
"Annual Software Maint.","Other CB",,,,,,,,,,,,,0.00232328335365714,0.00568520563411884,0.00446710027654867,0.00779370229103825,0.0285282198563075,0.0172897409726654,0.033283313269415,0.0185946605893276,0.0759271883281
"Annual Software Maint.","T&M/LH/FPLOE",,,,,,,,,,,,,0.00335470298323573,0.0118326714401849,0.0434829357463496,0.0467234045327869,0.0183228428826205,0.0177972305366943,0.0133171125682907,0.0141625994710744,0.0188517018388
"Annual Software Maint.","UCA or Letter",,,,,,,,,,,,,0.00363320197198301,0.00169266986131469,0.000655316615044248,0.000125924636721311,0.00117957061775853,0.00149508078398213,0.00227117205080158,0.00975216367431895,0.0068483158171
"Annual Software Maint.","Unlabeled",,,,,,,,,,,,,0.00103114226868756,0.000446376389671891,0.00221405162533186,0.0152606105721311,0.00100231290785057,0.0568550926189109,2.14130651676036e-05,0,
"Software as a product","FFP",1.2355407591238,1.08666177833885,1.81477939124674,2.14562243286529,1.82014388044936,2.04018612080119,2.8134931420323,2.78934946800037,2.82238637721308,3.44326502853274,4.38487749400871,4.78187767947093,4.7247368865608,4.4136601384156,5.14392024036372,5.40563942130885,5.56903454110265,5.5423987891522,5.99004665486061,6.49115405163483,6.4012140654788
"Software as a product","Other FP",0.162684987429707,0.183472779931972,0.262912844534258,0.284310069448353,0.093418521644719,0.0435118787312253,0.0473554902170305,0.0555232414945943,0.124809330941556,0.20538306333546,0.227264443911803,0.210596293020943,0.00598131493592835,0.00167130950535573,0.000778484314159292,-0.00516368282163934,-0.00047300903508392,-0.018803604593278,0.00169769984218197,0.000648482180287726,0.0008944473047
"Software as a product","Incentive",0.000270867069041661,0.00262463253271969,0.00105080952661382,0.00638901323342138,0.000339559450719522,0.0250673100256917,0.0358154253112473,0.0188729404888778,0.042994470345428,0.0111819129652143,0.0887268015869436,0.103988094506962,0.085949102613044,0.0128951711466907,0.0347361593141593,0.065744846407541,0.349632469918462,0.1283144969281,0.104725373216948,0.0976893579418427,0.2286385980902
