"PlatformPortfolio","gfe_gfp_value","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Aircraft","No Government Furnished",56749844002.5243,66457056403.5864,61890137790.5586,53897737504.1809,56759365868.6813,62945468879.5788,54784007814.0567,42602166138.6529,42503186573.7804,54084921515.0413,51253748413.7104,50079352788.9671,58627114548.1114,72224916656.7655,50333197212.2511
"Electronics,
Comms, & Sensors","No Government Furnished",57414331312.4876,62129805994.2802,60709014123.8142,58316667623.3064,52623221445.7357,47944899927.6739,38382357248.5514,36349193004.0957,35003198053.7466,38421573264.7565,41110118488.6453,46092992660.0643,48400275716.9405,48343660492.5288,42220039999.5646
"Facilities &
Construction","No Government Furnished",55151950384.2864,67362657182.327,77276883457.289,65670514918.1319,56746839546.3806,50445870682.8329,38146826690.9628,41523756101.7502,37380512987.0266,38066482829.813,36916038909.9539,45214882999.3381,49533827681.6171,56600757466.5961,47596867622.6127
"Land Vehicles","No Government Furnished",23323248409.6329,34362376594.6289,17618733271.4143,21709349357.0192,18472695248.4638,9088581175.18521,5807223573.21479,4758031542.06206,5394238037.13311,4625198510.18376,5510687731.27888,9237463468.56142,7315243534.9096,6403464186.7103,4811605023.20914
"Air & Missile
Defense","No Government Furnished",9187792801.37132,7844609108.79009,11347912360.9557,10413710941.0796,9515638182.74611,9321908133.47032,6507234484.91081,6930862696.99292,7933053195.15093,6814608805.37076,7034349689.25165,10020256356.2886,7304886825.33884,10963495433.0726,9154896428.98245
"Ordnance &
Missiles","No Government Furnished",14053966389.9146,15999756907.587,13458088989.9221,10272414578.4596,9126043670.3847,9046139591.79963,6178453914.79671,6990537397.47954,7137635181.71563,8983324384.20336,11341196027.8333,14026554617.2595,18690853006.5428,15427658064.3062,12185505944.1961
"Other Products","No Government Furnished",42506864446.8852,47557815374.0315,42737803140.2233,33962518495.3355,34412768427.2404,39833698097.4771,29412778713.8658,26300593840.0403,22808672822.3428,20514781172.3592,22523826298.7804,25988856979.5185,23243700817.7476,25182398970.7999,51904379443.1649
"Other Knowledge
Based","No Government Furnished",34062551722.9646,38227466381.0517,42240073492.9319,39420973496.3473,37626255743.7952,38985675119.7055,31614142151.0148,30220435591.7313,30245519678.7563,30034989524.7851,30902516272.7611,34462744844.0591,38177710850.1906,38459592465.7972,36836401118.831
"Other Services","No Government Furnished",24128842630.6279,25722293296.0453,30048213259.3489,28336951524.7349,31790413983.9774,31688099051.8444,26927013901.5173,24488839056.6825,21650546187.4885,22489814590.7888,23897802138.8939,24858472828.6631,25796950210.6507,25473272619.9222,25242372264.4507
"Ships &
Submarines","No Government Furnished",18283085052.1634,19693627577.9323,24100934350.3092,15162233300.8009,16655069969.2648,20836001174.893,19963109222.6639,20293073015.2037,21650415595.678,19896116576.0823,23921684368.4286,27356994340.5116,27375914993.0566,29287215434.4305,28541709307.6523
"Space Systems","No Government Furnished",8843430726.256,11136773694.8726,11023586811.2366,8491413194.79162,7456474203.32655,8593952430.495,4949742472.83335,7031109519.11726,5400727636.55027,4903344615.65165,5519604918.0134,5223134870.0331,5904497356.2967,6697121418.4302,8211932485.67683
"Unlabeled","No Government Furnished",1576002.57238723,446961.456593206,1213812.57029369,-301285.783506385,-160453.25997426,-7438.05270409921,-112440.095388432,,32786.8852459016,3878212.70254467,1431192.29951074,-221523.388715386,475344.35261708,314555.625,378778.311599176
"Aircraft","Transaction uses
Government Furnished
Equipment or Property",18300964009.2325,14713501505.3105,17327222620.822,21857810632.0389,25445955563.9027,26756008305.3593,27774645287.2614,21760063285.1374,24933680938.2261,27619519424.8668,40299037286.992,36678933630.1097,33232352208.0297,32790525911.4125,22832760075.3927
"Electronics,
Comms, & Sensors","Transaction uses
Government Furnished
Equipment or Property",7724721556.69069,7161687406.40485,5786643256.60809,8659366690.5774,8613040583.58816,8863271719.50545,7842619134.38618,8698502439.13838,8128756585.0165,8514299169.92658,7395579289.45501,6963333921.53456,7589458073.33221,6776184614.2238,6398382259.12638
"Facilities &
Construction","Transaction uses
Government Furnished
Equipment or Property",2289801173.87797,2436230577.00816,2658629393.73556,7450395501.36448,7162329063.96888,5879958056.51269,6136101856.83166,5222891924.18684,4333807440.53355,3718643592.09312,4000703156.91417,3697747161.70727,3594519861.44322,3559507561.2394,2561758519.59918
"Land Vehicles","Transaction uses
Government Furnished
Equipment or Property",11718489022.8288,14005411330.5693,17086140898.1304,8528262423.28285,4433807735.68562,3354326883.69721,2575796033.93224,1686201349.58927,2800442687.15945,3336466602.47699,3271882968.3161,3972114553.42026,5997305102.02847,5423739115.7929,4839376027.5827
"Air & Missile
Defense","Transaction uses
Government Furnished
Equipment or Property",1143220684.68796,2823502689.39644,1291853538.19632,2185232425.13379,3255975525.3902,3546872896.49432,5679584980.82647,2490027780.21294,2285564932.25388,3686697219.71067,1841048677.17805,3843748736.52363,4053657998.98765,3651781247.5121,1229458157.15511
"Ordnance &
Missiles","Transaction uses
Government Furnished
Equipment or Property",8241651314.28657,7385333829.70547,8104926577.94114,9626019248.03676,8916023358.17527,8958148131.19359,8524511019.04555,6923263505.67566,7347837334.48612,8863656804.51976,7859159942.75037,8570006387.6371,8563548364.73615,13025890496.5045,10593821411.3361
