"SimpleArea","ProductServiceOrRnDarea","ProductOrServiceCode","ProductOrServiceCodeText","MDAcat","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
,,"",,"Other via Platform Portfolio",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0
"Products","Launchers & Munitions","1000","NONE","Launcher, Munition, Missile, or Space Product",,,,,,,,,,,,,,,0,,3213,42847.0016,103563.2002,29389.9198,,,,,,,,,,,
"Products","Launchers & Munitions","1005","GUNS, THROUGH 30 MM","Launcher, Munition, Missile, or Space Product",221460000,349942776,252006706,326512760,164653922,271973034,201055204,211646611,199240925,196871409,241042144,323784904,258646902,491320522,1020454282.606,1064215255.8032,814759066.6228,1351576346.9547,1423446703.0341,1335388836.3516,718520179.9692,522806212.6193,423325898.9351,457345851.8665,341292970.0585,348173346.5447,394199129.9513,430084966.322,398498062.4903,705826510.1772,392809485.0108
"Products","Launchers & Munitions","1010","GUNS, OVER 30 MM UP TO 75 MM","Launcher, Munition, Missile, or Space Product",536000,30298000,28983048,26191591,30884343,30646807,28645502,38323152,13132826,32530902,46001245,60602853,44718129,56594619,38270154.1712,82333404.7532,613206160.153,84586602.4634,180554929.8329,158826108.5732,145510112.262,114896893.5832,58032090.1895,50183675.8014,64164707.3398,120959267.1445,142137154.5915,55262333.23,109610623.459,56169871.8061,49095427.8427
"Products","Launchers & Munitions","1015","GUNS, 75 MM THROUGH 125 MM","Launcher, Munition, Missile, or Space Product",19726000,62957000,79434771,53545710,28824920,30881365,20985692,12291405,4142422,8693884,13304696,7289286,19288567,23165998,17676328.4,45053183.74,48716792.5013,75695336.4985,44118342.9292,131480167.5718,76991899.7149,57390209.7249,146036753.1794,29768448.93,25454683.93,19409020.6662,29782064.0844,28840937.7314,64018901.5521,47290285.16,57212943.3025
"Products","Launchers & Munitions","1020","GUNS OVER 125 MM THROUGH 150 MM","Launcher, Munition, Missile, or Space Product",15688000,51481000,59323659,40311739,21482100,22433602,36113490,118756860,65276301,36781735,129644311,42027748,42145729,92420086,59840834,63861893.9674,127846544.1196,183013818.3994,318767104.3679,53052605.1837,63928883.3462,40723783.3237,18730758.752,1629638.2301,2545853.62,1560692.1402,504055.3439,-2828958.5832,750057.4842,97943402.7143,84378695.3322
"Products","Launchers & Munitions","1025","GUNS OVER 150 MM THROUGH 200 MM","Launcher, Munition, Missile, or Space Product",11407000,21359000,27449281,66117789,104960972,120634265,164346983,24205401,32184181,7958668,12088090,2982618,24852774,33429353,32148878,248126574.2002,210424780.2208,234706337.5974,599614220.4204,288774515.6601,205962588.7688,292169092.9342,99127244.2917,77289834.52,57410797.9522,45270378.5696,40936060.8423,612386126.9739,99619858.7384,75267419.8913,68587270.071
"Products","Launchers & Munitions","1030","GUNS OVER 200 MM THROUGH 300 MM","Launcher, Munition, Missile, or Space Product",74000,493000,-970138,-42240,202752,71221,74626,,89040,,230852,336805,88312,144438,514716.6973,596878.5,716378.3904,879702.0586,1735982.5005,36148.3197,349012.6277,206534.4698,159878.1795,42323.64,94323.55,1367625.4088,160769502.2712,17411680.5227,-34291445.7411,149161.4311,-3154896.983
"Products","Launchers & Munitions","1035","GUNS, OVER 300 MM","Launcher, Munition, Missile, or Space Product",163000,84000,,,,,,56787,,,47414,29799,10000,10786,86222.7798,1079610.6396,139506.9588,1315786.125,461562.5503,352405.3906,1259848.273,60951892.4035,30975734.3998,906073.25,593418.36,40431.9103,1657468.8032,229226.8738,643052.0229,6367.4092,122921.1992
"Products","Launchers & Munitions","1040","CHEMICAL WEAPONS AND EQUIPMENT","Launcher, Munition, Missile, or Space Product",536000,418000,1181378,57263,187021,142232,7318541,3817989,8969792,15107206,16515649,28659012,7718838,9755913.79,15542315,21979560.9887,25040080.6246,25584104.4742,25533419.4168,20609768.9933,6823602.8957,4920537.5219,8142891.0048,5194225.59,2232950.4299,5021289.3048,2255790.9114,2934111.571,28687735.8058,2125901.7419,2629433.0459
