fiscal_year,parentid,ObligatedAmount,NumberOfActions,FreqCount
2006,**VARIABLE,7519126.9499,1846,35
2006,3H TECHNOLOGY,14973,2,1
2006,3M,21671126.0801,15072,869
2006,A & A ENVIRONMENTAL SERVICES,0,2,1
2006,A PLUS BUILDING CONTRACTORS,798202.34,282,15
2006,A1 SERVICE,0,2,1
2006,AAI,29186348,1168,21
2006,AAR,191389966.0907,13380,1074
2006,AASKI,1812026,141,12
2006,AAVID THERMAL TECHNOLOGIES,441838,6161,14
2006,ABACUS TECHNOLOGY,28194463.875,4855,67
2006,ABB,13971,1101,2
2006,ABB SUSA/A ARENSON [Joint Venture - ABB/A. Arenson],896022,1653,29
2006,ABECO CONTRACTING,1225002,4206,27
2006,ABM,2159569.2,10795,123
2006,ABS GROUP OF COMPANIES,274250,5062,14
2006,ABT ASSOCIATES,265251,2135,4
2006,ABU DHABI NATIONAL OIL COMPANY,494286016,2,2
2006,ACADEMY FOR EDUCATIONAL DEVELOPMENT (AED),164911,2,1
2006,ACCENTURE,287918275,13264,178
2006,ACCESS PORTABLE TOILETS,69956,3360,10
2006,ACCURATE AUTOMATION,1186570.3906,3236,6
2006,ACCUTECH SYSTEMS,300202.7188,1704,4
2006,ACE CLEANING S,1341582,2287,47
2006,ACEPEX MANAGEMENT,9579616.3872,3781,73
2006,ACQUISITION HOLDINGS,70830,1702,3
2006,ACS,3153172,4459,11
2006,ACTIONET,1300,2,1
2006,ACULIGHT,10338850,3989,39
2006,ADA,1876560,4509,10
2006,ADI TECHNOLOGIES,7511393,2884,17
2006,ADM INTERNATIONAL,5897672.2504,6535,149
2006,ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,666224,3362,12
2006,ADT SECURITY SERVICES,25498297.3673,15868,512
2006,ADVANCE PRESORT SERVICES,0,1702,3
2006,ADVANCED DIGITAL INFORMATION C,56745,1101,2
2006,ADVANCED ENERGY SYSTEMS,2921968,4074,9
2006,ADVANTOR HOLDING COMPANY,9164087.6094,6676,210
