Year,Global.Vendor.Name,Number.of.Actions,Dollars.Obligated,ParentID_M,ObligatedAmount,NumberOfActions,FreqCount,Rank,Diff_Amount,Diff_Action,Diff_Freq
2016,LOCKHEED MARTIN CORPORATION,136366,36156153439.27,LOCKHEED MARTIN,37525322964.8592,294581,144731,1,-1369169525.5892029,-158215,-8365
2016,THE BOEING COMPANY,13589,24349848777.87,BOEING,24102028648.68,31225,12958,2,247820129.18999863,-17636,631
2016,RAYTHEON COMPANY,11128,12768553983.32,RAYTHEON,12007594265.0511,23635,11215,4,760959718.2688999,-12507,-87
2016,GENERAL DYNAMICS CORPORATION,24650,12718512462.06,GENERAL DYNAMICS,12367013662.1464,180249,15354,3,351498799.913599,-155599,9296
2016,NORTHROP GRUMMAN CORPORATION,10476,10771630702.25,NORTHROP GRUMMAN,11000796372.8791,23008,11801,5,-229165670.6291008,-12532,-1325
2016,UNITED TECHNOLOGIES CORPORATION,22434,6527205957.21,UNITED TECH,4531880618.3803,24108,11882,8,1995325338.8297005,-1674,10552
2016,BAE SYSTEMS PLC,10930,5056204997.68,BAE SYSTEMS PLC [SURVEILLANCE & ATTACK BUSINESS],NA,NA,NA,NA,NA,NA,NA
2016,L-3 COMMUNICATIONS HOLDINGS  INC.,7238,4740179811.71,L3 COMMUNICATIONS,4821465205.4877,15350,6861,7,-81285393.77770042,-8112,377
2016,HUNTINGTON INGALLS INDUSTRIES  INC.,2780,4433710954.65,HUNTINGTON INGALLS INCORPORATED,4279494891.8157,3941,1977,9,154216062.83429956,-1161,803
2016,HUMANA INC.,247,3600321666.22,HUMANA,3599241556.5525,488,245,10,1080109.667500019,-241,2
2016,BECHTEL GROUP  INC.,102,3027224891.69,BECHTEL,3047269145.7593,180,93,11,-20044254.069300175,-78,9
2016,UNITEDHEALTH GROUP INCORPORATED,240,2889170216.44,UnitedHealth Group,2723101250.0506,386,193,12,166068966.3894,-146,47
2016,MCKESSON CORPORATION,47343,2709635573.84,MCKESSON,2705003069.8975,94288,47145,13,4632503.942500114,-46945,198
2016,HEALTH NET  INC.,163,2606211449.9,HEALTH NET,2606211433.2431,322,162,14,16.65689992904663,-159,1
2016,BELL BOEING JOINT PROJECT OFFICE,3967,2281497528.55,BELL BOEING JOINT PROJECT OFFICE [BELL/BOEING],2281496194.8378,7869,3941,16,1333.712200164795,-3902,26
2016,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,84154,2169224733.31,NA,NA,NA,NA,NA,NA,NA,NA
2016,AMERISOURCEBERGEN CORPORATION,306695,2114826202.18,AMERISOURCEBERGEN,2102690671.5588,609784,304937,17,12135530.621200085,-303089,1758
2016,TEXTRON INC.,4529,1944274905.44,TEXTRON,1905152755.0853,11173,4966,18,39122150.35470009,-6644,-437
2016,HARRIS CORPORATION,5128,1839561576.57,HARRIS,984466117.7811,16157,2530,33,855095458.7888999,-11029,2598
2016,GENERAL ATOMIC TECHNOLOGIES CORPORATION,913,1795173710.95,GENERAL ATOMICS,1746737310.4693,2571,938,20,48436400.480700016,-1658,-25
2016,BOOZ ALLEN HAMILTON HOLDING CORPORATION,3454,1779209292.74,BOOZ ALLEN HAMILTON,1873714104.3141,7749,3825,19,-94504811.57410002,-4295,-371
2016,GENERAL ELECTRIC COMPANY,4202,1724057375.18,GENERAL ELECTRIC,1672997446.1694,7825,3826,21,51059929.01060009,-3623,376
2016,UNITED LAUNCH ALLIANCE  L.L.C.,55,1539748257.45,UNITED LAUNCH ALLIANCE,1472834320.1749,98,49,22,66913937.27509999,-43,6
2016,"LEIDOS HOLDING, INC.",3481,1535064603.75,LEIDOS,1390361980.3536,5528,2927,24,144702623.39639997,-2047,554
2016,OSHKOSH CORPORATION,23838,1438158120.12,OSHKOSH,1421478413.9095001,44488,22291,23,16679706.210499763,-20650,1547
2016,CACI INTERNATIONAL INC,2360,1398041255.83,CACI,1163466672.9423,3819,1960,29,234574582.88769984,-1459,400
2016,ALLIANT TECHSYSTEMS INC.,1161,1340421553.88,ALLIANT TECHSYSTEMS OPERATIONS,NA,NA,NA,NA,NA,NA,NA
2016,AECOM,3210,1285306292.22,AECOM TECHNOLOGY,NA,NA,NA,NA,NA,NA,NA
2016,HONEYWELL INTERNATIONAL INC.,8310,1236675461.3,HONEYWELL,1230754885.9034,16939,8175,27,5920575.396600008,-8629,135
2016,ATLANTIC DIVING SUPPLY  INC.,32592,1215861537.8,ATLANTIC DIVING SUPPLY,1198434756.6054,79601,32251,28,17426781.194599867,-47009,341
2016,SIERRA NEVADA CORPORATION,710,1109587840.85,SIERRA NEVADA,1034160634.349,1337,691,30,75427206.50099993,-627,19
2016,LEONARDO SPA,2918,1057806822.8599999,NA,NA,NA,NA,NA,NA,NA,NA
2016,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,230,1001805362,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1001805352.9899,454,230,32,9.01010000705719,-224,0
2016,HEWLETT-PACKARD COMPANY,12718,965068769.25,HEWLETT PACKARD,1262824873.0348,65718,2495,26,-297756103.78480005,-53000,10223
2016,VECTRUS SYSTEMS CORPORATION,336,923378255.44,VECTRUS,923378246.8291,661,336,34,8.610900044441223,-325,0
2016,JOHNS HOPKINS UNIVERSITY,1600,902172694.98,JOHNS HOPKINS UNIVERSITY,1288051396.106,3176,1596,25,-385878701.1259999,-1576,4
2016,COMPUTER SCIENCES CORPORATION,1381,880145486.37,COMPUTER SCIENCES,NA,NA,NA,NA,NA,NA,NA
2016,THE AEROSPACE CORPORATION,18,866e6,THE AEROSPACE,866e6,36,18,36,0,-18,0
2016,AUSTAL LIMITED,184,865867984.47,AUSTAL,874848096.6122,384,194,35,-8980112.142199993,-200,-10
2016,THE MITRE CORPORATION,237,791744959.46,THE MITRE,822491575.3951,543,273,39,-30746615.93509996,-306,-36
2016,EXPRESS SCRIPTS HOLDING COMPANY,101,789284743.26,EXPRESS SCRIPTS,789255927.25,123,94,40,28816.009999990463,-22,7
2016,FLUOR CORPORATION,400,756279886.9,FLUOR,664412938.4062,112,62,47,91866948.49379992,288,338
2016,ALION SCIENCE AND TECHNOLOGY CORPORATION,1035,741109656.99,ALION SCIENCE & TECHNOLOGY,739665293.3953,2019,1029,42,1444363.5946999788,-984,6
2016,ROCKWELL COLLINS  INC.,2576,738922525.74,ROCKWELL COLLINS,773746135.8037,6212,2488,41,-34823610.06369996,-3636,88
2016,ROLLS-ROYCE CORPORATION,611,730936241.75,ROLLS ROYCE,824200201.1055,2475,1262,38,-93263959.35549998,-1864,-651
2016,MACANDREWS & FORBES HOLDINGS INC.,1494,721742542.78,MACANDREWS AMG HOLDING,NA,NA,NA,NA,NA,NA,NA
2016,"CERBERUS CAPITAL MANAGEMENT, L.P.",709,696493704.46,CERBERUS,NA,NA,NA,NA,NA,NA,NA
2016,ROYAL DUTCH SHELL PLC,735,631572370.1,ROYAL DUTCH SHELL,537555935.879,738,375,55,94016434.22100008,-3,360
2016,ADVANCED TECHNOLOGY INTERNATIONAL,151,622175650.95,NA,NA,NA,NA,NA,NA,NA,NA
2016,MANTECH INTERNATIONAL CORPORATION,1342,609862513.3,MANTECH INTL A,547203779.8774,2126,1086,54,62658733.42259991,-784,256
2016,JACOBS ENGINEERING GROUP INC.,1752,587844421.32,JACOBS ENGINEERING GROUP,549864016.8402,3298,1677,53,37980404.479800105,-1546,75
2016,FEDEX CORPORATION,5697184,578505658.31,FEDEX,578475002.5201,31089,1313,50,30655.78989994526,5666095,5695871
2016,"ENGILITY HOLDINGS, INC.",2660,573329167.23,ENGILITY,216617604.8795,2385,1307,115,356711562.3505,275,1353
2016,KIEWIT-TURNER A JOINT VENTURE,26,572934475.46,NA,NA,NA,NA,NA,NA,NA,NA
2016,PATRIOT TEAM,857,535675154.62,PATRIOT TEAM,531237066.5718,1681,845,56,4438088.048200011,-824,12
2016,ACCENTURE INC.,449,510897130.6,ACCENTURE,458917920.9352,2771,266,61,51979209.66480005,-2322,183
2016,GOVERNMENT OF CANADA,1691,510250821.42,GOVERNMENT OF CANADA,NA,NA,NA,NA,NA,NA,NA
2016,CARDINAL HEALTH  INC.,287413,503665681.99,CARDINAL HEALTH,514784183.4958,574213,287122,57,-11118501.505800009,-286800,291
2016,ANHAM FZCO,21190,479660951.55,ANHAM,474202248.2025,42069,21036,59,5458703.347500026,-20879,154
2016,KBR  INC.,781,475357960.93,NA,NA,NA,NA,NA,NA,NA,NA
2016,INSIGHT ENTERPRISES  INC.,1649,469670618.91,INSIGHT ENTERPRISES,469857890.7304,29202,1370,60,-187271.82039999962,-27553,279
2016,CDW CORPORATION,2271,458687959.26,CDW,453674212.3124,23887,2028,62,5013746.947600007,-21616,243
2016,WORLD WIDE TECHNOLOGY HOLDING CO.  INC.,2301,445846984.99,WORLD WIDE TECHNOLOGY,432237964.4308,18028,1996,63,13609020.559199989,-15727,305
2016,VSE CORPORATION,1784,438467910.33,VSE,421524681.3765,1324,676,65,16943228.953499973,460,1108
