"VendorNTIB","PlatformPortfolioUAV","2021","2022","2020","2017","2018","2019","2012","2013","2014","2015","2016"
"Australia","Aircraft",511148.341138876,120053,,,,,,,,,
"Australia","Electronics,
Comms & Sensors",7671735.79987357,2253175,,,,,,,,,
"Australia","Other Knowledge
Based",0,,2152091.52322729,,399669.024260571,2315673.24679476,,,,,
"Canada","Aircraft",39496904.8807607,-450535,,,,,,,,,
"Canada","UAS",,25000,1267865.53957202,,,,,,,,
"Canada","Ordnance &
Missiles",0,72032.98,658328.529760706,,,,,,,,
"Canada","Electronics,
Comms & Sensors",,,1777483.05152294,741231.577075024,0,,,,,,
"Canada","Other Knowledge
Based",1495195.10914355,,40920478.2730774,623483.813025578,,8023340.32584186,1511159.99971167,1090403.17323615,11567781.7921841,3560273.43489532,1710883.83893225
"United Kingdom","Aircraft",5338074.25299013,5187799.24,618929.261352335,,,,,,,,
"United Kingdom","Electronics,
Comms & Sensors",,176131,,287506.079029704,0,,,,,,
"United Kingdom","Other Knowledge
Based",44287.7536065745,26881.9,-41327.8961959783,1742548.63307327,1950956.93605203,1658669.68047486,,,,,6899622.14623777
