"SubCustomer.OTA.sum","TypeOfAgreement","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Army","Prototype",305798391.22,467083660.6,623306976.79,902166349.31,1545404234.55,2947049116.68,4946987294.07,13038972855.76,9791890070.47,5526836631.66,5551948646.64,900528444.88
"Army","Production",,,,,,,348308,229376133.84,763694993.38,571942623.76,1420811414.95,134979795.75
"Navy","Prototype",1087637,2694831,2316363,4928841,50000,31955707.71,167767241.67,621072980.27,946299367.02,1392818930.33,2396228169.59,287480377.3
"Navy","Production",,,,,,,,10203844.83,37345087.25,80559943.51,213676422.24,42162701.4
"Air Force","Prototype",3903539,4636181,4993631,250037783,187693198,526509339.38,1428461728.3,1358409639.11,1922431021.18,1373770303.73,2582227987.89,1081080934.21
"Air Force","Production",,,,,,,,76299804.16,62117307.39,61769399.21,107150475.74,31352988.8
"Air Force",,,,,,,,,235000,,,,
"SDA","Prototype",,,,,,,,,,623617676,1151457876.22,205871368
"MDA","Prototype",,,,,,,,79948980,160693402,232946539,421174933.8,48319960
"MDA","Production",,,,,,,,,3500000,6155000,8050000,2500000
"DARPA","Prototype",22014936,40849581,62907051,214782354.78,379711068.32,377879847.47,423307981.86,354104917.18,347468914.34,312343199.61,469335440.28,130386939.07
"DARPA","Production",,,,,,,,,,,6065329.49,3293394
"Other DoD","Prototype",7755269.51,8294831,1359295.89,61241002.21,2629821,70515217.94,243888265.92,525334651.5,418465604.4,508547161.27,1025345573.13,174609780.59
"Other DoD","Production",,,,,,,655268.97,41181902.47,212840425.61,289330105.34,327031127.28,83820685.66
