"ParentID","Competition.sum","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"ABL Space","1 Offer",,,,,,,,,,,,,,,,,5000
"ABL Space","3+ Offers",,,,,,,,,,,,,,,50000,0,1e+06
"BLUE ORIGIN","1 Offer",,,,,,,,,,,160564.3125,173259.3536,0,6500,3963234,605909,61617
"BLUE ORIGIN","2 Offers",,,,,,,,,,,,,,,509986,821949,2812787
"BLUE ORIGIN","3+ Offers",,,,,,,,,,0,,0,,228188645,274331818,13695715,437969984
"BLUE ORIGIN","No Comp.",,,,,,,,,,781920,504064.1485,179066.6113,2562119.9752,2744936.1484,126781.5996,,
"BOEING","1 Offer",18324324,48780989,38345050,158081681,160348243,542264668.51,594718014,647674417.14,664171685.2694,831754132.0489,801204263.6296,898684769.83,803512165.1001,775215093.73,882085811.4902,836994384,651567976
"BOEING","2 Offers",724548,2026585,715000,1612350,316615,664169,1924532,2669820,2364204,330363.4991,358078.98,-3813.55,399190,,-103006.2891,,
"BOEING","3+ Offers",36880521.21,57492025.08,47557919.73,88022349.5391,104627657.6949,24337289.4307,27157068.83,6942035.1901,51402601.2594,79315691.2683,154299105.2598,263537089.5102,211380072.5391,21693417.17,8713871.2001,-100924.89,3996291.1201
"BOEING","No Comp.",86470200.04,756441749.1419,27047778.89,1802480,8014485,3614940.8594,9857053.3,18480415.75,14259816.4396,1984410.4396,13530614.8294,4337323.4795,10618344.8807,151730593.901,183343982.3304,411947742.325,398259612.5
"BOEING","Unlabeled",,0,0,4396181,1727920,1278086,0,,-28986.9902,84695,0,-12349.6699,,,3500,10000,
"Firefly Aerospace","2 Offers",,,,,,,,,,,,,,,,,9212389
"Firefly Aerospace","3+ Offers",,,,,,,,,,,,,25000,,49899250.5,37869252,85659288
"NORTHROP GRUMMAN","1 Offer",6087399,7276053,10779812,1422012,4355210,3042863,4405000,3807026,0,0,0,2600000,1e+06,9106459.95,2738216.4899,0,8242304
"NORTHROP GRUMMAN","2 Offers",219609430,276598264,258508963,246004978,254308420,266319045,325574096,360243395,327081828.5706,312536753.2031,304878560.8906,246126756,149439225,196449352,162151906,27937573.1094,2814501
"NORTHROP GRUMMAN","3+ Offers",1887030.88,14309937.7,5297278.27,2374952,1956018.3101,3384824.5625,2323693.24,2169336.21,845455.4984,1595056.9502,3111661,1085771.57,494426028.5,463496319.6194,430116155.6599,490934245.47,500361436.29
"NORTHROP GRUMMAN","No Comp.",,,32975232,6784317,8910405,6533599,6878129,5372095,824143.2812,2701831.5625,-736997.5625,1138126.02,326993783.7298,366992682.8799,284424154,300565169.47,397268650.6719
"NORTHROP GRUMMAN","Unlabeled",,,,-25000,,,,,,,,,,,3500,,
"RUSSIA SPACE AGENCY","No Comp.",100040612,199782273,387192261,341238820,414009402.3398,586488883.3809,285001263,312278472.29,459872927.3633,235823637.5215,254927244.2813,127459133.88,184529617.64,136408443.41,3413944.54,2504481,6014852
"Rocket Lab","1 Offer",,,,,,,,,,,,,,,,,13983500
"Rocket Lab","2 Offers",,,,,,,,,,,,6530871,0,275149,,,
"Rocket Lab","3+ Offers",,,,,,,,,3025000,3925000,0,0,0,9543990,456010,0,115500
"SPACEX","1 Offer",,20000,587217.65,754625,0,,153552050,7084000,0,82960250,685129,6054007.97,-2155000,,,,7706550
"SPACEX","2 Offers",,,,,,,85995928,3152736,-17176,,96500488,226937905,373372600.77,-10688930.13,145317473.51,176303032.9,63766726.7376
"SPACEX","3+ Offers",,,25070000,114587767,194582177.51,256277026.8,354694524.1,353644512.9,517661752.06,570876854.85,517776703.59,552815435.62,849149494.32,1091380093.26,1994413411.9838,2559725101.9775,3006190726.3517
"SPACEX","No Comp.",,,0,0,,,,4252654,961124,722533,8767790.25,0,2214318,1775873.67,,,
"UNITED LAUNCH ALLIANCE","1 Offer",,,,,,,,,,,,,,,,,5000
"UNITED LAUNCH ALLIANCE","2 Offers",,106995229,275818870.87,293541837.0625,334280194,115289532,102060788,40284828,29020138,73608012,315536395,513211663,313250686.6,141465868,5537954.52,10815404.01,4323247.8203
"UNITED LAUNCH ALLIANCE","3+ Offers",,,0,0,10930793,199613568,193481745,324328504,347622222,305989005,167080500,296720345,212693075,606170683,481984945,803191079.75,857017510.5
"UNITED LAUNCH ALLIANCE","No Comp.",,,1200433277.65,1101869285.6828,1530691145.0599,2427967412.1884,1252379999.75,2519198422.9961,1718303663.03,1483197737.1749,1766637544.2,928041078.23,1111096765.84,546785528.47,234960065.68,308692215.24,196322163.7187
"UNITED LAUNCH ALLIANCE","Unlabeled",,,68347784,,174476,35000,,,,,,,,,,,
"Virgin Orbit","3+ Offers",,,,,,,,,,,,,,35050000,2249791,0,-210426
