"","x"
"1","assistance_transaction_unique_key"
"2","assistance_award_unique_key"
"3","award_id_fain"
"4","modification_number"
"5","award_id_uri"
"6","sai_number"
"7","federal_action_obligation"
"8","total_obligated_amount"
"9","total_outlayed_amount_for_overall_award"
"10","indirect_cost_federal_share_amount"
"11","non_federal_funding_amount"
"12","total_non_federal_funding_amount"
"13","face_value_of_loan"
"14","original_loan_subsidy_cost"
"15","total_face_value_of_loan"
"16","total_loan_subsidy_cost"
"17","disaster_emergency_fund_codes_for_overall_award"
"18","outlayed_amount_from_COVID.19_supplementals_for_overall_award"
"19","obligated_amount_from_COVID.19_supplementals_for_overall_award"
"20","outlayed_amount_from_IIJA_supplemental_for_overall_award"
"21","obligated_amount_from_IIJA_supplemental_for_overall_award"
"22","action_date"
"23","action_date_fiscal_year"
"24","period_of_performance_start_date"
"25","period_of_performance_current_end_date"
"26","awarding_agency_code"
"27","awarding_agency_name"
"28","awarding_sub_agency_code"
"29","awarding_sub_agency_name"
"30","awarding_office_code"
"31","awarding_office_name"
"32","funding_agency_code"
"33","Funding_Agency_Name"
"34","funding_sub_agency_code"
"35","funding_sub_agency_name"
"36","funding_office_code"
"37","funding_office_name"
"38","treasury_accounts_funding_this_award"
"39","federal_accounts_funding_this_award"
"40","object_classes_funding_this_award"
"41","program_activities_funding_this_award"
"42","recipient_uei"
"43","recipient_duns"
"44","recipient_name"
"45","recipient_name_raw"
"46","recipient_parent_uei"
"47","recipient_parent_duns"
"48","recipient_parent_name"
"49","recipient_parent_name_raw"
"50","recipient_country_code"
"51","recipient_country_name"
"52","recipient_address_line_1"
"53","recipient_address_line_2"
"54","recipient_city_code"
"55","recipient_city_name"
"56","prime_award_transaction_recipient_county_fips_code"
"57","recipient_county_name"
"58","prime_award_transaction_recipient_state_fips_code"
"59","recipient_state_code"
"60","recipient_state_name"
"61","recipient_zip_code"
"62","recipient_zip_last_4_code"
"63","prime_award_transaction_recipient_cd_original"
"64","prime_award_transaction_recipient_cd_current"
"65","recipient_foreign_city_name"
"66","recipient_foreign_province_name"
"67","recipient_foreign_postal_code"
"68","primary_place_of_performance_scope"
"69","primary_place_of_performance_country_code"
"70","primary_place_of_performance_country_name"
"71","primary_place_of_performance_code"
"72","primary_place_of_performance_city_name"
"73","prime_award_transaction_place_of_performance_county_fips_code"
"74","primary_place_of_performance_county_name"
"75","prime_award_transaction_place_of_performance_state_fips_code"
"76","primary_place_of_performance_state_name"
"77","primary_place_of_performance_zip_4"
"78","prime_award_transaction_place_of_performance_cd_original"
"79","prime_award_transaction_place_of_performance_cd_current"
"80","primary_place_of_performance_foreign_location"
"81","cfda_number"
"82","cfda_title"
"83","funding_opportunity_number"
"84","funding_opportunity_goals_text"
"85","assistance_type_code"
"86","transaction_description"
"87","prime_award_base_transaction_description"
"88","business_funds_indicator_code"
"89","business_funds_indicator_description"
"90","business_types_code"
"91","business_types_description"
"92","correction_delete_indicator_code"
"93","correction_delete_indicator_description"
"94","action_type_code"
"95","action_type_description"
"96","record_type_code"
"97","record_type_description"
"98","highly_compensated_officer_1_name"
"99","highly_compensated_officer_1_amount"
"100","highly_compensated_officer_2_name"
"101","highly_compensated_officer_2_amount"
"102","highly_compensated_officer_3_name"
"103","highly_compensated_officer_3_amount"
"104","highly_compensated_officer_4_name"
"105","highly_compensated_officer_4_amount"
"106","highly_compensated_officer_5_name"
"107","highly_compensated_officer_5_amount"
"108","usaspending_permalink"
"109","last_modified_date"
"110","USAspending_file_name"
"111","cfda_num"
"112","assistance_type_description"
