"","StartFY","Ceil.Simple","Dur.Simple","X50","X75","X80","X90","X95","X99","ContractCount","Action_Obligation_OMB20_GDP18","metric"
"1",2007,"0k - <100k","<~1 year",0,0,0,0,0,0.0547721715127835,252352,6344583327.36299,"Contracts within Period"
"2",2007,"0k - <100k","(~1 year,~2 years]",0,0,0,0,0,0.381375119759092,28947,1553273279.25974,"Contracts within Period"
"3",2007,"0k - <100k","(~2 years+]",0,0,0,0,0,0.309599156118143,6605,2265411143.3869,"Contracts within Period"
"4",2007,"0k - <100k",NA,0,0,0,0,0,0,534736,9011855680.51374,"Contracts within Period"
"5",2007,"100k - <10m","<~1 year",0,0,0,0,0.0302136964618197,0.59097402282167,55697,44303249427.9343,"Contracts within Period"
"6",2007,"100k - <10m","(~1 year,~2 years]",0,0,0,0,0.0350556637602412,0.74921895968651,22501,30004159510.4646,"Contracts within Period"
"7",2007,"100k - <10m","(~2 years+]",0,0,0,0,0.00588643760779905,0.902775972789282,5747,11162345464.1812,"Contracts within Period"
"8",2007,"100k - <10m",NA,0,0,0,0,0,0.083615581701532,39866,18392925746.5275,"Contracts within Period"
"9",2007,"10m+","<~1 year",0,0,0,0.0146208356684003,0.100810462654263,1.01853239841602,1382,50374496360.1133,"Contracts within Period"
"10",2007,"10m+","(~1 year,~2 years]",0,0,0.00313622786573495,0.0487076690075179,0.147095629703726,1.39379054378078,1290,53662381035.9815,"Contracts within Period"
"11",2007,"10m+","(~2 years+]",0,0,0.000585615286293746,0.0398373277762702,0.166899816942227,1.01774317699266,769,62598066076.6981,"Contracts within Period"
"12",2007,"10m+",NA,0,0,0,0,0.000446290443894623,0.270283733893723,406,7110147899.3566,"Contracts within Period"
"13",2008,"0k - <100k","<~1 year",0,0,0,0,0,0.0215336392682308,262203,6257931519.48457,"Contracts within Period"
"14",2008,"0k - <100k","(~1 year,~2 years]",0,0,0,0,0,0.267728668486778,33915,2598279750.28905,"Contracts within Period"
"15",2008,"0k - <100k","(~2 years+]",0,0,0,0,0,0.21972538301259,6102,457067545.335171,"Contracts within Period"
"16",2008,"0k - <100k",NA,0,0,0,0,0,0,575122,9754852230.30421,"Contracts within Period"
"17",2008,"100k - <10m","<~1 year",0,0,0,0,0.0184438442497332,0.4827397933383,59914,49802718034.406,"Contracts within Period"
"18",2008,"100k - <10m","(~1 year,~2 years]",0,0,0,0,0.0190035989054721,0.547209214781438,24044,32446920237.8624,"Contracts within Period"
"19",2008,"100k - <10m","(~2 years+]",0,0,0,0,0.00748845713407455,0.884992333553558,5009,9999147566.99109,"Contracts within Period"
"20",2008,"100k - <10m",NA,0,0,0,0,0,0.065371745706008,41451,19471621759.8665,"Contracts within Period"
"21",2008,"10m+","<~1 year",0,0,0,0.00492948617861655,0.0736421228568655,0.606027358858093,1489,53086397743.7571,"Contracts within Period"
"22",2008,"10m+","(~1 year,~2 years]",0,0,0.00461401008524371,0.0446037844890547,0.119738795630936,0.995156840187257,1414,80317953522.9889,"Contracts within Period"
"23",2008,"10m+","(~2 years+]",0,0.000138654879665987,0.00503128724803078,0.059785041646194,0.163762266396827,1.33609650665016,762,76056682795.7695,"Contracts within Period"
"24",2008,"10m+",NA,0,0,0,0,0.029260129705875,0.15833803552311,242,6398299953.4816,"Contracts within Period"
"25",2009,"0k - <100k","<~1 year",0,0,0,0,0,0.0609094887729558,234787,5543839106.99025,"Contracts within Period"
"26",2009,"0k - <100k","(~1 year,~2 years]",0,0,0,0,0,0.208196111512685,30431,1665218590.17044,"Contracts within Period"
"27",2009,"0k - <100k","(~2 years+]",0,0,0,0,0,0.446265784717613,4022,336704206.138574,"Contracts within Period"
"28",2009,"0k - <100k",NA,0,0,0,0,0,0,514315,8598895280.58386,"Contracts within Period"
"29",2009,"100k - <10m","<~1 year",0,0,0,0,0.0269971729329585,0.454242080304646,61277,50739049917.3265,"Contracts within Period"
"30",2009,"100k - <10m","(~1 year,~2 years]",0,0,0,0,0.0212834796554818,0.507627109085976,23294,31199550890.0695,"Contracts within Period"
"31",2009,"100k - <10m","(~2 years+]",0,0,0,0,0.00360131104322941,0.805473724180156,5187,11067790816.7891,"Contracts within Period"
"32",2009,"100k - <10m",NA,0,0,0,0,0,0.0630579849493183,39777,15708581704.7006,"Contracts within Period"
"33",2009,"10m+","<~1 year",0,0,0,0.00315634621680993,0.0765961432441934,0.534579876272674,1451,53527666151.4936,"Contracts within Period"
"34",2009,"10m+","(~1 year,~2 years]",0,0.00222830702694327,0.0102465058885382,0.066049335928671,0.159682690531198,0.5482056508596,1431,70409368719.85,"Contracts within Period"
"35",2009,"10m+","(~2 years+]",0,0,0.00177784739569899,0.0519493974384311,0.14922158917434,0.726811905686846,793,68221854055.1856,"Contracts within Period"
"36",2009,"10m+",NA,0,0,0,0.00196568838041357,0.066110016203631,0.171774098780733,174,3786727640.80692,"Contracts within Period"
"37",2010,"0k - <100k","<~1 year",0,0,0,0,0,0.0630587947205605,235669,7855121367.35346,"Contracts within Period"
"38",2010,"0k - <100k","(~1 year,~2 years]",0,0,0,0,0,0.289845653720725,29725,1769317644.60123,"Contracts within Period"
"39",2010,"0k - <100k","(~2 years+]",0,0,0,0,0,0.0743369877407107,5009,924523915.739659,"Contracts within Period"
"40",2010,"0k - <100k",NA,0,0,0,0,0,0,511837,8758634215.81605,"Contracts within Period"
"41",2010,"100k - <10m","<~1 year",0,0,0,0,0.0229713167213541,0.447199911082036,59825,51241731320.0456,"Contracts within Period"
"42",2010,"100k - <10m","(~1 year,~2 years]",0,0,0,0,0.0420779292652927,0.496177960734902,22579,31988805880.9457,"Contracts within Period"
"43",2010,"100k - <10m","(~2 years+]",0,0,0,0,0,0.42928744841722,5274,9538143362.07046,"Contracts within Period"
"44",2010,"100k - <10m",NA,0,0,0,0,0,0.0553643696856386,38367,14878962820.8991,"Contracts within Period"
"45",2010,"10m+","<~1 year",0,0,0,0.00296857339383298,0.0815339511813601,0.783017364293334,1240,49764657645.2974,"Contracts within Period"
"46",2010,"10m+","(~1 year,~2 years]",0,0.00249972663925918,0.0128954808374508,0.0673643065450254,0.144667740140688,0.61451369147823,1382,58363792751.7887,"Contracts within Period"
"47",2010,"10m+","(~2 years+]",0,0,0,0.0274909201487834,0.103485574614919,0.553107638135227,814,45918752684.7603,"Contracts within Period"
"48",2010,"10m+",NA,0,0,0,0,0.028771995101339,0.28874224936197,159,6113170418.42205,"Contracts within Period"
"49",2011,"0k - <100k","<~1 year",0,0,0,0,0,0.106450192868254,231965,5497016031.74088,"Contracts within Period"
"50",2011,"0k - <100k","(~1 year,~2 years]",0,0,0,0,0,0.245232183633043,32494,1324609859.58661,"Contracts within Period"
"51",2011,"0k - <100k","(~2 years+]",0,0,0,0,0,0.0918891747845435,6572,407244510.78602,"Contracts within Period"
"52",2011,"0k - <100k",NA,0,0,0,0,0,0,484763,8304982557.12064,"Contracts within Period"
"53",2011,"100k - <10m","<~1 year",0,0,0,0,0.00864225000968504,0.460458902028719,56834,44557686174.7461,"Contracts within Period"
"54",2011,"100k - <10m","(~1 year,~2 years]",0,0,0,0,0.00952461448390495,0.412949678254986,24647,34071844770.8251,"Contracts within Period"
"55",2011,"100k - <10m","(~2 years+]",0,0,0,0,1.26626275241485e-05,0.590221965853017,5270,9534113998.89933,"Contracts within Period"
"56",2011,"100k - <10m",NA,0,0,0,0,0,0.0551614628354453,32030,12977518045.8319,"Contracts within Period"
"57",2011,"10m+","<~1 year",0,0,0,0.015015751057415,0.116366372158262,0.778038646658478,1079,44734581751.3409,"Contracts within Period"
"58",2011,"10m+","(~1 year,~2 years]",0,0,0.00306822057171233,0.0458279913489179,0.129118461968654,0.472063693351883,1450,59669732443.8857,"Contracts within Period"
"59",2011,"10m+","(~2 years+]",0,0,0.000272748938428783,0.0497963818403597,0.12700697268645,0.474898439967392,828,50060335100.5843,"Contracts within Period"
"60",2011,"10m+",NA,0,0,0,0,0.00667927527730695,0.263198596495641,108,1851865686.54127,"Contracts within Period"
"61",2012,"0k - <100k","<~1 year",0,0,0,0,0,0,219038,5118266251.3648,"Contracts within Period"
"62",2012,"0k - <100k","(~1 year,~2 years]",0,0,0,0,0,0.125,31321,2093479327.7872,"Contracts within Period"
"63",2012,"0k - <100k","(~2 years+]",0,0,0,0,0,0.0624676792250217,6719,189799761.0925,"Contracts within Period"
"64",2012,"0k - <100k",NA,0,0,0,0,0,0,463990,7674370321.6307,"Contracts within Period"
"65",2012,"100k - <10m","<~1 year",0,0,0,0,0,0.319137571167592,55461,42239321194.6359,"Contracts within Period"
"66",2012,"100k - <10m","(~1 year,~2 years]",0,0,0,0,0.00536248959155955,0.369349604518629,23293,30815914330.2711,"Contracts within Period"
"67",2012,"100k - <10m","(~2 years+]",0,0,0,0,0,0.381026371804152,4757,7970090871.1265,"Contracts within Period"
"68",2012,"100k - <10m",NA,0,0,0,0,0,0.0723318610241379,26450,9820825771.7878,"Contracts within Period"
"69",2012,"10m+","<~1 year",0,0,0,0.0168750007007095,0.127300735687435,0.8190360769257,899,33723434924.5989,"Contracts within Period"
"70",2012,"10m+","(~1 year,~2 years]",0,0,0.000937481835770454,0.0427066936240884,0.123586053917113,0.547888740609545,1291,55651403733.7845,"Contracts within Period"
"71",2012,"10m+","(~2 years+]",0,0,0.00272753120458363,0.0491434283756994,0.116808600752983,0.594361154043695,629,41847040946.9379,"Contracts within Period"
"72",2012,"10m+",NA,0,0,0,0,0,0.673297794601259,67,2054096072.6031,"Contracts within Period"
"73",2013,"0k - <100k","<~1 year",0,0,0,0,0,0,218418,4610353517.90868,"Contracts within Period"
"74",2013,"0k - <100k","(~1 year,~2 years]",0,0,0,0,0,0.0757111031056028,27537,923243829.849666,"Contracts within Period"
"75",2013,"0k - <100k","(~2 years+]",0,0,0,0,0,0.620461724256397,3741,112475393.605951,"Contracts within Period"
"76",2013,"0k - <100k",NA,0,0,0,0,0,0,408278,6213317679.39228,"Contracts within Period"
"77",2013,"100k - <10m","<~1 year",0,0,0,0,0,0.339670676241319,47458,36028896757.415,"Contracts within Period"
"78",2013,"100k - <10m","(~1 year,~2 years]",0,0,0,0,0.00674138691749351,0.341352267635274,19204,24446444097.379,"Contracts within Period"
"79",2013,"100k - <10m","(~2 years+]",0,0,0,0,0.00740201044384097,0.539204532848779,3571,5687418722.1304,"Contracts within Period"
"80",2013,"100k - <10m",NA,0,0,0,0,0,0.0290099241578056,21347,8256577680.85408,"Contracts within Period"
"81",2013,"10m+","<~1 year",0,0,0,0.0106096760350164,0.0825130581044275,0.475778214693077,783,26665908781.2268,"Contracts within Period"
"82",2013,"10m+","(~1 year,~2 years]",0,0,0,0.0313840304999621,0.106646921362849,0.714509031849368,877,28897099495.9568,"Contracts within Period"
"83",2013,"10m+","(~2 years+]",0,0,0,0.0259577588904811,0.0771889055709183,0.36922799912659,548,30278558028.3596,"Contracts within Period"
"84",2013,"10m+",NA,0,0,0,0,0,0.220669997516304,67,1579914537.81039,"Contracts within Period"
"85",2014,"0k - <100k","<~1 year",0,0,0,0,0,0,235693,5678932379.14873,"Contracts within Period"
"86",2014,"0k - <100k","(~1 year,~2 years]",0,0,0,0,0,0.0318078730394184,30348,850599227.396301,"Contracts within Period"
"87",2014,"0k - <100k","(~2 years+]",0,0,0,0,0,0.687318553542071,4316,113566991.584433,"Contracts within Period"
"88",2014,"0k - <100k",NA,0,0,0,0,0,0,421070,6493847120.99952,"Contracts within Period"
"89",2014,"100k - <10m","<~1 year",0,0,0,0,0,0.27546177553171,49224,33011920773.4215,"Contracts within Period"
"90",2014,"100k - <10m","(~1 year,~2 years]",0,0,0,0,0.0087013582334354,0.369017049573467,19217,22448947871.189,"Contracts within Period"
"91",2014,"100k - <10m","(~2 years+]",0,0,0,0,0,0.38303082617823,3130,5160975558.67537,"Contracts within Period"
"92",2014,"100k - <10m",NA,0,0,0,0,0,0,25820,12393320115.52,"Contracts within Period"
"93",2014,"10m+","<~1 year",0,0,0,0.00697438940144387,0.116081601270217,0.603953588259797,577,20693580056.673,"Contracts within Period"
"94",2014,"10m+","(~1 year,~2 years]",0,0,0,0.0226135958248002,0.0696972822972669,0.561365454862152,741,21961480287.8547,"Contracts within Period"
"95",2014,"10m+","(~2 years+]",0,0,0.000333762371884261,0.0307587011920257,0.0817087082343312,0.264953290230387,384,13581654693.9591,"Contracts within Period"
"96",2014,"10m+",NA,0,0,0,0,0,0,308,5661603236.9345,"Contracts within Period"
"97",2015,"0k - <100k","<~1 year",0,0,0,0,0,0,475969,5106872188.43276,"Contracts within Period"
"98",2015,"0k - <100k","(~1 year,~2 years]",0,0,0,0,0,0,40380,1033004798.74151,"Contracts within Period"
"99",2015,"0k - <100k","(~2 years+]",0,0,0,0,0,1.01725053731123,2994,76608353.9311887,"Contracts within Period"
