fiscal_year	contractingofficeagencyid	ContractingOfficeID	ContractingOfficeName	ContractingAgencyText	fundingrequestingagencyid	fundingrequestingofficeid	ProductOrServiceCode	PlatformPortfolio	ProjectID	majorprogramcode	VehicleClassification	CompetitionClassification	ClassifyNumberOfOffers	informationtechnologycommercialitemcategory	commercialitemacquisitionprocedures	commercialitemtestprogram	PricingUCA	VendorSize	fundedbyforeignentity	PlaceISOalpha3	pop_state_code	placeofperformancezipcode	VendorISOalpha3	VendorStateCode	OriginISOalpha3	placeofmanufacture	IsSiliconValley	majorprogramcode	IsZipTraditionalSiliconValley	EntityText	EntityID	vendorname	EntityVendorName	descriptionofcontractrequirement	contract_transaction_unique_key	contract_award_unique_key	obligatedAmount	numberOfActions
2020	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AD93	Other R&D and Knowledge Based	2255		MULTIPLE AWARD IDC	Limited Competition with multiple offers	25-99 Offers	Z	D	0	FFP	Medium <1B	X	USA	VA	201513868	USA	VA	USA	C	NULL		NULL	047939504	11633	CENTAURI, LLC	NULL	PROGRAM OVERVIEW	9700_9700_FA861220F0551_0_FA861220D0051_0	CONT_AWD_FA861220F0551_9700_FA861220D0051_9700	3800.0000	1
2021	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AC13	Aircraft	2254		NULL	Limited Competition with multiple offers (Overrode blank Fair Opportunity)	100+ Offers		D	N	FFP	Medium <1B	X	NULL			USA	VA	NULL		NULL		NULL	001344142	32337	FORCEPOINT FEDERAL LLC	NULL	ADVANCED BATTLE MANAGEMENT SYSTEMS	9700_-NONE-_FA861221D0122_0_-NONE-_-NONE-	CONT_IDV_FA861221D0122_9700	0.0000	NULL
2021	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AC13	Aircraft	2255		MULTIPLE AWARD IDC	Limited Competition with multiple offers	100+ Offers	Z	D	N	FFP	Medium <1B	X	USA	VA	201706024	USA	VA	USA	C	NULL		NULL	001344142	32337	FORCEPOINT FEDERAL LLC	NULL	ADVANCED BATTLE MANAGEMENT SYSTEM	9700_9700_FA861221F0624_0_FA861221D0122_0	CONT_AWD_FA861221F0624_9700_FA861221D0122_9700	3331.0000	1
2021	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AC13	Aircraft	2254		NULL	Limited Competition with multiple offers (Overrode blank Fair Opportunity)	100+ Offers		D	N	FFP	Small	X	NULL			USA	VA	NULL		NULL		NULL	013341842	87576	CONCEPT SOLUTIONS, L.L.C.	NULL	ADVANCED BATTLE MANAGEMENT SYSTEM	9700_-NONE-_FA861221D0115_P00001_-NONE-_-NONE-	CONT_IDV_FA861221D0115_9700	0.0000	NULL
2021	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AC13	Aircraft	2254		NULL	Limited Competition with multiple offers (Overrode blank Fair Opportunity)	100+ Offers		D	N	FFP	Small	X	NULL			USA	VA	NULL		NULL		NULL	013341842	87576	CONCEPT SOLUTIONS, L.L.C.	NULL	ADVANCED BATTLE MANAGEMENT SYSTEM	9700_-NONE-_FA861221D0115_0_-NONE-_-NONE-	CONT_IDV_FA861221D0115_9700	0.0000	NULL
2021	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AC13	Aircraft	2255		MULTIPLE AWARD IDC	Limited Competition with multiple offers	100+ Offers	Z	D	N	FFP	Small	X	USA	VA	201913440	USA	VA	USA	C	NULL		NULL	013341842	87576	CONCEPT SOLUTIONS, L.L.C.	NULL	ADVANCED BATTLE MANAGEMENT SYSTEM	9700_9700_FA861221F0617_0_FA861221D0115_0	CONT_AWD_FA861221F0617_9700_FA861221D0115_9700	1593.0000	1
2020	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AD93	Other R&D and Knowledge Based	2255		MULTIPLE AWARD IDC	Limited Competition with multiple offers	25-99 Offers		D	0	FFP	Small	X	USA	FL	329011822	USA	FL	USA	C	NULL		NULL	038379579	131368	SECURBORATION, INC.	NULL	ADVANCED BATTLE MANAGEMENT SYSTEM	9700_9700_FA861220F0523_P00001_FA861220D0023_0	CONT_AWD_FA861220F0523_9700_FA861220D0023_9700	0.0000	1
2020	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AD93	Other R&D and Knowledge Based	2255		MULTIPLE AWARD IDC	Limited Competition with multiple offers	25-99 Offers	Z	D	0	FFP	Small	X	USA	FL	329011822	USA	FL	USA	C	NULL		NULL	038379579	131368	SECURBORATION, INC.	NULL	POST AWARD CONFERENCE	9700_9700_FA861220F0523_0_FA861220D0023_0	CONT_AWD_FA861220F0523_9700_FA861220D0023_9700	3800.0000	1
2020	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AD93	Other R&D and Knowledge Based	2255		MULTIPLE AWARD IDC	Limited Competition with multiple offers	25-99 Offers	Z	D	0	FFP	Small	X	USA	CA	921236402	USA	CA	USA	C	NULL		NULL	078543232	134079	VENATOR SOLUTIONS, LLC	NULL	PROGRAM OVERVIEW	9700_9700_FA861220F0563_0_FA861220D0063_0	CONT_AWD_FA861220F0563_9700_FA861220D0063_9700	3800.0000	1
2020	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AD93	Other R&D and Knowledge Based	2255		MULTIPLE AWARD IDC	Limited Competition with multiple offers	25-99 Offers		D	0	FFP	Medium <1B	X	USA	AL	358062969	USA	AL	USA	C	NULL		NULL	008382293	141057	GATR TECHNOLOGIES, INC.	NULL	ADVANCED BATTLE MANAGEMENT SYSTEM	9700_9700_FA861220F0533_P00001_FA861220D0033_0	CONT_AWD_FA861220F0533_9700_FA861220D0033_9700	0.0000	1
2020	5700	FA8612	FA8612  AFLCMC PZP ABMS	DEPT OF THE AIR FORCE	5700	F4FDAQ	AD93	Other R&D and Knowledge Based	2255		MULTIPLE AWARD IDC	Limited Competition with multiple offers	25-99 Offers	Z	D	0	FFP	Medium <1B	X	USA	AL	358062969	USA	AL	USA	C	NULL		NULL	008382293	141057	GATR TECHNOLOGIES, INC.	NULL	INITIAL ORDER/PROGRAM OVERVIEW	9700_9700_FA861220F0533_0_FA861220D0033_0	CONT_AWD_FA861220F0533_9700_FA861220D0033_9700	3800.0000	1
2021	2100	W91278	US ARMY ENGINEER DISTRICT MOBILE	DEPT OF THE ARMY	5700	F1T1CT	C211	Facilities and Construction	2254		MULTIPLE AWARD IDC	Competition with single offer	One Offer	Z	D	N	FFP	Small	X	USA	FL	325420353	USA	FL	USA	C	NULL		NULL	058221375	141870	BULLOCK TICE ASSOCIATES, INC.	NULL	JADC2/ABMS FACILITY CHARRETTE, EGLIN AFB	9700_9700_W9127821F0024_0_W9127818D0032_0	CONT_AWD_W9127821F0024_9700_W9127818D0032_9700	227491.0000	1
