Description_of_Requirement,descrip_row_number,Remotely_Crewed,UAS,CUAS,Maritime,mq,rq,any_uas
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT (OTA) IS TO REIMBURSE DENVER INTERNATIONAL AIRPORT (DEN) FOR PARKING SERVICES.,1,,,,,,,
"DESIGN SERVICES NECESSARY TO MODIFY THE EXISTING INLINE CHECKED
BAGGAGE INSPECTION SYSTEM (CBIA) UTILIZING EXPLOSIVE DETECTION
SYSTEMS (EDS) AT THE AIRPORT.",2,,,,,,,
THIS OTA IS TO OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE BURBANK BOB-HOPE AIRPORT FROM 01/01/2020 TO 12/31/2020. THE DATE SIGNED AND EFFECTIVE DATE WAS DELAYED BY THE AIRPORT.,3,,,,,,,
COVID-19--OBLIGATES FUNDING TO REIMBURSE COSTS FOR THE CLEANING AND SANITIZATION OF THE TSA CHECKPOINT AREAS AT BURBANK BOB-HOPE AIRPORT AS REQUIRED BY LOCAL AND STATE HEALTH AUTHORITIES AND THE CENTERS FOR DISEASE CONTROL AND PREVENTION.,4,,,,,,,
"COVID-19: OBLIGATES FUNDING TO REIMBURSE COSTS FOR CLEANING
AND SANITIZATION OF TSA TERMINAL A CHECKPOINTS&BREAKROOM AREAS AT BURBANK BOB-HOPE AIRPORT AS REQUIRED BY LOCAL, STATE HEALTH AUTHORITIES AND CENTERS FOR DISEASE CONTROL AND PREVENTION",5,,,,,,,
OTA IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT DALLAS/FORT WORTH INTERNATIONAL AIRPORT.,6,,,,,,,
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT (OTA) IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS NORTHWEST ARKANSAS REGIONAL AIRPORT (XNA).,7,,,,,,,
THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS GAINESVILLE AIRPORT FL.,8,,,,,,,
OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS FOR SCREENING AREAS AT THE RUTLAND SOUTHERN VERMONT REGIONAL AIRPORT.,9,,,,,,,
"NATIONAL INTEREST ACTION: COVID192020
THE PURPOSE OF THIS OTA IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE REIMBURSEMENT OF COVID-19 CLEANING AND SANITIZATION ACTIVITIES TO LAGUARDIA GATEWAY PARTNERS.",10,,,,,,,
