"Fiscal Year","Contracting Agency ID","Contracting Agency Name","Product or Service Code","Product or Service Description","Base and All Options Value (Total Contract Value)"
"2012","2100","DEPT OF THE ARMY","1550","UNMANNED AIRCRAFT","$69,438,600.04"
"2012","2100","DEPT OF THE ARMY","5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","$728,000.00"
"2012","2100","DEPT OF THE ARMY","A","RESEARCH AND DEVELOPMENT","$630,000.00"
"2012","2100","DEPT OF THE ARMY","AC14","R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT)","$4,320,000.00"
"2012","2100","DEPT OF THE ARMY","AC43","R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ADVANCED DEVELOPMENT)","$60,000,000.00"
"2012","2100","DEPT OF THE ARMY","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$856,938,236.40"
"2012","2100","DEPT OF THE ARMY","AD24","R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT)","$99,778.00"
"2012","2100","DEPT OF THE ARMY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$26,711,941.17"
"2012","2100","DEPT OF THE ARMY","AZ17","R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED)","$0.00"
"2012","2100","DEPT OF THE ARMY","R799","SUPPORT- MANAGEMENT: OTHER","$1,170,331.00"
"2012","5700","DEPT OF THE AIR FORCE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$18,040,481.00"
"2012","5700","DEPT OF THE AIR FORCE","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)","$600,000.00"
"2012","7001","OFFICE OF PROCUREMENT OPERATIONS","6120","TRANSFORMERS: DISTRIBUTION AND POWER STATION","$1,119,246.00"
"2012","7001","OFFICE OF PROCUREMENT OPERATIONS","AH94","R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT)","($125,000.00)"
"2012","7001","OFFICE OF PROCUREMENT OPERATIONS","AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$3,317,002.00"
"2012","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","($1,635,294.29)"
"2012","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","$69,758.00"
"2012","7001","OFFICE OF PROCUREMENT OPERATIONS","B504","SPECIAL STUDIES/ANALYSIS- CHEMICAL/BIOLOGICAL","$0.00"
"2012","7001","OFFICE OF PROCUREMENT OPERATIONS","B544","SPECIAL STUDIES/ANALYSIS- TECHNOLOGY","($19,999.99)"
"2012","7001","OFFICE OF PROCUREMENT OPERATIONS","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","$0.00"
"2012","7001","OFFICE OF PROCUREMENT OPERATIONS","R499","SUPPORT- PROFESSIONAL: OTHER","$0.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$549,894.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","6710","CAMERAS, MOTION PICTURE","$3,454,978.17"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","B546","SPECIAL STUDIES/ANALYSIS- SECURITY (PHYSICAL/PERSONAL)","$0.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","C1BE","ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS","$8,209,869.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","C212","ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","$6,486,593.63"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","C215","ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING","$0.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","$0.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","J058","MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","$9,987,955.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","N063","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$18,727,655.67"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","N067","INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT","$10,106,747.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","R499","SUPPORT- PROFESSIONAL: OTHER","$81,109,361.05"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","S206","HOUSEKEEPING- GUARD","$1,840,072.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","X125","LEASE/RENTAL OF AIRPORT TERMINALS","$0.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1BE","LEASE/RENTAL OF AIRPORT TERMINALS","$92,501.50"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","X1PZ","LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES","$64,110.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y125","CONSTRUCTION OF AIRPORT TERMINALS","$0.00"
"2012","7013","TRANSPORTATION SECURITY ADMINISTRATION","Y1BE","CONSTRUCTION OF AIRPORT TERMINALS","$26,000,774.00"
"2012","9761","DEFENSE THREAT REDUCTION AGENCY (DTRA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$10,301,214.00"
"2012","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$64,161,757.00"
"2012","97AE","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","AD95","R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)","$2,241,527.00"
"2013","1700","DEPT OF THE NAVY","AC63","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT)","$1,137,637.00"
"2013","2100","DEPT OF THE ARMY","1550","UNMANNED AIRCRAFT","$16,000,000.00"
"2013","2100","DEPT OF THE ARMY","5810","COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS","$1,270,461.00"
"2013","2100","DEPT OF THE ARMY","A","RESEARCH AND DEVELOPMENT","$0.00"
"2013","2100","DEPT OF THE ARMY","AC54","R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT)","$222,634,272.72"
"2013","2100","DEPT OF THE ARMY","AD94","R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT)","$5,111,741.21"
"2013","2100","DEPT OF THE ARMY","AZ11","R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH)","$12,078,054.00"
"2013","2100","DEPT OF THE ARMY","AZ12","R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$8,447,512.00"
"2013","2100","DEPT OF THE ARMY","AZ17","R&D- OTHER RESEARCH AND DEVELOPMENT (COMMERCIALIZED)","$0.00"
"2013","2100","DEPT OF THE ARMY","R799","SUPPORT- MANAGEMENT: OTHER","$622,432.00"
"2013","5700","DEPT OF THE AIR FORCE","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$0.00"
"2013","7001","OFFICE OF PROCUREMENT OPERATIONS","6120","TRANSFORMERS: DISTRIBUTION AND POWER STATION","$0.00"
"2013","7001","OFFICE OF PROCUREMENT OPERATIONS","AH94","R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT)","$228,000.00"
"2013","7001","OFFICE OF PROCUREMENT OPERATIONS","AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","$34,125,624.41"
"2013","7001","OFFICE OF PROCUREMENT OPERATIONS","AZ13","R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT)","($524,032.99)"
"2013","7001","OFFICE OF PROCUREMENT OPERATIONS","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","($1.00)"
"2013","7001","OFFICE OF PROCUREMENT OPERATIONS","R499","SUPPORT- PROFESSIONAL: OTHER","$21,047,062.72"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$6,440,827.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","6710","CAMERAS, MOTION PICTURE","$830,958.88"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","7435","OFFICE INFORMATION SYSTEM EQUIPMENT","$2,435.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","AD64","R&D- DEFENSE OTHER: CONSTRUCTION (ENGINEERING DEVELOPMENT)","$0.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","C119","OTHER BUILDINGS","$0.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","C1BE","ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS","$614,447,284.10"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","C212","ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","$713,459.66"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","C215","ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING","$0.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","C219","ARCHITECT AND ENGINEERING- GENERAL: OTHER","$0.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","D304","IT AND TELECOM- TELECOMMUNICATIONS AND TRANSMISSION","$240,000.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","N063","INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$460,964.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","N067","INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT","$32,177,046.11"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","R426","SUPPORT- PROFESSIONAL: COMMUNICATIONS","$492,720.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","R499","SUPPORT- PROFESSIONAL: OTHER","($122,382.89)"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","S112","UTILITIES- ELECTRIC","$3,533,007.60"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","S201","HOUSEKEEPING- CUSTODIAL JANITORIAL","$247,814.47"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","S206","HOUSEKEEPING- GUARD","$77,692,553.45"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","S211","HOUSEKEEPING- SURVEILLANCE","$6,915,485.06"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","U008","EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT","$0.00"
"2013","7013","TRANSPORTATION SECURITY ADMINISTRATION","X125","LEASE/RENTAL OF AIRPORT TERMINALS","$0.00"
