"CSIScontractID","Action_Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","IsComplete","StartFiscal_Year","topContractingOfficeAgencyID","topContractingOfficeID","topProductOrServiceCode","topPrincipalNAICScode","AgencyID","Customer","SubCustomer","UnmodifiedDays","qDuration","qLowCeiling","qHighCeiling","UnmodifiedContractObligatedAmount","UnmodifiedBase","UnmodifiedCeiling","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","IsModified","ChangeOrderBaseAndAllOptionsValue","SumOfisNewWork","NewWorkBaseAndAllOptionsValue","qNChg","pChangeOrderUnmodifiedBaseAndAll","CBre","qCRais","PlaceCountryISO3","UnmodifiedPlaceCountryISO3","AnyPlaceInternational","PlatformPortfolio","UnmodifiedPlatformPortfolio","ProductOrServiceArea","UnmodifiedProductOrServiceArea","SimpleArea","UnmodifiedSimpleArea","ObligatedAmountIsProducts","ObligatedAmountIsServices","ObligatedAmountIsRnD","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsUrgency","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","IsIDV","Offr","Comp","EffComp","Urg","Veh","IsIncentive","FxCb","Fee","IsUCA","UnmodifiedIsUCA","UCA","SumOfisChangeOrder","ChangeOrderCeilingGrowth","ChangeOrderCeilingRescision","SteadyScopeCeilingModification","AdminCeilingModification","EndingCeilingModification","OtherCeilingModification","p_CBre","Why_Outlier","p_ChangeOrderCeilingGrowth"
18684143,374042,0,0,2008-12-23,2008-09-30,2008-12-19,2008-09-30,1,2008,"1700","N62789","1904","336611","1700","Defense","Navy",27,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",7842,7842,7842,2008-10-26,2008-10-26,NA,TRUE,366200,0,0,"[   3,3316]",46.6972711043101,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Ships & Submarines","Ships & Submarines","Ships","Ships","Products","Products",374042,NA,NA,1,0,0,1,0,0,0,NA,1,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Cost-Based","Fixed Fee",1,1,"UCA",8,449000,-82800,0,0,0,0,58.2556745728131,"Obligations at least half Orig+CRai",58.2556745728131
24882044,724492.1987,0,0,2010-01-17,2008-10-25,2013-03-08,2008-09-30,1,2009,"2100","W912PL","Z299","238990","2100","Defense","Army",67.0416666666667,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",5324,5324,5324,2008-12-30,2008-12-31,NA,TRUE,227036.6875,4,492131.5112,"[   3,3316]",42.6440059166041,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,724492.1987,NA,1,0,0,0,0,0,0,NA,0,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",5,227036.6875,0,492131.5112,0,0,0,43.6438180879038,"Obligations at least half Orig+CRai",43.6438180879038
25566681,784.58,0,0,2013-09-30,2013-09-17,2013-09-17,2013-09-17,1,2013,"2100","W91242","2330","238210","2100","Defense","Army",NA,NA,"[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",0,0,0,NA,NA,NA,TRUE,784.58,0,0,"   1",Inf,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Land Vehicles",NA,"Ground Vehicles",NA,"Products",NA,784.58,NA,NA,5,NA,1,NA,0,0,1,784.58,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,784.58,0,0,0,0,0,Inf,"No Unmodified Ceiling",Inf
9457540,293412,0,0,2009-01-22,2007-04-04,2007-08-30,2007-04-04,1,2007,"97AK","HC1019","D304","","97AK","Defense","Other DoD",367,"(~1 year,~2 years]","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",1014,1014,1014,2008-04-04,2008-04-04,NA,TRUE,221559,1,70839,"   2",218.5,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Electronics, Comms, & Sensors","Electronics, Comms, & Sensors","ICT","ICT","Services","Services",NA,293412,NA,2,1,1,NA,0,1,1,293412,NA,NA,"IDV","2","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",2,221559,0,0,0,0,70839,219.499013806706,"Obligations at least half Orig+CRai",219.499013806706
18783644,15001.04,0,0,2011-11-02,2011-08-05,2011-09-20,2011-08-08,1,2011,"1700","N00164","J066","811219","1700","Defense","Navy",46,"[0 months,~2 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",825,825,825,2011-09-19,2011-09-19,NA,TRUE,14176.04,0,0,"   2",17.1830787878788,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","ERS","ERS","Services","Services",NA,15001.04,NA,3,0,1,0,0,0,1,15001.04,0,NA,"IDV","3-4","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",2,14176.04,0,0,0,0,0,18.1818666666667,"Obligations at least half Orig+CRai",18.1818666666667
25871083,12548.3,0,0,2013-08-31,2013-07-30,2013-07-30,2013-07-30,1,2013,"1700","N0622A","U005","611310","1700","Defense","Navy",NA,NA,"[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",0,0,0,NA,NA,NA,TRUE,12548.3,0,0,"   2",Inf,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Other R&D and Knowledge Based",NA,"PAMS",NA,"Services",NA,NA,12548.3,NA,1,NA,0,NA,0,0,0,NA,0,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",2,26691.95,-14143.65,0,0,0,0,Inf,"No Unmodified Ceiling",Inf
9993681,2090790.0703,0,0,2008-07-24,2006-10-02,2007-12-06,2006-10-01,1,2007,"5700","FA4613","M161","561210","5700","Defense","Air Force",272,"[~7 months-~1 year]","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",94084,94084,94084,2007-06-30,2007-06-30,NA,TRUE,1208122,0,0,"[   3,3316]",12.840886867055,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,2090790.0703,NA,1,0,0,0,0,0,0,NA,0,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",8,1208122,0,788584.0703,0,0,0,13.8408762382552,"Obligations at least half Orig+CRai",13.8408762382552
18403891,2690576.5537,1,0,2009-12-31,2008-05-07,2010-03-02,2008-05-06,1,2008,"97F5","HQ0034","7110","337214","97F5","Defense","Other DoD",390,"(~1 year,~2 years]","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",2625,2625,2625,2009-05-31,2009-05-31,NA,TRUE,215244.3584,0,0,"[   3,3316]",81.9978508190476,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","Other","Other","Products","Products",2690576.5537,NA,NA,1,0,0,0,0,0,0,NA,0,0,"IDV","1","No Comp.","No Comp.","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",4,215244.3584,0,2704453.25,0,-231746.0547,0,82.9974698666667,"Obligations at least half Orig+CRai",82.9974698666667
24540632,2631093,0,0,2013-06-30,2009-04-15,2012-08-15,2009-04-15,1,2009,"2100","W52P1J","F110","562910","2100","Defense","Army",169,"[~2 months,~7 months)","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",16298,16298,16298,2009-09-30,2009-09-30,NA,TRUE,2485289,3,56753,"[   3,3316]",152.490428273408,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,2631093,NA,1,0,0,0,0,0,0,NA,0,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",8,2486489,-1200,129506,0,0,0,153.56399558228,"Obligations at least half Orig+CRai",153.56399558228
27233064,12734.02,0,0,2014-07-24,2014-01-13,2014-07-24,2014-01-13,1,2014,"1700","N00104","1140","811310","1700","Defense","Navy",90.9583333333333,"[~2 months,~7 months)","[0.0e+00,1.5e+04)","[0.0e+00,1.5e+04)",1080,1080,1080,2014-04-13,2014-04-13,NA,TRUE,11654.02,0,0,"   1",10.7907592592593,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Ships & Submarines","Ships & Submarines","Launchers & Munitions","Launchers & Munitions","Products","Products",12734.02,NA,NA,1,0,0,0,0,0,0,NA,0,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",1,11654.02,0,0,0,0,0,11.7898333333333,"Obligations at least half Orig+CRai",11.7898333333333
