fiscal_year	Customer	PlatformPortfolio	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	IsEntityAbove2018constant10ThousandThreshold	EntityCount	AllContractorCount	numberOfActions	ObligatedAmount
2011	Defense	Land Vehicles	B	Big Five	PID	1	1	1	1	1	1	5	5	1907	3759240553.9990
2000	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	1	0	0	1	1	1	4683	4683	15296	911921920.2109
2010	Defense	Land Vehicles	N	Sometimes Small Vendor	Duns	1	1	1	1	1	1	4	3	3974	212472402.9794
2004	Defense	Land Vehicles	S	Always Small Vendor	PDuns-1	1	0	0	1	1	1	1144	1144	5032	258073975.9688
1995	Defense	Missile Defense	J	Large: Big 5 JV	PID	NULL	NULL	1	1	1	1	1	1	1	219950.0000
1996	Defense	Ordnance and Missiles	L	Large Vendor	PID	NULL	NULL	0	1	1	1	1	1	3	3950728.0000
1999	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	12	12	12	333083.0000
1997	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	88	88	194	13508814.0000
1993	Defense	Aircraft	S	Always Small Vendor	Duns	NULL	NULL	0	0	1	0	17	17	NULL	-214213.0000
1996	Defense	Ships & Submarines	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	3	3	3	341698.0000
1991	Defense	Land Vehicles	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	14	14	NULL	-7889000.0000
1999	Defense	Space Systems	S	Always Small Vendor	PID	NULL	NULL	1	1	1	1	13	13	34	42151560.0000
2010	Defense	Space Systems	L	Large Vendor	PID	1	0	0	1	1	1	1	1	1	269998.4375
2013	Defense	Ships & Submarines	M	Medium Vendor	PDuns-2+	1	0	0	0	0	0	2	2	2	2220.6000
2014	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	1	1	0	0.0000
1992	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	385	385	NULL	58081266.0000
1997	Defense	Aircraft	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	91	103	221	17290856.0000
1999	Defense	Ordnance and Missiles	S	Always Small Vendor	PID	NULL	NULL	1	1	1	1	36	36	128	75068242.0000
2017	Defense	Other Services	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	5	8	1	0.0000
2013	Defense	Other Products	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	51	51	0	0.0000
2018	Defense	Aircraft	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	11	11	15	-20230.3601
2006	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	1	1	1	16522.0000
2004	Defense	NULL	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	0	3	3	3	10610.1299
2004	Defense	Other Services	N	Sometimes Small Vendor	Name	1	1	0	0	1	1	1	1	1	11641.4297
2002	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2+	1	1	0	0	1	1	2	2	24	47610.0000
2017	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	15	15	22	37454.1005
2004	Defense	Land Vehicles	M	Medium Vendor	PDuns-2+	1	0	0	0	1	1	4	4	7	112167.0000
2007	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PID	1	0	0	0	1	1	7	7	25	343169.0000
2010	Defense	Ships & Submarines	M	Medium Vendor	PDuns-2+	1	1	0	0	0	0	1	1	3	2729.7900
2008	Defense	Land Vehicles	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	12	12	17	155021.6298
2005	Defense	Aircraft	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	16	16	37	12546585.0000
2013	Defense	Other Products	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	40	61	392	9942062.8692
2006	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2+	1	1	0	0	1	1	2	2	10	56806.0000
2002	Defense	Other Products	L	Large Vendor	PID	1	1	0	0	1	1	1	1	1	26193.0000
2019	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-1	1	1	1	1	1	1	11	11	23	71851119.2519
2010	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	17	17	22	668546.0283
2017	Defense	Other Products	M	Medium Vendor	PID	1	1	1	1	1	1	19	19	42878	1139108108.5639
2009	Defense	Aircraft	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	152	152	1507	190222972.8857
2014	Defense	Other Products	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	85	102	937	209817300.4000
2011	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	57	76	676	72629382.9637
2011	Defense	Other Products	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	55	63	208	7061208.7756
2019	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	4	5	120	33536130.4868
2006	Defense	Other Services	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	75	75	1797	75214453.9133
2014	Defense	Aircraft	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	146	146	3607	152269613.1520
2001	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-2+	1	0	0	1	1	1	178	194	495	35055358.0000
2016	Defense	Electronics, Comms, & Sensors	J	Large: Big 5 JV	PID	1	1	1	1	1	1	1	1	168	47990047.3460
2020	Defense	Missile Defense	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	21	23	148	172095755.6971
2001	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	9	14	68	10074463.0000
1993	Defense	Space Systems	S	Always Small Vendor	PID	NULL	NULL	1	1	1	1	4	4	NULL	710780.0000
1991	Defense	Other Products	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	3	3	NULL	129678.0000
2019	Defense	Ships & Submarines	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	1	1	2	3045.9900
2011	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	1	1	0	0.0000
2001	Defense	Ships & Submarines	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	1	1	1	-157103.0000
1994	Defense	Land Vehicles	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	17	18	47	11127466.0000
1991	Defense	Facilities and Construction	M	Medium Vendor	Duns	NULL	NULL	0	0	1	1	49	49	NULL	1590619.0000
1991	Defense	Other Services	S	Always Small Vendor	Duns	NULL	NULL	0	0	1	1	15	15	NULL	116000.0000
2016	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	4	4	15	161383.8798
2000	Defense	Other Products	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	9	9	0	0.0000
2015	Defense	Land Vehicles	M	Medium Vendor	PID	1	1	1	1	1	1	14	14	187	16457785.6759
2015	Defense	Other Products	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	1056	1056	128678	1485380848.1183
2018	Defense	Other Products	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	537	537	17627	6478488.4174
2019	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	32	32	566	107532349.1961
2000	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	197	343	2994	644871694.5893
2010	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	152	152	1449	225526649.5844
2012	Defense	Facilities and Construction	M	Medium Vendor	PID	1	0	1	1	1	1	134	134	3639	1324219693.0946
1995	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	9	9	10	851909.0000
1994	Defense	Other Services	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	3	3	6	1045476.0000
1995	Defense	Aircraft	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	0	0	3	3	3	-115038.0000
1997	Defense	Aircraft	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	2	2	2	54473.0000
1995	Defense	Facilities and Construction	M	Medium Vendor	PID	NULL	NULL	0	0	0	0	1	1	1	59222.0000
1995	Defense	Missile Defense	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	2	2	3	178494.0000
1997	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	527	527	766	58360584.0000
1995	Defense	Other Products	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	101	101	386	26619452.0000
1999	Defense	Other Services	S	Always Small Vendor	PID	NULL	NULL	1	1	1	1	28	28	230	83565113.0000
1993	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	44	44	2	5883898.0000
1998	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	37	37	63	4693268.0000
1998	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	20	21	30	3049945.0000
2010	Defense	Aircraft	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	1	1	1	7696.2998
2010	Defense	Space Systems	N	Sometimes Small Vendor	Duns	1	1	1	1	1	1	1	1	5	91430.0000
2017	Defense	Other Services	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	0	0	1	1	0	0.0000
2010	Defense	Missile Defense	S	Always Small Vendor	PID	1	0	0	1	1	1	2	2	4	489498.9004
2017	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	2	2	2	-10509.5200
1990	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	0	0	10	10	NULL	-1266000.0000
2020	Defense	Missile Defense	U	Unlabeled Vendor	Duns	1	1	1	1	1	1	1	1	26	77045.2216
2013	Defense	Other Products	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	4	4	5	13312.9100
2012	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	8	9	16	55984.3398
2007	Defense	Aircraft	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	3	3	0	0.0000
2004	Defense	Land Vehicles	S	Always Small Vendor	PDuns-1	1	1	0	0	0	0	1	1	1	2625.0000
2016	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2+	1	1	0	0	0	0	3	3	5	-20713.6301
2017	Defense	Facilities and Construction	N	Sometimes Small Vendor	PID	1	1	0	0	1	1	2	2	12	29212.8002
2009	Defense	Other Products	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	25	25	0	0.0000
2008	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	12	12	0	0.0000
2016	Defense	Other Services	S	Always Small Vendor	PDuns-1	1	1	0	1	1	1	56	56	110	2739417.3483
2018	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	10	10	14	51549.9196
2014	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	11	11	13	43118.5400
2002	Defense	Other Services	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	13	14	70	18085909.0000
2005	Defense	Space Systems	S	Always Small Vendor	PDuns-1	1	0	0	1	1	1	91	91	141	24062143.0000
2010	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PID	1	1	0	1	1	1	3	3	22	497555.0057
2004	Defense	Space Systems	N	Sometimes Small Vendor	PID	1	0	1	1	1	1	36	36	275	670640277.0000
2003	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	39	41	139	5673467.0000
2002	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	12	18	30	234400.0000
2018	Defense	Space Systems	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	229	229	801	142269850.3702
2016	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	19	20	28	-240164.0483
2012	Defense	Aircraft	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	29	35	318	5685555.1396
2006	Defense	Space Systems	S	Always Small Vendor	PID	1	0	1	1	1	1	16	16	60	17922376.5234
2000	Defense	Aircraft	M	Medium Vendor	PDuns-2+	1	1	0	1	1	1	12	14	44	6063313.0000
2010	Defense	Missile Defense	S	Always Small Vendor	PDuns-1	1	0	0	1	1	1	81	81	172	8022213.2140
2008	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-1	1	0	0	0	1	1	552	552	1965	15442723.5075
2009	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PID	1	0	1	1	1	1	88	88	3815	3164190010.8925
2020	Defense	Other Products	S	Always Small Vendor	PDuns-1	1	0	0	0	1	0	356	356	20632	12081171.1171
2016	Defense	Aircraft	M	Medium Vendor	Duns	1	0	0	0	1	1	3	3	13	131194.3201
2001	Defense	Land Vehicles	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	8	8	56	18135488.0000
2002	Defense	Aircraft	L	Large Vendor	PID	1	0	1	1	1	1	14	14	1277	804852538.0000
2013	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	4682	4682	61276	8444312355.3253
2019	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	302	302	1771	776638341.5264
2018	Defense	Aircraft	L	Large Vendor	PID	1	0	1	1	1	1	10	10	736	171933923.1708
2003	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PDuns-2+	1	1	1	1	1	1	60	114	778	172890666.0000
2001	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-2+	1	1	1	1	1	1	30	46	269	173268357.0000
2011	Defense	Electronics, Comms, & Sensors	M	Medium Vendor	PDuns-1	1	1	0	0	1	1	186	186	382	3103066.1755
1994	Defense	Space Systems	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	6	6	10	2423611.0000
1995	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	2	2	2	-702745.0000
1998	Defense	Missile Defense	S	Always Small Vendor	PID	NULL	NULL	1	1	1	1	2	2	4	60552313.0000
1993	Defense	Missile Defense	M	Medium Vendor	Duns	NULL	NULL	1	1	1	1	2	2	NULL	1376146.0000
1998	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PID	NULL	NULL	0	0	1	1	1	1	1	25928.0000
2017	Defense	NULL	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	1	1	1	1325852.0000
2007	Defense	Land Vehicles	N	Sometimes Small Vendor	PID	1	1	0	1	1	1	3	3	19	186392.2002
2018	Defense	Other R&D and Knowledge Based	M	Medium Vendor	Duns	1	1	0	0	0	0	1	1	1	-22200.0000
1996	Defense	Facilities and Construction	L	Large Vendor	PID	NULL	NULL	1	1	1	1	97	97	6358	2670279251.0000
1993	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	192	354	18	394989938.0000
1997	Defense	Other Products	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	160	160	184	4561775.0000
2003	Defense	Ships & Submarines	L	Large Vendor	PID	1	1	0	1	1	1	2	2	11	1032442.0000
2008	Defense	Aircraft	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	11	11	0	0.0000
2000	Defense	NULL	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	0	2	2	2	7681.6500
2014	Defense	Aircraft	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	6	6	6	-9577.5000
2014	Defense	Other R&D and Knowledge Based	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	4	4	0	0.0000
2000	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PID	1	0	0	0	1	1	1	1	2	52000.0000
2007	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	13	13	0	0.0000
2012	Defense	Other Services	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	1	42	42	0	0.0000
2001	Defense	Ordnance and Missiles	L	Large Vendor	PID	1	0	0	1	1	1	1	1	1	28000.0000
2015	Defense	Aircraft	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	2	2	2	4554.7900
2016	Defense	Other Services	S	Always Small Vendor	Duns	NULL	NULL	0	1	1	1	6	6	0	0.0000
2009	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	5	5	0	0.0000
2013	Defense	Missile Defense	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	13	14	28	2930392.8100
2013	Defense	Other Services	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	29	30	69	727537.3900
2003	Defense	Electronics, Comms, & Sensors	L	Large Vendor	PID	1	0	0	1	1	1	5	5	159	2803830.0000
2013	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	214	214	300	-528688.1899
2006	Defense	Missile Defense	S	Always Small Vendor	PDuns-1	1	0	0	0	1	0	5	5	5	-54087.7500
2007	Defense	Land Vehicles	S	Always Small Vendor	PID	1	0	0	0	1	1	5	5	7	83254.4395
2014	Defense	Land Vehicles	M	Medium Vendor	PID	1	0	1	1	1	1	11	11	907	331516274.7391
2014	Defense	Ships & Submarines	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	439	439	5485	77252078.3786
2005	Defense	Missile Defense	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	2	2	15	384957.0000
2009	Defense	Facilities and Construction	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	122	122	197	-104215.7004
2006	Defense	NULL	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	4	4	5	-112619.0429
2010	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2+	1	0	0	0	0	0	11	11	13	4594.0000
2002	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	31	31	618	137390059.0000
2005	Defense	Land Vehicles	M	Medium Vendor	PDuns-1	1	1	0	0	0	0	54	54	201	129972.0000
2003	Defense	Space Systems	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	96	96	269	58891624.0781
2019	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	33	33	97	1252234.8904
2011	Defense	Other Services	S	Always Small Vendor	PID	1	0	0	1	1	1	8	8	32	734047.2895
2018	Defense	Aircraft	M	Medium Vendor	PDuns-2+	1	0	1	1	1	1	33	39	5675	78895677.3123
2003	Defense	Other Products	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	57	57	1250	166936641.0000
2008	Defense	Facilities and Construction	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	144	159	460	14196700.2943
2005	Defense	Facilities and Construction	S	Always Small Vendor	PDuns-1	1	1	0	1	1	1	46	46	539	17414285.0000
2007	Defense	Ordnance and Missiles	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	131	154	656	132284373.4192
2011	Defense	Other Services	M	Medium Vendor	PDuns-2+	1	0	0	1	1	1	75	102	265	-20372023.7233
2004	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	Duns	1	1	1	1	1	1	3	3	119	335801125.1361
1993	Defense	Missile Defense	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	1	1	NULL	28431.0000
1997	Defense	Land Vehicles	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	45	51	85	6435385.0000
1999	Defense	Ordnance and Missiles	J	Large: Big 5 JV	PID	NULL	NULL	1	1	1	1	2	2	55	738860275.0000
1994	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	1	1	1	195470.0000
1997	Defense	Land Vehicles	N	Sometimes Small Vendor	PID	NULL	NULL	0	1	1	1	4	4	9	1104448.0000
1995	Defense	Ships & Submarines	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	0	2	2	2	-107698.0000
1999	Defense	Aircraft	N	Sometimes Small Vendor	Duns	NULL	NULL	1	1	1	1	2	2	8	4392865.0000
2007	Defense	Missile Defense	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	1	1	1	7500.0000
2005	Defense	Space Systems	M	Medium Vendor	PID	1	0	0	1	1	1	1	1	3	72993.0000
1995	Defense	Ordnance and Missiles	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	84	113	516	389614400.0000
1995	Defense	Other Products	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	269	428	3845	901711500.0000
1999	Defense	Aircraft	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	91	91	101	1714581.0000
1998	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	83	99	436	87279595.0000
2017	Defense	Other Products	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	1	2	2	0	0.0000
2012	Defense	Aircraft	N	Sometimes Small Vendor	PID	1	0	0	0	1	1	2	2	4	7246.1001
2001	Defense	Missile Defense	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	1	1	1	27020.0000
2016	Defense	Other Products	S	Always Small Vendor	Duns	NULL	NULL	1	1	1	1	1	1	0	0.0000
2007	Defense	Aircraft	S	Always Small Vendor	PID	1	0	0	0	0	0	1	1	1	5860.5000
2018	Defense	Land Vehicles	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	1	1	2	5999.9902
2008	Defense	Other Services	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	2	2	0	0.0000
2000	Defense	Missile Defense	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	6	6	28	10069912.0000
2003	Defense	Land Vehicles	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	0	0	1	2	5	4480.0000
2018	Defense	Facilities and Construction	NULL	NULL	PDuns-1	NULL	NULL	NULL	NULL	NULL	NULL	1	1	1	18481.0000
2011	Defense	Other Products	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	8	8	0	0.0000
2016	Defense	Land Vehicles	S	Always Small Vendor	Duns	1	0	0	0	1	0	1	1	1	5448.0498
2008	Defense	Land Vehicles	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	31	31	38	133984.4699
2002	Defense	Facilities and Construction	U	Unlabeled Vendor	Duns	NULL	NULL	1	1	1	1	1	1	8	474042.0000
2016	Defense	Land Vehicles	S	Always Small Vendor	PDuns-1	1	1	0	0	1	1	4	4	10	155540.0000
2010	Defense	Facilities and Construction	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	132	154	387	2694830.3424
2007	Defense	Land Vehicles	L	Large Vendor	PID	1	0	1	1	1	1	10	10	168	1669235809.2506
2004	Defense	Land Vehicles	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	0	2	2	3	11514.0000
2003	Defense	Aircraft	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	8	9	46	32196197.0000
2019	Defense	Other Services	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	4	4	NULL	0.0000
2000	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	13	13	50	5608878.0000
2019	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	2	2	NULL	0.0000
2005	Defense	Missile Defense	M	Medium Vendor	PID	1	0	1	1	1	1	7	7	28	22986275.0000
2011	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	12	13	17	48381.8697
2002	Defense	Other Services	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	109	109	307	-220118.0000
2019	Defense	Other R&D and Knowledge Based	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	124	124	177	109348.6502
2017	Defense	Electronics, Comms, & Sensors	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	1351	1351	5697	31788723.7696
2019	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	Duns	1	1	1	1	1	1	1	1	135	6860957.0050
2014	Defense	Other Services	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	0	21	23	40	127553.2900
2005	Defense	Other R&D and Knowledge Based	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	37	37	74	745154.7196
2011	Defense	Facilities and Construction	L	Large Vendor	PID	1	1	1	1	1	1	114	114	38705	7931423687.6900
2014	Defense	Other Products	M	Medium Vendor	PID	1	1	1	1	1	1	25	25	24796	2223725308.9676
2018	Defense	Other Products	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	445	445	21822	1525524853.3252
2002	Defense	Facilities and Construction	L	Large Vendor	PID	1	0	1	1	1	1	51	51	2865	946708166.5400
2006	Defense	Other Services	N	Sometimes Small Vendor	PID	1	0	1	1	1	1	142	142	2283	770618955.6528
2008	Defense	Electronics, Comms, & Sensors	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	298	298	9531	679185349.6286
1992	Defense	Other Products	S	Always Small Vendor	Duns	NULL	NULL	0	0	0	0	19	19	NULL	-13583971.0000
1995	Defense	Ordnance and Missiles	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	1	1	2	-1.0000
