"","BioTechCustomer.sum","LifeScience.sum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","HHS","Medical and Drugs/Biologicals",123078078.904755,604840658.708471,804546119.762174,1214291433.33797,1027589076.45846,938038605.624769,1012419060.17618,1459312034.54492,1172047547.68416,1341832772.46955,1272477511.28178,1010311963.19832,851535376.849581,935380736.896268,791059827.547788,724885477.393661,701592061.640931,702833250.872899,578293406.96929,819964117.335986,1617393386.706
"2","Energy","Medical and Drugs/Biologicals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5370.56928034372,NA,-4018.8310942703,1291633.78058406,-4618.24115044248,0,-38328.1968597726,0,0,0,NA
"3","Defense","Medical and Drugs/Biologicals",0,79983001.5820509,180280229.331823,170147694.981232,143983972.305186,194775761.528327,213770980.427422,301962638.870511,237275054.463533,293937994.102431,192544464.027688,235101685.952147,195063065.366977,140664196.714962,186474708.000111,259428483.590929,210392034.096589,258183829.274516,330852516.70279,330884774.656566,413706582.1768
"4","Other Agencies","Medical and Drugs/Biologicals",3407916.97335492,48271528.8364735,47573871.7440544,44893324.0650633,18206718.5810481,18012172.28722,24716826.258394,14727310.7664968,15870487.5952758,17197111.7095571,19594792.4081633,24730826.6649117,22578805.9308761,6357119.99097982,5141089.05884956,6164666.3968306,10453953.7964266,10148886.8312061,17403534.462107,17162739.3349658,10658352.6266
"5","HHS","Biotechnology",NA,NA,NA,NA,NA,NA,NA,22398179.6933019,253837265.284914,348792295.389263,764491548.844254,1378206442.68773,777771936.707659,881626781.590145,933644113.174779,1303299413.21738,1228449338.18657,1329447246.45948,1094556557.91651,1446462866.41822,2266332278.6892
"6","Energy","Biotechnology",NA,NA,NA,NA,NA,NA,NA,15160.9295389586,1922005.2111287,1098023887.20619,618053273.645304,431541040.069966,372449623.716959,397591657.458564,382213141.30531,366944321.426011,425256593.096481,452605047.945224,518076327.136998,467907904.305581,574809758.1739
"7","Defense","Biotechnology",NA,NA,NA,NA,NA,NA,NA,2180761.77457438,384709586.52076,411721562.573062,529395614.826232,562932835.613783,498989281.901366,510519257.718007,513533109.252987,371593294.14,326972947.042989,297614985.679749,243630954.298563,230025314.159678,254293645.9377
"8","Other Agencies","Biotechnology",NA,NA,NA,NA,NA,NA,NA,18321723.7013794,28963785.2219652,40495891.8265527,62152046.5124717,48451185.5125775,33095467.4458606,82482116.6098771,51501237.7323009,57418806.983388,96704767.897347,62324323.049883,29518196.5848428,64094831.7128864,46691780.2041
"9","HHS","Other Life Sciences",NA,2040513.44743276,3562702.43488109,5335640.2057556,49247216.9427097,29061429.5125165,17993000.309843,85759602.7651299,46784620.7232436,31696863.461844,29259934.1229264,59827305.7706798,60037839.107475,62117587.3717443,27658705.210177,27673129.7642623,23299463.6096372,29552482.5653053,9149962.13491568,2098664.04754617,759280.494
"10","Energy","Other Life Sciences",NA,71911.4051488566,NA,NA,NA,NA,NA,NA,NA,673883.004333173,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-0.17
"11","Defense","Other Life Sciences",NA,1532318.423702,131425748.867497,214807204.226331,102050309.530274,160737301.71278,147999529.643049,53508028.1103517,53895521.9990259,39063382.31909,10039386.8510562,10868727.963496,187306.222298771,12781060.7058293,12116594.8672566,20931013.0039344,48280600.1828912,52990636.2345246,40842304.3359359,44005039.3352719,41309966.0889
"12","Other Agencies","Other Life Sciences",65508.6118062712,9618869.55271106,8204983.01245753,7141394.46725984,10672259.2917459,17102113.4433465,6355699.99591472,13761472.3300609,16311271.9191526,16638994.0404429,27612691.6186896,12825101.7719668,37316220.6579401,40090089.3110835,42654494.3030973,42348030.087541,63943725.0656199,66519258.0161668,58672492.5494483,75626952.1439649,66803743.2984
