contract_award_unique_key	NY Judgement	reasons																			
CONT_AWD_N0038319F0U50_9700_N0038319DU501_9700	O	"description includes ""PBL"" and ""period of performance"""																			
CONT_AWD_W58RGZ17C0018_9700_-NONE-_-NONE-	O	description word 'performance based logistics'																			
CONT_AWD_W58RGZ19C0024_9700_-NONE-_-NONE-	O	PBL transaction description																			
CONT_AWD_N0038322F0W00_9700_N0038320DW001_9700	O	description word 'performance based logistics'																			
CONT_AWD_N0038323F0W00_9700_N0038320DW001_9700	O	description word 'performance based logistics'																			
CONT_AWD_N0038321F0W00_9700_N0038320DW001_9700	O	description word 'performance based logistics'																			
CONT_AWD_N0038323F0ZV0_9700_N0038322DZV01_9700	O	"description includes ""PBL"" and ""period of performance"""																			
CONT_AWD_N0038325F0W00_9700_N0038320DW001_9700	O	2020-2027 PBL (https://www.navy.mil/Press-Office/Press-Releases/display-pressreleases/Article/2236705/naval-supply-signs-23-billion-uh-60-renewal-contract/)																			
CONT_AWD_N0038324F0W00_9700_N0038320DW001_9700	O	2020-2027 PBL (https://www.navy.mil/Press-Office/Press-Releases/display-pressreleases/Article/2236705/naval-supply-signs-23-billion-uh-60-renewal-contract/)																			
CONT_AWD_N0038322F0ZV0_9700_N0038322DZV01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_W58RGZ11C0025_9700_-NONE-_-NONE-	O	description word 'performance based logistics'																			
CONT_AWD_SD86_9700_F3365799D0028_9700	O	description word 'performance-based'																			
CONT_AWD_N0038320F0W00_9700_N0038320DW001_9700	O	description word 'performance based logistics'																			
CONT_AWD_W58RGZ21C0016_9700_-NONE-_-NONE-	O	description word 'performance based logistics'																			
CONT_AWD_SPRBL119F0055_9700_SPRBL115D0017_9700	O	ZBL code																			
CONT_AWD_SD83_9700_F3365799D0028_9700	O	description word 'performance-based'																			
CONT_AWD_SPRPA120FCD01_9700_SPE4AX19D9410_9700	O	"DoD Contracts Annoucement on Jan.18, 2019 (Bell Boeing Joint Project Office, California, Maryland, has been awarded an estimated $143,863,184 firm-fixed-price requirements contract for performance based logistics and engineering support for the V-22 platform. This was a sole-source acquisition using justification 10 U.S. Code 2304 (c)(1), as stated in Federal Acquisition Regulation 6.302-1. This is an 11-month base contract with four one-year option periods. https://www.defense.gov/News/Contracts/Contract/Article/1736461/)"																			
CONT_AWD_SPRPA122FCD01_9700_SPE4AX19D9410_9700	O	"DoD Contracts Annoucement on Jan.18, 2019 (Bell Boeing Joint Project Office, California, Maryland, has been awarded an estimated $143,863,184 firm-fixed-price requirements contract for performance based logistics and engineering support for the V-22 platform. This was a sole-source acquisition using justification 10 U.S. Code 2304 (c)(1), as stated in Federal Acquisition Regulation 6.302-1. This is an 11-month base contract with four one-year option periods. https://www.defense.gov/News/Contracts/Contract/Article/1736461/)"																			
CONT_AWD_SPRPA121FCD01_9700_SPE4AX19D9410_9700	O	"DoD Contracts Annoucement on Jan.18, 2019 (Bell Boeing Joint Project Office, California, Maryland, has been awarded an estimated $143,863,184 firm-fixed-price requirements contract for performance based logistics and engineering support for the V-22 platform. This was a sole-source acquisition using justification 10 U.S. Code 2304 (c)(1), as stated in Federal Acquisition Regulation 6.302-1. This is an 11-month base contract with four one-year option periods. https://www.defense.gov/News/Contracts/Contract/Article/1736461/)"																			
CONT_AWD_N0038319F0VP0_9700_N0038319DVP01_9700	O	description word 'performance based logistics'																			
CONT_AWD_W58RGZ24C0028_9700_-NONE-_-NONE-	O	description word 'performance based logistics'																			
CONT_AWD_N0038320F0W20_9700_N0038320DW201_9700	O	"description includes ""PBL"" and ""period of performance"""																			
CONT_AWD_0001_9700_N0038315D008F_9700	O	"H60 tip-to-tail, same company"																			
CONT_AWD_SPRPA123FCD01_9700_SPE4AX19D9410_9700	O	"DoD Contracts Annoucement on Jan.18, 2019 (Bell Boeing Joint Project Office, California, Maryland, has been awarded an estimated $143,863,184 firm-fixed-price requirements contract for performance based logistics and engineering support for the V-22 platform. This was a sole-source acquisition using justification 10 U.S. Code 2304 (c)(1), as stated in Federal Acquisition Regulation 6.302-1. This is an 11-month base contract with four one-year option periods. https://www.defense.gov/News/Contracts/Contract/Article/1736461/)"																			
CONT_AWD_N0038323F0DM0_9700_N0038323DDM01_9700	O	"F414 PBL, same company"																			
CONT_AWD_SPRPA119FCD01_9700_SPE4AX19D9410_9700	O	"DoD Contracts Annoucement on Jan.18, 2019 (Bell Boeing Joint Project Office, California, Maryland, has been awarded an estimated $143,863,184 firm-fixed-price requirements contract for performance based logistics and engineering support for the V-22 platform. This was a sole-source acquisition using justification 10 U.S. Code 2304 (c)(1), as stated in Federal Acquisition Regulation 6.302-1. This is an 11-month base contract with four one-year option periods. https://www.defense.gov/News/Contracts/Contract/Article/1736461/)"																			
CONT_AWD_N0038325F0NE1_9700_N0038325DNE01_9700	O	"DoD Contracts Annoucement on Nov. 21, 2024 (Raytheon Co., Marlborough, Massachusetts, is being awarded $185,800,634 for a ceiling-price, delivery order (N00383-25-F-0NE1) under a previously awarded performance based contract (N00383-25-D-NE01) for the repair, upgrade, or replacement of 160 parts in two of the 13 major subsystems of the Aegis Weapon System / https://www.defense.gov/News/Contracts/Contract/Article/3974996/ )"																			
CONT_AWD_N0038322F0W20_9700_N0038320DW201_9700	O	"description includes ""PBL"" and ""period of performance"""																			
CONT_AWD_N0038323F0W20_9700_N0038320DW201_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_N0038324F0W20_9700_N0038320DW201_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_N0038324F0ZN1_9700_N0038321DZN01_9700	O	"F414 PBL, same company"																			
CONT_AWD_W31P4Q16C0028_9700_-NONE-_-NONE-	O	PBL transaction description																			
CONT_AWD_N0038322F0P63_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038321F0ZN0_9700_N0038321DZN01_9700	O	"F414 PBL, same company"																			
CONT_AWD_W58RGZ14C0003_9700_-NONE-_-NONE-	O	ZBL code																			
CONT_AWD_0005_9700_N0038311D003F_9700	O	ZBL code																			
CONT_AWD_SPRBL124F0013_9700_SPRBL115D0017_9700	O	ZBL code																			
CONT_AWD_N0038322F0P62_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038320F0P64_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038319F0BG3_9700_N0038317DBG01_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038319F0BG1_9700_N0038317DBG01_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_0009_9700_N0038311D001M_9700	O	"F404 PBL award, same recipient"																			
CONT_AWD_N0038319F0P61_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038320F0P63_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038321F0P60_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038321F0P62_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038321F0P63_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038319F0P63_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038320F0P60_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038318F0BG2_9700_N0038317DBG01_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038318F0BG4_9700_N0038317DBG01_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038319F0P62_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038318F0BG3_9700_N0038317DBG01_9700	O	"F414 PBL, same company"																			
CONT_AWD_0005_9700_N0038314D001M_9700	O	ZBL code																			
CONT_AWD_SD93_9700_F3365799D0028_9700	O	description word 'performance based logistics'																			
CONT_AWD_0008_9700_N0038311D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_0005_9700_N0038311D001M_9700	O	"F414 FS PBL awarded in July 2011 (4year), F414 DCS PBL awarded in january 2011 (3year) (https://www.dau.edu/sites/default/files/Migrated/CopDocuments/Component%20USN%20F414%20Engine.pdf)"																			
CONT_AWD_SD08_9700_FA861614D6060_9700	O	description word 'performance based logistics'																			
CONT_AWD_0004_9700_N0038314D001M_9700	O	ZBL code																			
CONT_AWD_0001_9700_N0038314D001M_9700	O	ZBL code																			
CONT_AWD_0003_9700_N0038314D001M_9700	O	ZBL code																			
CONT_AWD_0002_9700_N0038314D001M_9700	O	ZBL code																			
CONT_AWD_SD05_9700_FA861614D6060_9700	O	description word 'performance-based'																			
CONT_AWD_0010_9700_N0038307D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_N0038319F0P60_9700_N0038318DP601_9700	O	"F414 PBL, same company"																			
CONT_AWD_SD1G_9700_F3365799D0028_9700	O	description word 'performance based logistics'																			
CONT_AWD_0007_9700_N0038311D001M_9700	O	"F414 PBL, same company"																			
CONT_AWD_SD1F_9700_F3365799D0028_9700	O	description word 'performance-based'																			
CONT_AWD_N0038321F0W80_9700_N0038320DW801_9700	O	"description includes ""PBL"" and ""pop"""																			
CONT_AWD_0001_9700_W15P7T07DN201_9700	O	description word 'performance based logistics'																			
CONT_AWD_FA811017F0003_9700_FA861614D6060_9700	O	description word 'performance-based'																			
CONT_AWD_0002_9700_N0038309D010F_9700	O	"H60 tip-to-tail, same company"																			
CONT_AWD_SD14_9700_FA861614D6060_9700	O	description word 'performance-based'																			
CONT_AWD_SD1B_9700_F3365799D0028_9700	O	description word 'performance based logistics'																			
