fiscal_year	Customer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	IsEntityAbove2018constant10ThousandThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
2005	DHS	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	0	0	4	4	20	6594.0000
2006	NASA	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	208	208	1388	219119823.6700
2007	Other Agencies	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	31	35	233	1353754.3111
2020	Energy	M	Medium Vendor	Duns	1	0	0	1	1	1	1	1	1	100000.0000
2010	Energy	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	23	23	48	339242.0922
2014	HHS	S	Always Small Vendor	Duns	1	0	0	0	0	0	1	1	1	-14447.0000
2020	Defense	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	26	26	415	645515.2906
2019	NATIONAL ENDOWMENT FOR THE HUMANITIES	N	Sometimes Small Vendor	PDuns-1	1	0	1	1	1	1	7	7	18	785566.4230
2007	DHS	L	Large Vendor	PID	1	1	1	1	1	1	97	97	11564	3457405753.6511
2010	GSA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	1	5	5	0	0.0000
2011	HHS	M	Medium Vendor	PDuns-1	1	1	0	0	1	1	45	45	65	820527.0708
2012	GSA	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	6	6	0	-1500.0000
2012	Energy	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	1	1	0	0.0000
2012	HHS	S	Always Small Vendor	PID	1	0	0	0	0	0	1	1	1	-3744.0000
2009	Defense	M	Medium Vendor	PDuns-1	1	1	0	0	0	0	477	477	1097	538396.7995
2012	Energy	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	7	7	0	-23890.5000
2005	GSA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	1	1	2	102.9000
2019	NASA	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	18	18	77	3086073.7405
2018	GSA	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	108	108	10917	1140368133.5039
2010	VA	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	1	1	0	0.0000
2005	Defense	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	150	394	5672	122450789.1960
2003	DHS	M	Medium Vendor	PID	1	0	0	0	1	0	1	1	2	-17816.0000
2006	Defense	S	Always Small Vendor	PID	1	0	0	0	0	0	8	8	12	10702.0000
2015	State and IAP	M	Medium Vendor	PID	1	1	1	1	1	1	74	74	1374	2600868552.8824
2019	GSA	N	Sometimes Small Vendor	PID	1	0	0	0	1	1	1	1	3	12367.4902
2004	Other Agencies	S	Always Small Vendor	PDuns-2+	1	1	0	0	1	1	1	2	2	34300.0000
2012	GSA	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	5	5	9	7976.8300
2020	Defense	M	Medium Vendor	PID	1	0	1	1	1	1	184	184	11332	16509902085.5912
2018	GSA	L	Large Vendor	PID	1	1	0	1	1	1	2	2	1	5700.0000
2018	DHS	U	Unlabeled Vendor	Name	1	0	0	0	1	1	1	1	1	0.0000
2008	VA	M	Medium Vendor	PDuns-2+	1	1	0	0	1	0	1	1	1	688.3200
2013	State and IAP	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	3	3	3	-300.7100
2007	GSA	S	Always Small Vendor	PDuns-1	1	1	1	1	1	1	99	99	5422	28180224.8976
2000	GSA	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	60	71	481	102415972.0000
2013	Energy	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	7	7	7	-32880.8000
2006	DHS	M	Medium Vendor	PDuns-1	1	0	0	0	1	1	352	352	563	7012734.4949
2019	VA	L	Large Vendor	PID	1	1	1	1	1	1	57	57	53065	9346226921.8079
2009	Other Agencies	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	15	20	124	19829967.9332
1999	Defense	S	Always Small Vendor	PID	NULL	NULL	0	1	1	1	144	144	331	28877607.0000
2013	Defense	S	Always Small Vendor	PID	1	1	0	1	1	1	1	1	1	-87312.3200
2013	NASA	M	Medium Vendor	PDuns-1	1	1	0	0	0	0	1	1	2	0.0000
2009	DHS	M	Medium Vendor	PDuns-2+	1	1	1	1	1	1	12	13	65	12084120.9515
2017	Defense	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	1733	1733	9904	179667.0502
2011	Defense	M	Medium Vendor	Duns	1	1	0	0	0	0	1	1	1	0.0000
2001	HHS	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	1	1	0	0.0000
2014	DHS	B	Big Five	PID	1	1	1	1	1	1	5	5	769	654300933.0841
2010	VA	N	Sometimes Small Vendor	PID	1	0	1	1	1	1	147	147	99990	485144289.6672
2013	HHS	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	94	94	388	6068947.7307
2009	GSA	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	8	8	0	0.0000
1990	Defense	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	0	0	98	100	NULL	-26466000.0000
2003	DHS	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	81	81	389	15736012.1050
2014	VA	N	Sometimes Small Vendor	PDuns-2+	1	1	0	1	1	1	42	62	624	9134917.4594
2000	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	2	2	4	97000.0000
2004	Defense	N	Sometimes Small Vendor	PDuns-1	1	0	0	1	1	1	2304	2304	23354	839155223.5168
2009	NASA	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	35	38	226	43711624.6921
1996	Defense	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	0	0	38	38	51	-1685235.0000
2011	Other Agencies	S	Always Small Vendor	PDuns-1	1	0	0	0	1	0	7853	7853	19932	51718505.4846
2015	Energy	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	1	10	10	17	132511.3101
2007	GSA	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	20	20	0	57343.2890
2015	Defense	S	Always Small Vendor	PDuns-1	1	0	0	1	1	1	11325	11325	133073	1849680514.7034
2017	Defense	M	Medium Vendor	PDuns-1	1	0	0	0	1	0	374	374	4524	5346368.8680
2004	GSA	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	39	41	951	995805.5895
2014	HHS	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	1172	1172	2482	14964631.9898
2016	GSA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	24	24	0	37593.5996
2008	GSA	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	22	28400	44806291.4426
2006	GSA	N	Sometimes Small Vendor	PDuns-2+	1	1	1	1	1	1	202	398	128210	195282103.7028
2006	State and IAP	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	7	7	15	118045.7400
2018	State and IAP	M	Medium Vendor	Duns	1	0	0	0	1	0	4	4	5	19354.0000
2014	Other Agencies	M	Medium Vendor	PDuns-1	1	0	0	1	1	1	1574	1575	8313	203218688.0919
2005	Defense	S	Always Small Vendor	PDuns-2+	1	0	1	1	1	1	318	457	6891	1610232947.6905
2010	DHS	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	49	52	96	523181.2485
2014	Energy	N	Sometimes Small Vendor	PID	1	1	1	1	1	1	69	69	834	107251036.7502
2010	VA	N	Sometimes Small Vendor	PID	1	1	0	1	1	1	7	7	163	1869853.9487
2011	DHS	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	1	67	69	135	956652.6796
2004	Defense	S	Always Small Vendor	PDuns-2+	1	1	1	1	1	1	8	15	293	74376092.0000
2012	Other Agencies	S	Always Small Vendor	PDuns-2+	1	0	0	1	1	1	256	293	28041	46305138.0010
1996	Defense	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	9	100	528545433.0000
2001	Defense	M	Medium Vendor	PDuns-2+	1	1	0	0	0	0	2	2	2	4386.0000
2007	GSA	S	Always Small Vendor	PID	1	0	1	1	1	1	74	74	287	42606123.1683
2012	VA	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	452	1310	53729	733532734.2519
2016	Other Agencies	S	Always Small Vendor	PDuns-1	1	0	0	0	0	0	2641	2641	7051	4028455.4189
1994	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	10071	10071	19087	1724652522.0000
2013	HHS	S	Always Small Vendor	PDuns-1	1	0	0	0	1	1	1206	1206	2316	15879487.6480
2016	NASA	M	Medium Vendor	PID	1	0	0	0	1	0	1	1	1	-33.1200
2006	DHS	S	Always Small Vendor	PID	1	0	0	1	1	1	9	9	30	999176.5959
2008	VA	M	Medium Vendor	PID	1	0	0	0	1	1	5	5	22	152237.4099
2019	Defense	N	Sometimes Small Vendor	PID	1	1	0	0	1	1	1	1	4	56826.0000
2016	NASA	M	Medium Vendor	PDuns-1	1	0	0	0	0	0	19	19	25	-12103.2500
2015	Other Agencies	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	0	2	2	0	0.0000
2015	GSA	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	4336	4336	14582	1474846773.2498
2006	GSA	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	19	20	0	0.0000
2005	Other Agencies	S	Always Small Vendor	PID	1	0	0	1	1	1	54	54	167	7329388.0074
2016	Defense	S	Always Small Vendor	PID	1	0	0	0	1	1	9	9	37	202250.8583
2006	State and IAP	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	1	0	0.0000
2018	HHS	L	Large Vendor	PID	1	0	1	1	1	1	45	45	1796	2393328455.6520
2002	Defense	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	4457	4457	50100	10130234297.2208
2006	State and IAP	U	Unlabeled Vendor	Name	1	0	0	1	1	1	1	1	8	515584.0000
2016	DHS	S	Always Small Vendor	PDuns-1	1	0	1	1	1	1	1656	1656	10092	1912169647.8459
2010	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	308	308	0	0.0000
2017	HHS	S	Always Small Vendor	PID	1	0	0	1	1	1	5	5	11	385887.0000
2010	Defense	N	Sometimes Small Vendor	PDuns-2+	1	1	0	0	1	1	46	73	284	2313755.6237
2008	HHS	S	Always Small Vendor	PID	1	0	0	0	1	0	3	3	3	11306.6500
2011	HHS	N	Sometimes Small Vendor	PDuns-2+	1	0	1	1	1	1	325	550	5113	568959545.6618
2006	Other Agencies	M	Medium Vendor	PDuns-1	1	1	0	1	1	1	151	151	2843	12811834.5596
2000	Other Agencies	S	Always Small Vendor	PID	1	0	0	0	1	1	18	18	85	614806.0000
1992	Defense	N	Sometimes Small Vendor	Duns	NULL	NULL	1	1	1	1	431	430	NULL	1894192005.0000
2016	Defense	S	Always Small Vendor	Duns	NULL	NULL	0	0	1	1	1	1	0	0.0000
2012	Other Agencies	M	Medium Vendor	Duns	1	1	0	1	1	1	1	1	1	0.0000
2020	DHS	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	0	7	8	33	60016.8701
2005	Defense	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	1	1	1	1	0	0.0000
2009	DHS	S	Always Small Vendor	PID	1	0	0	0	0	0	4	4	8	5279.9700
2008	Defense	N	Sometimes Small Vendor	PID	1	0	0	1	1	1	112	112	2308	44849744.9060
2010	State and IAP	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	287	287	1841	46193902.9554
2004	VA	N	Sometimes Small Vendor	PID	1	0	0	1	1	1	35	35	109	9021847.6198
2007	GSA	N	Sometimes Small Vendor	PDuns-2+	1	0	0	0	1	1	56	60	974	2082099.2380
2003	Energy	N	Sometimes Small Vendor	PDuns-1	1	1	1	1	1	1	9	9	33	5210739.0000
2017	DHS	U	Unlabeled Vendor	PDuns-2+	1	0	0	1	1	1	1	1	1	0.0000
2005	Defense	M	Medium Vendor	PDuns-1	1	1	0	0	1	0	1247	1247	3246	9424253.5100
2000	DHS	N	Sometimes Small Vendor	PDuns-2+	1	0	0	1	1	1	1	1	1	39000.0000
2018	State and IAP	S	Always Small Vendor	PDuns-1	1	1	0	0	1	0	11	11	14	79947.8493
2017	Energy	S	Always Small Vendor	PID	1	0	1	1	1	1	2	2	34	344443.9248
2018	NULL	M	Medium Vendor	PDuns-1	1	0	1	1	1	1	1	1	4	5833.3698
2015	Other Agencies	M	Medium Vendor	PID	1	0	1	1	1	1	188	188	5152	3823664913.4452
2010	State and IAP	M	Medium Vendor	PID	1	1	0	1	1	1	11	11	93	2161413.0805
2015	Defense	S	Always Small Vendor	Duns	NULL	NULL	0	0	1	1	1	1	0	0.0000
2013	DHS	N	Sometimes Small Vendor	Duns	1	1	1	1	1	1	4	3	670	5896395.2200
2003	NASA	N	Sometimes Small Vendor	PID	1	1	0	1	1	1	1	1	8	169591.0000
2006	DHS	S	Always Small Vendor	PID	NULL	NULL	1	1	1	1	1	1	0	15000.0000
2008	Energy	N	Sometimes Small Vendor	PDuns-1	1	1	0	0	1	0	2	2	2	12743.1099
2007	HHS	S	Always Small Vendor	Duns	1	0	0	1	1	1	1	1	1	60312.0000
2002	Other Agencies	M	Medium Vendor	PDuns-2+	1	0	0	0	1	0	6	6	9	33000.0000
2012	Defense	S	Always Small Vendor	PDuns-2+	1	0	0	0	1	0	192	206	397	1181815.6298
2014	State and IAP	M	Medium Vendor	PID	1	1	0	0	1	0	12	12	28	-12848.2200
2006	DHS	N	Sometimes Small Vendor	Duns	1	0	1	1	1	1	1	1	3	6964.0000
2005	Other Agencies	U	Unlabeled Vendor	Name	1	0	0	0	1	0	5	1	5	13226.3800
2017	DHS	N	Sometimes Small Vendor	PDuns-1	1	1	0	1	1	1	206	206	1447	13590270.7903
2009	VA	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	0	278	278	0	1202.0000
1996	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	260	260	396	32261420.0000
2002	GSA	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	1	0	0.0000
