CSIStransactionID	CSIScontractID	fiscal_year	Customer	SubCustomer	ServicesCategory	PlatformPortfolio	ProductOrServiceCodeText	VendorSize	CompetitionClassification	ClassifyNumberOfOffers	includesMOSA	projectname	obligatedAmount	numberOfActions
69558903	67054166	2017	Defense	Navy	Products	Ships & Submarines	SHIP AND BOAT PROPULSION COMPONENTS	Large	No Competition (Only One Source Exception)	No competition	1	SSN 774 	64035.0000	1
68110651	69863121	2017	Defense	Navy	Products	Ships & Submarines	SHIP AND BOAT PROPULSION COMPONENTS	Large	No Competition (Only One Source Exception)	No competition	1	SSN 774 	0.0000	1
40632615	26819895	1993	Defense	Other DoD	Products	Electronics, Comms, & Sensors	TELEPHONE AND TELEGRAPH EQUIPMENT	Medium <1B	Limited Competition with multiple offers	Two Offers	1	1GDC	77071.0000	NULL
39175790	26819895	1993	Defense	Other DoD	Products	Electronics, Comms, & Sensors	TELEPHONE AND TELEGRAPH EQUIPMENT	Medium <1B	Limited Competition with multiple offers	Two Offers	1	1GDC	293503.0000	NULL
39684316	26819895	1993	Defense	Other DoD	ICT	Electronics, Comms, & Sensors	IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS	Medium <1B	Limited Competition with multiple offers	Two Offers	1	1GDC	37036.0000	NULL
37065945	26819895	1993	Defense	Other DoD	ICT	Electronics, Comms, & Sensors	IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS	Medium <1B	Limited Competition with multiple offers	Two Offers	1	1GDC	42782.0000	NULL
37179676	26819895	1993	Defense	Other DoD	ICT	Electronics, Comms, & Sensors	IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS	Medium <1B	Limited Competition with multiple offers	Two Offers	1	1GDC	90979.0000	NULL
40785318	26819895	1993	Defense	Other DoD	Products	Electronics, Comms, & Sensors	TELEPHONE AND TELEGRAPH EQUIPMENT	Medium <1B	Limited Competition with multiple offers	Two Offers	1	1GDC	458669.0000	NULL
36777049	18800833	2014	Defense	Navy	PAMS	Ships & Submarines	ENGINEERING AND TECHNICAL SERVICES	Medium <1B	Limited Competition with multiple offers	Two Offers	1	LCS 	0.0000	1
41051569	18800833	2014	Defense	Navy	PAMS	Ships & Submarines	ENGINEERING AND TECHNICAL SERVICES	Medium <1B	Limited Competition with multiple offers	Two Offers	1	LCS 	757819.0000	1
22902577	18684279	2007	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	250000.0000	1
33154364	18684271	2007	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	0.0000	1
14395498	18684279	2007	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	60000.0000	1
23542836	18684107	2008	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	14150.0000	1
14519170	18684299	2008	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	0.0000	1
19291098	18684126	2008	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	65000.0000	1
8155283	18684111	2008	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	0.0000	1
6303179	18684299	2008	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	-2952.0000	1
27975206	18684136	2008	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	2537175.0000	1
18118108	18684136	2008	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	50000.0000	1
3083135	18684250	2010	Defense	Navy	Products	Ships & Submarines	SUBMARINES	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	SSN 774 	-13120.0000	1
23132549	18686826	2010	Defense	Navy	R&D	Ships & Submarines	DEFENSE SHIPS (BASIC)	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	LCS 	50000.0000	1
28426443	18686827	2010	Defense	Navy	R&D	Ships & Submarines	DEFENSE SHIPS (BASIC)	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	LCS 	1000000.0000	1
18641966	18686825	2010	Defense	Navy	R&D	Ships & Submarines	DEFENSE SHIPS (BASIC)	Large: Big 6	No Competition (Only One Source Exception)	No competition	1	LCS 	3052801.0000	1
