"CSIScontractID","Action_Obligation","IsClosed","IsTerminated","LastCurrentCompletionDate","MinOfSignedDate","MaxBoostDate","MinOfEffectiveDate","IsComplete","StartFiscal_Year","topContractingOfficeAgencyID","topContractingOfficeID","topProductOrServiceCode","topPrincipalNAICScode","AgencyID","Customer","SubCustomer","UnmodifiedDays","qDuration","qLowCeiling","qHighCeiling","UnmodifiedContractObligatedAmount","UnmodifiedBase","UnmodifiedCeiling","UnmodifiedCurrentCompletionDate","UnmodifiedUltimateCompletionDate","UnmodifiedLastDateToOrder","IsModified","ChangeOrderBaseAndAllOptionsValue","SumOfisNewWork","NewWorkBaseAndAllOptionsValue","qNChg","pChangeOrderUnmodifiedBaseAndAll","CBre","qCRais","PlaceCountryISO3","UnmodifiedPlaceCountryISO3","AnyPlaceInternational","PlatformPortfolio","UnmodifiedPlatformPortfolio","ProductOrServiceArea","UnmodifiedProductOrServiceArea","SimpleArea","UnmodifiedSimpleArea","ObligatedAmountIsProducts","ObligatedAmountIsServices","ObligatedAmountIsRnD","UnmodifiedNumberOfOffersReceived","UnmodifiedIsFullAndOpen","UnmodifiedIsSomeCompetition","UnmodifiedIsOnlyOneSource","UnmodifiedIsUrgency","IsFullAndOpen","IsSomeCompetition","ObligatedAmountIsSomeCompetition","IsOnlyOneSource","IsFollowonToCompetedAction","IsIDV","Offr","Comp","EffComp","Urg","Veh","IsIncentive","FxCb","Fee","IsUCA","UnmodifiedIsUCA","UCA","SumOfisChangeOrder","ChangeOrderCeilingGrowth","ChangeOrderCeilingRescision","SteadyScopeCeilingModification","AdminCeilingModification","EndingCeilingModification","OtherCeilingModification","ContractBaseAndAllOptionsValue","n_CBre","p_ChangeOrderCeilingGrowth","qGrowth","Why_Outlier"
19005830,368017.2422,0,0,2012-02-29,2011-12-30,2012-03-29,2012-01-01,1,2012,"1700","N40080","3590","561210","1700","Defense","Navy",62,"[~2 months,~7 months)","[1.5e+04,1.0e+05)","[1.5e+04,1.0e+05)",40721.6016,40721.6016,40721.6016,2012-02-29,2012-02-29,NA,TRUE,14434412736,1,109601168,"   2",354465.742231514,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","Other","Other","Products","Products",368017.2422,NA,NA,2,1,1,NA,0,1,1,368017.2422,NA,NA,"IDV","2","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",2,14434412736,0,760231824,0,0,0,15194685281.6016,14434412737,354466.742206957,"[10.00,  Inf]",">=$250M, Inspect"
8496435,3915595.491,0,0,2012-09-30,2009-09-29,2011-02-10,2009-09-29,1,2009,"2100","W912UM","Z169","236115","2100","Defense","Army",1098,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",3205606.5,3144889856,3144889856,2012-09-30,2012-09-30,NA,TRUE,678674937,1,5255246,"[   3,3316]",0.215802450348201,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,3915595.491,NA,10,1,1,NA,0,1,1,3915595.491,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,12,706255335,-27580398,5255246,12611040,0,0,3841431079,706255336,1.22457235907724,"[-1.88, 1.00)","Korean Office W912UM"
8496301,4052412.135,0,0,2009-09-30,2008-07-15,2009-09-16,2008-07-16,1,2008,"2100","W912UM","Z199","237990","2100","Defense","Army",239,"[~7 months-~1 year]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",3142948.25,3944399872,3944399872,2009-03-10,2009-03-10,NA,TRUE,1141377120,0,0,"[   3,3316]",0.289366483378691,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,4052412.135,NA,1,1,1,NA,0,1,1,4052412.135,NA,NA,"def_detail/Pur","1","Comp.","1 Offer","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,20,1148688120,-7311000,0,0,0,0,5085776992,1148688121,1.29121999702773,"[-1.88, 1.00)","Korean Office W912UM"
1431340,1363572085,0,0,2015-02-09,2011-05-02,2015-10-28,2011-05-02,1,2011,"5700","FA8811","1810","336414","5700","Defense","Air Force",167,"[~2 months,~7 months)","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",245250000,5.75e+08,5.75e+08,2011-10-15,2011-10-15,NA,TRUE,2125674405,11,550494113,"[   3,3316]",3.69682505217391,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Space Systems","Space Systems","Missiles & Space","Missiles & Space","Products","Products",1363572085,NA,NA,1,0,0,1,0,0,0,NA,1,0,"def_detail/Pur","1","No Comp.","No Comp.","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",NA,1,"UCA",3,2156385183,-30710778,465793705,-1760937491,0,-41958538,1363572081,861241398,4.75023509913044,"[ 1.00,10.00)","At Least 1/2 After Admin Rescision"
10091305,2137798556.75,0,0,2016-11-19,2012-02-01,2016-11-15,2012-02-02,1,2012,"5700","FA8614","1510","336411","5700","Defense","Air Force",938.958333333333,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",4.31e+08,1781413760,1781413760,2014-08-27,2014-08-27,NA,TRUE,423785288,10,-548204.25,"[   3,3316]",0.237892676881535,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Aircraft","Aircraft","Aircraft","Aircraft","Products","Products",2137798556.75,NA,NA,1,0,0,1,0,0,0,NA,1,0,"IDV","1","No Comp.","No Comp.","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",3,423785288,0,2190310.75,0,0,0,2207389358.75,423785289,1.23789267632018,"[-1.88, 1.00)","Obligations at least half Orig+CRai"
24892987,319375.125,0,0,2009-12-26,2008-09-30,2009-07-28,2008-09-30,1,2008,"2100","W912UM","Z149","237990","2100","Defense","Army",453.041666666667,"(~1 year,~2 years]","[1.0e+06,3.0e+07)","[1.0e+06,1.0e+07)",9164.5,9400000,9400000,2009-12-26,2009-12-26,NA,TRUE,304334976,0,0,"   1",32.3760612765957,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,319375.125,NA,5,1,1,NA,0,1,1,319375.125,NA,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","SINGLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",NA,NA,NA,1,304334976,0,0,0,0,0,313734976,304334977,33.3760611702128,"[10.00,  Inf]","Korean Office W912UM"
1224800,528451915.162,1,0,2018-09-30,2008-02-27,2016-11-16,2008-02-08,1,2008,"5700","FA3002","J015","488190","5700","Defense","Air Force",581.958333333333,"(~1 year,~2 years]","[1.0e+06,3.0e+07)","[1.0e+07,7.5e+07)",29718482,29718482,29718482,2009-09-30,2009-09-30,NA,TRUE,331335656,16,131128349.8348,"   2",11.1491446972292,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Aircraft","Aircraft","ERS","ERS","Services","Services",NA,528508471.1021,NA,5,1,1,NA,0,1,1,528508471.1021,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",1,"Fixed-Price","Incentive",0,0,"Not UCA",2,346193504,-14857848,197163870.1303,-907204.8301,499999,28986,557839788.3002,346193505,12.6490977903919,"[10.00,  Inf]","Obligations at least half Orig+CRai"
8496414,17330005.0487,0,0,2016-09-30,2009-02-19,2016-05-05,2009-02-20,1,2009,"2100","W912UM","M152","236210","2100","Defense","Army",861.958333333333,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",12881075,12637097984,12637097984,2011-06-30,2011-06-30,NA,TRUE,2398519433,11,1950155894.4902,"[   3,3316]",0.189799860382249,"Ceiling Breach","[ 0.150,   Inf]","KOR","KOR","Any International","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,17330005.0487,NA,12,1,1,NA,0,1,1,17330005.0487,NA,NA,"def_detail/Pur","5+","Comp.","2+ Offers","Not Urgency","Def/Pur",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",23,2432100471,-33581038,1950155894.4902,0,0,0,16985773311.4902,2432100472,1.19245719809084,"[-1.88, 1.00)","Korean Office W912UM"
2961325,712197016.91,0,0,2013-04-30,2008-09-02,2013-06-21,2008-09-02,1,2008,"1700","N00019","2240","336412","1700","Defense","Navy",1275.04166666667,"(~2 years+]","[3.0e+07,1.0e+13]","[7.5e+07,1.0e+13]",78036000,78036000,78036000,2012-02-28,2012-02-28,NA,TRUE,571114304,10,63346712.91,"   1",7.31860044082218,"Ceiling Breach","[ 0.150,   Inf]","USA","USA","Just U.S.","Aircraft","Aircraft","Ground Vehicles","Ground Vehicles","Products","Products",712197016.91,NA,NA,1,1,1,NA,0,1,1,712197016.91,NA,NA,"def_detail/Pur","1","Comp.","1 Offer","Not Urgency","Def/Pur",1,"Cost-Based","Incentive",0,0,"Not UCA",1,571114304,0,63046712.91,0,0,0,712197016.91,571114305,8.31860042800758,"[ 1.00,10.00)","Obligations at least half Orig+CRai"
24816950,68972740,0,0,2012-01-02,2008-09-30,2013-02-28,2008-09-30,1,2008,"2100","W912HN","Z199","236220","2100","Defense","Army",548,"(~1 year,~2 years]","[3.0e+07,1.0e+13]","[1.0e+07,7.5e+07)",59500096,59500096,64963096,2010-03-31,2010-03-31,NA,TRUE,6791618,1,7700000,"[   3,3316]",0.104545787041923,"Ceiling Breach","[ 0.001, 0.150)","USA","USA","Just U.S.","Facilities and Construction","Facilities and Construction","FRS&C","FRS&C","Services","Services",NA,68972740,NA,5,0,1,0,0,0,1,68972740,0,NA,"IDV","5+","Comp.","2+ Offers","Not Urgency","MULTIPLE AWARD IDC",0,"Fixed-Price","FFP or No Fee",0,0,"Not UCA",30,296534102,-289742484,148150,-5101143,0,7700000,74501721,291581110,5.56465469256576,"[ 1.00,10.00)","At Least 1/2 After Change Order Rescision"
