fiscal_year	Customer	SubCustomer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	IsEntityAbove2018constant10ThousandThreshold	EntityCount	AllContractorCount	numberOfActions	ObligatedAmount
1987	Defense	Army	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	1	1	NULL	-171000.0000
1988	Defense	Army	M	Medium Vendor	Duns	NULL	NULL	0	0	0	0	1	1	NULL	-35000.0000
1988	Defense	Army	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	1	1	NULL	73000.0000
1988	Defense	Army	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	1	1	NULL	-39000.0000
1988	Defense	Navy	B	Big Five	PID	NULL	NULL	1	1	1	1	2	2	NULL	694000.0000
1988	Defense	Navy	L	Large Vendor	PID	NULL	NULL	0	1	1	1	1	1	NULL	60000.0000
1988	Defense	Navy	L	Large Vendor	PID	NULL	NULL	1	1	1	1	7	7	NULL	2298000.0000
1988	Defense	Navy	M	Medium Vendor	Duns	NULL	NULL	0	1	1	1	1	1	NULL	45000.0000
1988	Defense	Navy	M	Medium Vendor	Duns	NULL	NULL	1	1	1	NULL	1	1	NULL	450000.0000
1988	Defense	Navy	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	0	0	3	3	NULL	-138330.0000
1988	Defense	Navy	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	4	4	NULL	223000.0000
1988	Defense	Navy	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	4	4	NULL	79000.0000
1988	Defense	Navy	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	1	1	NULL	-263000.0000
1988	Defense	Navy	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	1	NULL	198000.0000
1988	Defense	Navy	S	Always Small Vendor	Duns	NULL	NULL	0	1	1	1	2	2	NULL	61000.0000
1988	Defense	Navy	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	1	NULL	506000.0000
1988	Defense	Navy	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	0	0	0	1	1	NULL	1486000.0000
1988	Defense	Navy	S	Always Small Vendor	PDuns-2+	NULL	NULL	0	1	1	1	2	2	NULL	265000.0000
1988	Defense	Navy	S	Always Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	2	2	NULL	1388000.0000
1988	Defense	Other DoD	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1	NULL	200000.0000
1988	Defense	Other DoD	L	Large Vendor	PID	NULL	NULL	1	1	1	1	2	2	NULL	102000.0000
1989	Defense	Army	L	Large Vendor	PID	NULL	NULL	1	1	1	1	6	6	NULL	70078000.0000
1989	Defense	Army	M	Medium Vendor	Duns	NULL	NULL	0	0	0	0	2	2	NULL	-36000.0000
1989	Defense	Army	M	Medium Vendor	Duns	NULL	NULL	0	1	1	1	4	4	NULL	389000.0000
1989	Defense	Army	M	Medium Vendor	Duns	NULL	NULL	1	1	1	1	4	4	NULL	40284000.0000
1989	Defense	Army	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	0	1	1	NULL	44000.0000
1989	Defense	Army	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1	1	1	NULL	35000.0000
1989	Defense	Army	M	Medium Vendor	PDuns-2+	NULL	NULL	0	0	0	0	1	1	NULL	NULL
1989	Defense	Army	M	Medium Vendor	PDuns-2+	NULL	NULL	0	1	1	1	4	4	NULL	741000.0000
1989	Defense	Army	M	Medium Vendor	PDuns-2+	NULL	NULL	1	1	1	1	6	7	NULL	6555000.0000
1989	Defense	Army	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	1	1	NULL	114000.0000
1989	Defense	Army	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	1	NULL	176174000.0000
1989	Defense	Army	N	Sometimes Small Vendor	PDuns-2+	NULL	NULL	1	1	1	1	2	2	NULL	27000.0000
1989	Defense	Army	S	Always Small Vendor	Duns	NULL	NULL	0	1	1	NULL	3	3	NULL	207000.0000
