14.0501 Bioengineering and Biomedical Engineering
Data Download from NCSES Interactive Data Tool

Filters: 
"Award Level Code - ALL"
"Award Level Code - ALL"
"Fiscal Year - ALL"

"Measures: Awards/Degrees Conferred"
Fiscal Year,Award Level Code,Awards/Degrees Conferred
1997,Award of less than 1 academic year,"299,804"
1997,Award of at least 1 but less than 2 academic years,"276,146"
1997,"Associate's degree","577,398"
1997,Award of at least 2 but less than 4 academic years,"36,166"
1997,"Bachelor's degree","1,188,385"
1997,Postbaccalaureate certificate,"8,535"
1997,"Master's degree","421,523"
1997,"Post-master's certificate","8,696"
1997,"Doctor's degree (old degree classification)","46,052"
1997,First-professional degree (old degree classification),"79,463"
1997,First-professional certificate (old degree classification),495
1998,Award of less than 1 academic year,"386,666"
1998,Award of at least 1 but less than 2 academic years,"269,413"
1998,"Associate's degree","580,591"
1998,Award of at least 2 but less than 4 academic years,"36,169"
1998,"Bachelor's degree","1,203,827"
1998,Postbaccalaureate certificate,"10,786"
1998,"Master's degree","434,491"
1998,"Post-master's certificate","8,862"
1998,"Doctor's degree (old degree classification)","46,571"
1998,First-professional degree (old degree classification),"80,021"
1998,First-professional certificate (old degree classification),"1,047"
1999,Award of less than 1 academic year,"275,654"
1999,Award of at least 1 but less than 2 academic years,"269,600"
1999,"Associate's degree","576,142"
1999,Award of at least 2 but less than 4 academic years,"31,689"
1999,"Bachelor's degree","1,223,323"
1999,Postbaccalaureate certificate,"10,880"
1999,"Master's degree","444,636"
1999,"Post-master's certificate","8,628"
1999,"Doctor's degree (old degree classification)","44,981"
1999,First-professional degree (old degree classification),"79,379"
1999,First-professional certificate (old degree classification),840
2000,Award of less than 1 academic year,"293,658"
2000,Award of at least 1 but less than 2 academic years,"278,536"
2000,"Associate's degree","587,587"
2000,Award of at least 2 but less than 4 academic years,"28,222"
2000,"Bachelor's degree","1,259,231"
2000,Postbaccalaureate certificate,"14,528"
2000,"Master's degree","461,607"
2000,"Post-master's certificate","9,030"
2000,"Doctor's degree (old degree classification)","45,260"
2000,First-professional degree (old degree classification),"81,178"
2000,First-professional certificate (old degree classification),845
2001,Award of less than 1 academic year,"284,746"
