fiscal_year	Customer	EntitySizeCode	EntitySizeText	EntityCategory	AnyEntityUSplaceOfPerformance	AnyEntityForeignPlaceOfPerformance	IsEntityAbove2016constantOneMillionThreshold	IsEntityAbove1990constantReportingThreshold	IsEntityAbove2016constantReportingThreshold	EntityCount	AllContractorCount	SumOfNumberOfActions	SumOfObligatedAmount
1987	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	-171000.0000
1988	Defense	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	5	NULL	521000.0000
1988	Defense	B	Big Five	PID	NULL	NULL	1	1	1	2	2	NULL	694000.0000
1988	Defense	L	Large Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	60000.0000
1988	Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	8	8	NULL	2400000.0000
1988	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	3	3	NULL	374000.0000
1988	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	3	3	NULL	-138330.0000
1988	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	5	5	NULL	296000.0000
1988	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	2	2	NULL	-95000.0000
1988	Defense	M	Medium Vendor	PID	NULL	NULL	0	1	1	1	1	NULL	-263000.0000
1988	Defense	M	Medium Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	198000.0000
1988	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	1	1	NULL	-39000.0000
1988	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	2	2	NULL	728000.0000
1988	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	2	2	NULL	1388000.0000
1988	Defense	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	1	1	NULL	1486000.0000
1988	Defense	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	1	1	NULL	43000.0000
1989	Defense	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	561	NULL	272552000.0000
1989	Defense	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	118	118	NULL	196218000.0000
1989	Defense	B	Big Five	PID	NULL	NULL	1	1	1	5	5	NULL	79809000.0000
1989	Defense	L	Large Vendor	PID	NULL	NULL	0	1	1	3	3	NULL	204000.0000
1989	Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	30	30	NULL	250386000.0000
1989	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	2	2	NULL	-95000.0000
1989	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	80	80	NULL	6942000.0000
1989	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	46	46	NULL	59944000.0000
1989	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	9	9	NULL	-832000.0000
1989	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	1	1	1	NULL	44000.0000
1989	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	88	91	NULL	10825000.0000
1989	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	61	66	NULL	46187000.0000
1989	Defense	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	9	19	NULL	1983000.0000
1989	Defense	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	27	75	NULL	211565000.0000
1989	Defense	M	Medium Vendor	PID	NULL	NULL	0	0	0	1	1	NULL	-595000.0000
1989	Defense	M	Medium Vendor	PID	NULL	NULL	0	1	1	16	16	NULL	3193000.0000
1989	Defense	M	Medium Vendor	PID	NULL	NULL	1	1	1	20	20	NULL	293901975.0000
1989	Defense	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	3	3	NULL	596000.0000
1989	Defense	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	5	5	NULL	49047000.0000
1989	Defense	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	4	5	NULL	1515000.0000
1989	Defense	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	5	8	NULL	8456000.0000
1989	Defense	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	2	4	NULL	909000.0000
1989	Defense	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	3	6	NULL	3319000.0000
1989	Defense	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	1	1	NULL	1097000.0000
1989	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	5	5	NULL	-738029.0000
1989	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	140	140	NULL	19473000.0000
1989	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	72	72	NULL	90463000.0000
1989	Defense	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	3	3	NULL	-988000.0000
1989	Defense	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	42	42	NULL	6311000.0000
1989	Defense	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	14	17	NULL	19447000.0000
1989	Defense	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	1	3	NULL	2192000.0000
1989	Defense	S	Always Small Vendor	PID	NULL	NULL	0	1	1	7	7	NULL	1138000.0000
1989	Defense	S	Always Small Vendor	PID	NULL	NULL	1	1	1	6	6	NULL	2215000.0000
1990	Defense	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	14895	NULL	8914422811.0000
1990	Defense	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	3104	3104	NULL	3828717781.0000
1990	Defense	NULL	NULL	PID	NULL	NULL	NULL	NULL	NULL	1	1	NULL	183530000.0000
1990	Defense	B	Big Five	PID	NULL	NULL	0	0	0	1	1	NULL	-35000.0000
1990	Defense	B	Big Five	PID	NULL	NULL	1	1	1	5	5	NULL	15869067707.0000
1990	Defense	J	Large: Big 5 JV	PID	NULL	NULL	1	1	1	1	1	NULL	103874000.0000
1990	Defense	L	Large Vendor	PID	NULL	NULL	0	0	0	1	1	NULL	NULL
1990	Defense	L	Large Vendor	PID	NULL	NULL	0	1	1	14	14	NULL	3165000.0000
1990	Defense	L	Large Vendor	PID	NULL	NULL	1	1	1	90	90	NULL	47850439888.0000
1990	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	0	73	73	NULL	-9476000.0000
1990	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	0	0	1	3	3	NULL	98000.0000
1990	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	0	1	1	1472	1472	NULL	386775000.0000
1990	Defense	M	Medium Vendor	PDuns-1	NULL	NULL	1	1	1	628	628	NULL	2736487958.0000
1990	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	0	37	38	NULL	-18330000.0000
1990	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	0	0	1	2	3	NULL	-1287000.0000
1990	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	0	1	1	743	851	2	178532806.0000
1990	Defense	M	Medium Vendor	PDuns-2	NULL	NULL	1	1	1	443	590	NULL	2062796200.0000
1990	Defense	M	Medium Vendor	PDuns-3+	NULL	NULL	0	0	0	1	2	NULL	-203000.0000
1990	Defense	M	Medium Vendor	PDuns-3+	NULL	NULL	0	1	1	165	456	NULL	128678000.0000
1990	Defense	M	Medium Vendor	PDuns-3+	NULL	NULL	1	1	1	422	2166	NULL	5421635000.0000
1990	Defense	M	Medium Vendor	PID	NULL	NULL	0	0	0	1	1	NULL	-1137000.0000
1990	Defense	M	Medium Vendor	PID	NULL	NULL	0	0	1	1	1	NULL	34000.0000
1990	Defense	M	Medium Vendor	PID	NULL	NULL	0	1	1	41	41	NULL	44349000.0000
1990	Defense	M	Medium Vendor	PID	NULL	NULL	1	1	1	139	139	NULL	11687636493.0000
1990	Defense	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	0	13	13	NULL	-14281000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	0	1	1	1	NULL	-943000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	0	1	1	492	492	NULL	166226000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns-1	NULL	NULL	1	1	1	467	467	NULL	2819955000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	0	0	3	3	NULL	-2534000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	0	1	1	217	353	NULL	106048000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns-2	NULL	NULL	1	1	1	247	429	NULL	1845410000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	0	1	1	110	330	NULL	81724000.0000
1990	Defense	N	Sometimes Small Vendor	PDuns-3+	NULL	NULL	1	1	1	364	2765	NULL	7957236708.0000
1990	Defense	N	Sometimes Small Vendor	PID	NULL	NULL	0	1	1	17	17	NULL	7868000.0000
1990	Defense	N	Sometimes Small Vendor	PID	NULL	NULL	1	1	1	91	91	NULL	3666267458.0000
1990	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	0	78	78	NULL	-19459000.0000
1990	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	0	1	15	15	NULL	812000.0000
1990	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	0	1	1	1931	1931	1	331195433.0000
1990	Defense	S	Always Small Vendor	PDuns-1	NULL	NULL	1	1	1	899	899	NULL	2330525184.0000
1990	Defense	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	0	24	24	NULL	-3549000.0000
1990	Defense	S	Always Small Vendor	PDuns-2	NULL	NULL	0	0	1	3	3	NULL	315000.0000
1990	Defense	S	Always Small Vendor	PDuns-2	NULL	NULL	0	1	1	516	598	NULL	95966000.0000
1990	Defense	S	Always Small Vendor	PDuns-2	NULL	NULL	1	1	1	196	289	NULL	571006978.0000
1990	Defense	S	Always Small Vendor	PDuns-3+	NULL	NULL	0	1	1	25	58	NULL	10138000.0000
1990	Defense	S	Always Small Vendor	PDuns-3+	NULL	NULL	1	1	1	32	85	NULL	176332000.0000
1990	Defense	S	Always Small Vendor	PID	NULL	NULL	0	0	0	1	1	NULL	0.0000
1990	Defense	S	Always Small Vendor	PID	NULL	NULL	0	1	1	22	22	NULL	5622000.0000
1990	Defense	S	Always Small Vendor	PID	NULL	NULL	1	1	1	48	48	NULL	848476000.0000
1991	Defense	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	11688	NULL	9111279026.0000
1991	Defense	NULL	NULL	Duns	NULL	NULL	NULL	NULL	NULL	8657	8657	NULL	9691047501.0000
