"TopProject","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"466",,,,,,,,,,,,,,,,,40567237,41772601.7187,76538932.0152,-2255891.25,2831222,692752.25,-904173.8437,0
"CBDP",,,,,6952572,28447718,29186348,1365970.9121,2452091,-429769.25,-580102.9219,-2501078.46,-2461037,-349128.72,-296336.21,-174236.1172,,,,,,,,
"DTS",,,180379.4063,,56425979.9492,59969544.0137,43835163.8953,13703862.25,6295791.0625,0,,,-76626.6875,,,,,,,,,,,
"Department of Defense Healthcare Management System Modernization (DHMSM)",,,,,,,,,,,,,,,,,,,,,11184238.9922,3482942.876,67001.7405,82391.6504
"MQ-1C Gray Eagle",,,,,,,,,,,,,,,,,,,,,,,,47011433
"MQ-9 Reaper",,,,,,,,11580875,36728737,33202997,0,,-21482.8008,6578514.3,21325026.55,,12326321,50934277,35178955,111147008,22883588,88159457.207,0,-198097.9063
"Other Labeled Project",31473,3695218,7170163,15771337,14780216,15882167,10598874.9873,3976466.25,2138920.8315,39127085.2583,953819.7803,272836.4095,13130.5698,-156524.8816,-117326.7803,-849536.61,,81061,,0,,0,,2871583.5
"Other UAS",,,,,,,,,,,,,219768216,,,13405694,42647300,34934469,119732986,43185330,15835046,,,
"STATUS OF FORCES AGREEMENT",,,,,,,,,,,,,,,,,,,281563.6562,843436.6438,315619.6053,-52484.4297,507467.4062,381629.0391
"ZBL",,,,,,,,,70656554,86918750,70744441,63313657,40970078.3125,46536594.25,25962949.51,-6583084.5075,67240899.1328,66622042.875,78542913.1563,-2399218.25,7402665.0966,1857359.8789,-4344765.9707,-1297465.25
,6506864798.1198,7416723406.8457,10537765390.0724,16089576403.6387,20031622020.085,22108737508.3491,24155210279.3871,24467257589.8133,27349689532.5768,30564830166.7121,32956706433.4392,36731584926.8917,33605960716.49,30602338392.6875,25610686507.261,22958225595.9535,23666336140.6707,26023425249.5567,28292395569.0449,29466315306.5376,29534488459.7603,28718819735.5635,30747297973.7056,21457353721.8733
