assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation.x,total_obligated_amount.x,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID.19_supplementals_for_overall_award,obligated_amount_from_COVID.19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,Funding_Agency_Name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,assistance_type_description,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,last_modified_date,USAspending_file_name,federal_action_obligation.y,total_obligated_amount.y,DeepTech,HighTech,Biotechnology,Quantum,FutureG,AdvMaterials,TrustedAI,SysOfSys,Microelectronics,Space Technology,Renewable,Computing,HMI,DirectedEnergy,Hypersonics,SensorCyber,ComponentTech,AnyTag
7300_08E2047943990012_08E20479439900122007OCT1642_59.016_-NONE-,ASST_NON_08E2047943990012_7300,08E2047943990012,NA,08E20479439900122007OCT1642,SAI NOT AVAILABLE,7875,7875,NA,NA,875,875,0,0,0,0,NA,NA,NA,NA,NA,2008-09-15,2008,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X5E3CJ78VKV9,789509705,"AMERICAN CONTRACTING, LLC",AMERICAN CONTRACTING  LLC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,FORT COLLINS,08069,LARIMER,08,CO,COLORADO,80526,0000,CO-04,CO-02,NA,NA,NA,NA,USA,UNITED STATES,08**069,FORT COLLINS,08069,LARIMER,08,COLORADO,805230000,CO-04,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,07-105: REMODEL INTERIOR OFFICE SPACES,07-105: REMODEL INTERIOR OFFICE SPACES,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_08E2047943990012_7300/,2010-08-11,FY2008_073_Assistance_Full_20230908_1.csv,7875,7875,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_08E4215861750013_08E42158617500132007OCT4683_59.016_-NONE-,ASST_NON_08E4215861750013_7300,08E4215861750013,NA,08E42158617500132007OCT4683,SAI NOT AVAILABLE,670577,670577,NA,NA,74509,74509,0,0,0,0,NA,NA,NA,NA,NA,2008-09-29,2008,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EB4SFDKCPFQ3,131908936,"AZULEJO, INC.",AZULEJO  INC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,NORTH MIAMI,12086,MIAMI-DADE,12,FL,FLORIDA,33161,4876,FL-17,FL-24,NA,NA,NA,NA,USA,UNITED STATES,12**086,MIAMI BEACH,12086,MIAMI-DADE,12,FLORIDA,331390000,FL-18,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,CONTRACT HSCG82-08-C-3WCA52 - RECONFIGURE SPACE IN THE OPERATIONS BUILDING FOR HTHM REQUIREMENTS,CONTRACT HSCG82-08-C-3WCA52 - RECONFIGURE SPACE IN THE OPERATIONS BUILDING FOR HTHM REQUIREMENTS,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_08E4215861750013_7300/,2010-08-11,FY2008_073_Assistance_Full_20230908_1.csv,670577,670577,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_09E0437573910017_09E04375739100172008OCT310_59.016_-NONE-,ASST_NON_09E0437573910017_7300,09E0437573910017,NA,09E04375739100172008OCT311,SAI NOT AVAILABLE,10575,0,NA,NA,1175,0,0,0,0,0,NA,NA,NA,NA,NA,2009-02-26,2009,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COEC ENTERPRISES  INC.,COEC ENTERPRISES  INC.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,RIVERDALE,13089,DEKALB,13,GA,GEORGIA,30274,0000,GA-13,GA-13,NA,NA,NA,NA,USA,UNITED STATES,13**089,DECATUR,13089,DEKALB,13,GEORGIA,300300000,GA-04,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,DUNWOODY LIBRARY SPACE RENOVATION,DUNWOODY LIBRARY SPACE RENOVATION,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09E0437573910017_7300/,2010-08-11,FY2009_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_09E2083153530010_09E20831535300102008OCT2192_59.016_-NONE-,ASST_NON_09E2083153530010_7300,09E2083153530010,NA,09E20831535300102008OCT2193,SAI NOT AVAILABLE,4950,0,NA,NA,550,0,0,0,0,0,NA,NA,NA,NA,NA,2009-02-17,2009,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STC GENERAL BUILDING CONTRACTOR  INC.,STC GENERAL BUILDING CONTRACTOR  INC.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,FRESNO,06047,MERCED,06,CA,CALIFORNIA,93747,0000,CA-21,CA-21,NA,NA,NA,NA,USA,UNITED STATES,06**047,MERCED,06047,MERCED,06,CALIFORNIA,953400000,CA-18,NA,NA,59.015999999999998,SURETY BOND GUARANTEES,NA,NA,09,NA,RESTROOM REMODEL AT SOUTH DOS PALOS PARK  DEMOLITION OF EXISTING FIXTURES  TOILET PARTITIONS  REPLACE ADA COMPLIANT FICTURES  SPACES AND TOILET PARTI,RESTROOM REMODEL AT SOUTH DOS PALOS PARK  DEMOLITION OF EXISTING FIXTURES  TOILET PARTITIONS  REPLACE ADA COMPLIANT FICTURES  SPACES AND TOILET PARTI,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_09E2083153530010_7300/,2010-08-11,FY2009_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_10E2607214160103_10E26072141601032009OCT3034_59.016_-NONE-,ASST_NON_10E2607214160103_7300,10E2607214160103,NA,10E26072141601032009OCT3034,SAI NOT AVAILABLE,24000,24000,NA,NA,6000,6000,0,0,0,0,NA,NA,NA,NA,NA,2010-06-17,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MBA GENERAL CONTRACTING  LLC,MBA GENERAL CONTRACTING  LLC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,BLACKFOOT,30065,MUSSELSHELL,30,MT,IDAHO,83221,0000,MT-02,MT-01,NA,NA,NA,NA,USA,UNITED STATES,30**065,ROUNDUP,30065,MUSSELSHELL,30,MONTANA,590720000,MT-01,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,REMODEL OF EXISTING CLINIC SPACE AND CONSTRUCTION OF NEW LOBBY AT ROUDUP MEMORIAL HEALTHCARE LOBBY ADDITION,REMODEL OF EXISTING CLINIC SPACE AND CONSTRUCTION OF NEW LOBBY AT ROUDUP MEMORIAL HEALTHCARE LOBBY ADDITION,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E2607214160103_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,24000,24000,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_10E2607214160081_10E26072141600812009OCT2995_59.016_-NONE-,ASST_NON_10E2607214160081_7300,10E2607214160081,NA,10E26072141600812009OCT2995,SAI NOT AVAILABLE,-16000,0,NA,NA,-4000,0,0,0,0,0,NA,NA,NA,NA,NA,2010-06-17,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MBA GENERAL CONTRACTING  LLC,MBA GENERAL CONTRACTING  LLC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,BLACKFOOT,56017,HOT SPRINGS,56,WY,IDAHO,83221,0000,WY-02,WY-00,NA,NA,NA,NA,USA,UNITED STATES,56**017,THERMOPOLIS,56017,HOT SPRINGS,56,WYOMING,824430000,WY-01,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,RENOVATION OF EXISTING SPACE TO CREATE NEW THREE ROOM ENDOSCOPY SUITE DEMOLITION SELECTIVE SITE  ADDITION OF MASONRY  METAL FRAMED DRYWALL POSITIONS,RENOVATION OF EXISTING SPACE TO CREATE NEW THREE ROOM ENDOSCOPY SUITE DEMOLITION SELECTIVE SITE  ADDITION OF MASONRY  METAL FRAMED DRYWALL POSITIONS,NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E2607214160081_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_10E8106414920002_10E81064149200022009OCT8684_59.016_-NONE-,ASST_NON_10E8106414920002_7300,10E8106414920002,NA,10E81064149200022009OCT8684,SAI NOT AVAILABLE,-22500,0,NA,NA,-2500,0,0,0,0,0,NA,NA,NA,NA,NA,2010-05-24,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACME CONSTRUCTION  INC.,ACME CONSTRUCTION  INC.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,CHEYENNE,56021,LARAMIE,56,WY,WYOMING,82001,0000,WY-01,WY-00,NA,NA,NA,NA,USA,UNITED STATES,56**021,CHEYENNE,56021,LARAMIE,56,WYOMING,820010000,WY-01,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,RENOVATION OF TENANT SPACE FOR AMERICAN AIRLINES,RENOVATION OF TENANT SPACE FOR AMERICAN AIRLINES,NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E8106414920002_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_10E2607214160077_10E26072141600772009OCT2985_59.016_-NONE-,ASST_NON_10E2607214160077_7300,10E2607214160077,NA,10E26072141600772009OCT2986,SAI NOT AVAILABLE,56000,0,NA,NA,14000,0,0,0,0,0,NA,NA,NA,NA,NA,2010-05-14,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MBA GENERAL CONTRACTING  LLC,MBA GENERAL CONTRACTING  LLC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,BLACKFOOT,38055,MCLEAN,38,ND,IDAHO,83221,0000,ND-02,ND-00,NA,NA,NA,NA,USA,UNITED STATES,38**055,PARSHALL,38055,MCLEAN,38,NORTH DAKOTA,587700000,ND-01,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,RESERVATION TELEPHONE COOPERATIVE CENTRAL OFFICE  CONSTRUCTION OF HOUSING OFFICE  GARAGE AND EQUIPMENT SPACE,RESERVATION TELEPHONE COOPERATIVE CENTRAL OFFICE  CONSTRUCTION OF HOUSING OFFICE  GARAGE AND EQUIPMENT SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E2607214160077_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_10E2715061460006_10E27150614600062009OCT3849_59.016_-NONE-,ASST_NON_10E2715061460006_7300,10E2715061460006,NA,10E27150614600062009OCT3850,SAI NOT AVAILABLE,25400,0,NA,NA,6350,0,0,0,0,0,NA,NA,NA,NA,NA,2010-03-30,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SHEETS DESIGN BUILD  LLC,SHEETS DESIGN BUILD  LLC,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,MAQUOKETA,19115,LOUISA,19,IA,IOWA,52060,0000,IA-01,IA-01,NA,NA,NA,NA,USA,UNITED STATES,19**115,LETTS,19115,LOUISA,19,IOWA,527540000,IA-02,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,REMODEL OFFICE SPACE,REMODEL OFFICE SPACE,NON,NA,R,SMALL BUSINESS,NA,NA,A,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E2715061460006_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
7300_10E6511673440017_10E65116734400172009OCT7106_59.016_-NONE-,ASST_NON_10E6511673440017_7300,10E6511673440017,NA,10E65116734400172009OCT7106,SAI NOT AVAILABLE,-308000,0,NA,NA,-132000,0,0,0,0,0,NA,NA,NA,NA,NA,2010-01-08,2010,NA,NA,073,Small Business Administration,7300.0,Small Business Administration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,019962592,B SIDE  INC.,B SIDE  INC.,NA,NA,NA,NA,USA,UNITED STATES,NA,NA,00000,OAKLAND,06001,ALAMEDA,06,CA,CALIFORNIA,94621,0000,CA-09,CA-12,NA,NA,NA,NA,USA,UNITED STATES,06**001,OAKLAND,06001,ALAMEDA,06,CALIFORNIA,946210000,CA-09,NA,NA,59.016,SURETY BOND GUARANTEES,NA,NA,09,NA,SWING SPACE AT MERRITT COLLEGE,SWING SPACE AT MERRITT COLLEGE,NON,NA,R,SMALL BUSINESS,NA,NA,C,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.usaspending.gov/award/ASST_NON_10E6511673440017_7300/,2010-08-11,FY2010_073_Assistance_Full_20230908_1.csv,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE
