Fiscal Year,Contracting Department ID,Contracting Department Name,Product or Service Code,Product or Service Description,Base and All Options Value (Total Contract Value),Base and Exercised Options Value,Dollars Obligated,Number of Actions,Number of Records
2011,9700,DEPT OF DEFENSE,1005,"GUNS, THROUGH 30 MM","$300,978,012,221.16 ","$534,667,330.36 ","$511,835,033.25 ",3585,3585
2011,9700,DEPT OF DEFENSE,1010,"GUNS, OVER 30 MM UP TO 75 MM","$152,390,540.23 ","$110,750,653.56 ","$110,650,452.25 ",631,631
2011,9700,DEPT OF DEFENSE,1015,"GUNS, 75 MM THROUGH 125 MM","$88,152,106.42 ","$57,615,658.03 ","$57,269,687.76 ",745,745
2011,9700,DEPT OF DEFENSE,1020,GUNS OVER 125 MM THROUGH 150 MM,"$32,369,765.36 ","$36,125,685.76 ","$40,719,919.32 ",145,145
2011,9700,DEPT OF DEFENSE,1025,GUNS OVER 150 MM THROUGH 200 MM,"$310,626,103.01 ","$292,480,609.22 ","$292,169,091.99 ",640,640
2011,9700,DEPT OF DEFENSE,1030,GUNS OVER 200 MM THROUGH 300 MM,"$4,175,036.96 ","$175,036.96 ","$175,036.96 ",13,13
2011,9700,DEPT OF DEFENSE,1035,"GUNS, OVER 300 MM","$64,407,684.45 ","$64,364,612.45 ","$60,521,827.45 ",34,34
2011,9700,DEPT OF DEFENSE,1040,CHEMICAL WEAPONS AND EQUIPMENT,"$4,724,216.55 ","$4,720,341.55 ","$4,719,903.87 ",82,82
2011,9700,DEPT OF DEFENSE,1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE","$19,308,736.03 ","$11,096,389.27 ","$12,926,250.47 ",70,69
2011,9700,DEPT OF DEFENSE,1055,"LAUNCHERS, ROCKET AND PYROTECHNIC","$95,825,365.52 ","$35,667,429.27 ","$36,591,146.98 ",184,184
2011,9700,DEPT OF DEFENSE,1070,"NETS AND BOOMS, ORDNANCE","$3,278,532.56 ","$3,278,532.56 ","$3,278,532.56 ",16,16
2011,9700,DEPT OF DEFENSE,1075,DEGAUSSING & MINE SWEEPING EQUIPMEN,"$148,673,265.26 ","$80,673,265.26 ","$80,661,483.99 ",194,194
2011,9700,DEPT OF DEFENSE,1080,CAMOUFLAGE AND DECEPTION EQUIPMENT,"$36,294,578.04 ","$10,471,341.56 ","$10,309,076.56 ",63,63
2011,9700,DEPT OF DEFENSE,1090,WPNS ASSY INTERCHANGE BETWN 2/MORE,"$2,115,115.88 ","$12,059,931.88 ","$11,872,909.88 ",60,60
2011,9700,DEPT OF DEFENSE,1095,MISCELLANEOUS WEAPONS,"$1,573,877,097.96 ","$746,842,294.93 ","$614,380,931.82 ",1352,1352
2011,9700,DEPT OF DEFENSE,1115,NUCLEAR WARHEADS & WARHEAD SECTIONS,"$2,567,005.89 ","$4,187,879.89 ","$4,187,879.89 ",4,4
2011,9700,DEPT OF DEFENSE,1130,"CONVERSION KITS, NUCLEAR ORDNANCE","$22,087.84 ","$22,087.84 ","$22,087.84 ",2,2
2011,9700,DEPT OF DEFENSE,1135,"FUZING & FIRING DEVICES, NUCLEAR OR","$754,558.57 ","$754,558.57 ","$754,558.56 ",9,9
2011,9700,DEPT OF DEFENSE,1140,NUCLEAR COMPONENTS,"$62,834.00 ","$62,834.00 ","$62,834.00 ",16,16
