announcement date,service,awarding agency,announced amount,contract type,relatedUniqueAwardKey,Parent Award Unique Key,equipment,announcement
3/24/2025,Navy,Lockheed Martin Corp.,"$71,285,068 ","firm-fixed-price, cost-plus-fixed-fee modification",CONT_AWD_N6833524F0319_9700_N6833524D0010_9700,CONT_IDV_N6833524D0010_9700,the Consolidated Automated Support System family of testers,"Lockheed Martin Corp., Orlando, Florida, is awarded a $71,285,068 firm-fixed-price, cost-plus-fixed-fee modification (P00004) to a previously awarded not-to-exceed undefinitized indefinite-delivery/indefinite-quantity contract (N6833524D0010). This modification extends the period of performance to continue to provide performance-based logistics for the Consolidated Automated Support System family of testers supporting naval aviation systems at the intermediate maintenance level, both ashore and afloat, in addition to naval aviation repair depots and international program’s repair sites in support of Foreign Military Sales customers. Work locations will be determined with each individual delivery order. Work is expected to be completed March 2031. No funds will be obligated at the time of award; funds will be obligated on individual orders as they are issued. This contract was competed. Naval Air Warfare Center Aircraft Division, Lakehurst, New Jersey, is the contracting activity. "
,,,,,CONT_AWD_N6833524F0271_9700_N6833524D0010_9700,CONT_IDV_N6833524D0010_9700,,
,,,,,CONT_AWD_N6833524F0265_9700_N6833524D0010_9700,CONT_IDV_N6833524D0010_9700,,
,,,,,CONT_AWD_N6833524F0242_9700_N6833524D0010_9700,CONT_IDV_N6833524D0010_9700,,
,,,,,CONT_AWD_N6833524F0228_9700_N6833524D0010_9700,CONT_IDV_N6833524D0010_9700,,
,,,,,CONT_AWD_N6833524F0220_9700_N6833524D0010_9700,CONT_IDV_N6833524D0010_9700,,
12/19/2024,Navy,Bell Textron Inc.,"$557,000,000 ",firm-fixed-price,CONT_AWD_N0038325F0NA0_9700_N0038325DNA01_9700,CONT_IDV_N0038325DNA01_9700,"H-1 rotors, and drives components","Bell Textron Inc., Fort Worth, Texas, is being awarded a $557,000,000 firm-fixed-price, performance-based logistics, requirements contract to provide logistics, repair and spare support for the H-1 rotors, and drives components. This contract includes a five-year ordering period with no options. Work will be performed in Fort Worth, Texas; and Cherry Point, North Carolina, based on negotiated work split percentages between Fleet Readiness Center East and Bell Textron Inc. that cannot be determined at this time. Work will be completed by December 2029. Working capital (Navy) funds in the amount $139,250,000 will be issued for delivery order (N00383-25-F-0NA0) that will be awarded concurrently with the contract. Funds will not expire at the end of the current fiscal year. One company was solicited for this non-competitive requirement under authority 10 U.S. Code 2304 (a)(1), with one offer received. Naval Supply Systems Command Weapon Systems Support, Philadelphia, Pennsylvania, is the contracting activity (N00383-25-D-NA01)."
11/21/2024,Navy,Raytheon Co.,"$185,800,634 ",,CONT_AWD_N0038325F0NE1_9700_N0038325DNE01_9700,CONT_IDV_N0038325DNE01_9700,160 parts in two of the 13 major subsystems of the Aegis Weapon System,"Raytheon Co., Marlborough, Massachusetts, is being awarded $185,800,634 for a ceiling-price, delivery order (N00383-25-F-0NE1) under a previously awarded performance based contract (N00383-25-D-NE01) for the repair, upgrade, or replacement of 160 parts in two of the 13 major subsystems of the Aegis Weapon System: the MK99 fire control system, and the Army Navy Joint Electronics Type Designation Systems Water/Surface Ship, Radar, Surveillance and Control Transmitter Group. The contract includes supply response time performance metrics. Work will be performed in Chesapeake, Virginia (63%); and Andover, Massachusetts (37%), and work is expected to be completed by December 2026. Annual working capital funds (Navy) in the amount of $139,350,476 will be obligated at the time of award as an undefinitized contract action with a commitment of $46,450,158 for a year’s period of performance. Funds will not expire at the end of the current fiscal year. One company was solicited for this sole-source requirement under authority 10 U.S. Code 3204 (a)(1), with one offer received. Naval Supply Systems Command Weapon Systems Support, Philadelphia, Pennsylvania, is the contracting activity."
11/21/2024,Navy,Raytheon Co.,"$174,576,603 ",,CONT_AWD_N0038320F0NE0_9700_N0038325DNE01_9700,CONT_IDV_N0038325DNE01_9700,365 parts within two of the 13 major subsystems of the Aegis Weapon System,"Raytheon Co., Marlborough, Massachusetts, is being awarded $174,576,603 for a ceiling-price, performance-based, logistics requirements contract for the repair, upgrade, or replacement of 365 parts within two of the 13 major subsystems of the Aegis Weapon System: the MK99 fire control system and the Army Navy Joint Electronics Type Designation Systems Water/Surface Ship, Radar, Surveillance and Control Transmitter Group. The contractor will also be responsible for inventory management, warehousing and achieving supply response time metrics. Work will be performed in Chesapeake, Virginia (63%); and Andover, Massachusetts (37%). This contract includes a five-year base period with no options. Work is expected to be completed by November 2029. Annual working capital funds (Navy) in the amount of $36,877,685 will be issued for delivery order N00383-20-F-0NE0 that will be awarded concurrently with the contract and will initially be obligated at the time of award as an undefinitized contract action with a commitment of $12,406,357 for a year’s period of performance. Funds will not expire at the end of the current fiscal year. One company was solicited for this sole-source requirement under authority 10 U.S. Code 3204 (a)(1), with one offer received. Naval Supply Systems Command Weapon Systems Support, Philadelphia, Pennsylvania, is the contracting activity (N00383-25-D-NE01).   "
11/21/2024,DLA,The Bell Boeing Joint Project Office,"$600,306,607 ","fixed-price, incentive",,CONT_IDV_SPE4AX20D9001_9700,,"The Bell Boeing Joint Project Office, California, Maryland, has been awarded a maximum $600,306,607 modification (P00036) exercising the five-year option period of a five-year base contract (SPE4AX-20-D-9001) with one five-year option period for V-22 Planned Maintenance Interval consumable market baskets. This is a fixed-price, incentive, performance-based contract. The ordering period end date is Nov. 30, 2029. Using customers are Navy, Marine Corps, Air Force, and Japanese Ground Self Defense Force. Type of appropriation is fiscal 2025 through 2030 defense working capital funds. The contracting activity is the Defense Logistics Agency Aviation, Philadelphia, Pennsylvania."
