Description_of_Requirement,second,descrip_row_number
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT (OTA) IS TO REIMBURSE DENVER INTERNATIONAL AIRPORT (DEN) FOR PARKING SERVICES.,Second,1
"DESIGN SERVICES NECESSARY TO MODIFY THE EXISTING INLINE CHECKED
BAGGAGE INSPECTION SYSTEM (CBIA) UTILIZING EXPLOSIVE DETECTION
SYSTEMS (EDS) AT THE AIRPORT.",Second,2
THIS OTA IS TO OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE BURBANK BOB-HOPE AIRPORT FROM 01/01/2020 TO 12/31/2020. THE DATE SIGNED AND EFFECTIVE DATE WAS DELAYED BY THE AIRPORT.,Second,3
COVID-19--OBLIGATES FUNDING TO REIMBURSE COSTS FOR THE CLEANING AND SANITIZATION OF THE TSA CHECKPOINT AREAS AT BURBANK BOB-HOPE AIRPORT AS REQUIRED BY LOCAL AND STATE HEALTH AUTHORITIES AND THE CENTERS FOR DISEASE CONTROL AND PREVENTION.,Second,4
"COVID-19: OBLIGATES FUNDING TO REIMBURSE COSTS FOR CLEANING
AND SANITIZATION OF TSA TERMINAL A CHECKPOINTS&BREAKROOM AREAS AT BURBANK BOB-HOPE AIRPORT AS REQUIRED BY LOCAL, STATE HEALTH AUTHORITIES AND CENTERS FOR DISEASE CONTROL AND PREVENTION",Second,5
OTA IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT DALLAS/FORT WORTH INTERNATIONAL AIRPORT.,Second,6
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT (OTA) IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS NORTHWEST ARKANSAS REGIONAL AIRPORT (XNA).,Second,7
THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS GAINESVILLE AIRPORT FL.,Second,8
OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS FOR SCREENING AREAS AT THE RUTLAND SOUTHERN VERMONT REGIONAL AIRPORT.,Second,9
"NATIONAL INTEREST ACTION: COVID192020
THE PURPOSE OF THIS OTA IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE REIMBURSEMENT OF COVID-19 CLEANING AND SANITIZATION ACTIVITIES TO LAGUARDIA GATEWAY PARTNERS.",Second,10
"NATIONAL INTEREST ACTION: COVID-19-2020
REIMBURSEMENT OF 2020 CARES ACT FUNDING OF $1,902.36 FOR COVID-19 CLEANING AND SANITIZATION FOR TSA CHECKPOINT SPACES AT JFK TERMINAL 1.",Second,11
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE CYRIL E. KING INTERNATIONAL AIRPORT (STT).,Second,12
"NATIONAL INTEREST ACTION: COVID-19-2020 
THE PURPOSE OF MODIFICATION P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE AND OBLIGATE SUPPLEMENTAL FUNDING FOR COVID-19 CLEANING AND SANITIZATION FOR TSA CHECKPOINTS AT LAGUARDIA AIRPORT TERMINAL B.",Second,13
"AIRPORT REIMBURSEMENT OF COVID-19 CLEANING AND SANITIZATION ACTIVITIES IN ACCORDANCE WITH ENHANCED CLEANING REQUIREMENTS CHECKLIST FOR CHECKPOINT SCREENING AREAS AND ADMINISTRATIVE SPACE. START DATE OCTOBER 1, 2020 - JUNE 30, 2021.",Second,14
THE PURPOSE OF OTA NO. 70T01020T9NCKP024 P00002 IS TO EXTEND THE PERIOD OF PERFORMANCE AND OBLIGATE SUPPLEMENTAL FOR THE REIMBURSEMENT OF COVID-19 JANITORIAL CLEANING.,Second,15
OBLIGATE SUPPLEMENTAL FUNDING TO REIMBURSE SACRAMENTO INTERNATIONAL AIRPORT FOR THE COST TO CLEAN AND SANITIZE THE TSA CHECKPOINT AREAS AT SACRAMENTO INTERNATIONAL AIRPORT AS REQUIRED BY LOCAL AND STATE HEALTH AUTHORITIES AND THE CDC FOR COVID-19.,Second,16
UNILATERAL MOD.P00001 IS TO EXTEND THE POP OF OTHER TRANSACTION AGREEMENT (OTA)70T01019T9NAFN002 FOR 12 MONTHS AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF PARKING SERVICES PROVIDED BY DENVER INTERNATIONAL AIRPORT FOR TSA EMPLOYEES.,Second,17
THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE ADDITIONAL FUNDING FOR THE REIMBURSEMENT OF PARKING PASSES AT DENVER INTERNATIONAL AIRPORT (DEN).,Second,18
CHECKED BAGGAGE FACILITY MODIFICATION OTA AT TERMINAL ONE OF NEWARK LIBERTY INTERNATIONAL AIRPORT (EWR) TO INSTALL A NEW IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS),Second,19
THE PURPOSE OF THIS OTA IS TO ESTABLISH THE TERMS AND CONDITIONS FOR THE USE OF SPACE AND OBLIGATE FUNDING FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT QUINCY REGIONAL AIRPORT.,Second,20
THIS OTHER TRANSACTION AGREEMENT (OTA) ESTABLISHES THE TERMS AND CONDITIONS FOR THE REIMBURSEMENT OF FIXED ELECTRICAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT SACRAMENTO INTERNATIONAL AIRPORT (SMF).,Second,21
"NATIONAL INTEREST ACTION: COVID192020
MODIFICATION TO FUND AND EXTEND PERIOD OF PERFORMANCE TO SEPTEMBER 30, 2021 FOR COVID19 CLEANING.",Second,22
COVID-19 REIMBURSEMENT,Second,23
THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE AND OBLIGATE SUPPLEMENTAL FUNDING FOR THE REIMBURSEMENT OF COVID 19 CLEANING SERVICES AT LAGUARDIA AIRPORT.,Second,24
