"principalnaicscode","principalnaicscodeText","NAICS_ShortHand","Action_Obligation_OMB20_GDP20"
115111,"Cotton Ginning","",378376.323649199
212112,"Bituminous Coal Underground Mining","",7399.20948616601
213112,"Support Activities for Oil and Gas Operations","",13280.7257362992
221112,"Fossil Fuel Electric Power Generation","",17994505.4376258
221118,"Other Electric Power Generation","",30977.0770549355
221122,"Electric Power Distribution","",6596038.00351529
233320,"Commercial and Institutional Building Construction","",41619.4790486976
235310,"Electrical Contractors","",198493.771234428
235510,"Carpentry Contractors","",107304.643261608
235950,"Building Equipment and Other Machinery Installation Contractors","",42257.9275198188
236115,"New Single-Family Housing Construction (except For-Sale Builders)","",5967.00596700597
236210,"Industrial Building Construction","",111569.781458922
236220,"Commercial and Institutional Building Construction","236220 Comm./Inst. Building Construction",6918724.79728832
237130,"Power and Communication Line and Related Structures Construction","",100520.624934869
237310,"Highway, Street, and Bridge Construction","",22862.9928629929
238110,"Poured Concrete Foundation and Structure Contractors","",161194.465640974
238130,"Framing Contractors","",5462.44296244296
238140,"Masonry Contractors","",10144.4086406492
238150,"Glass and Glazing Contractors","",15835.3096179183
238160,"Roofing Contractors","",24231.3941096749
238190,"Other Foundation, Structure, and Building Exterior Contractors","",303026.381656471
238210,"Electrical Contractors and Other Wiring Installation Contractors","",26886721.5068189
238220,"Plumbing, Heating, and Air-Conditioning Contractors","",6318102.09541262
238290,"Other Building Equipment Contractors","",505364.556227806
238310,"Drywall and Insulation Contractors","",59986.2330306157
238320,"Painting and Wall Covering Contractors","",14088.2206793634
238330,"Flooring Contractors","",666211.295095843
238390,"Other Building Finishing Contractors","",4438108.75715465
238910,"Site Preparation Contractors","",33862.5823647171
238990,"All Other Specialty Trade Contractors","",2375431.63329272
311999,"All Other Miscellaneous Food Manufacturing","",13530.9259516519
312112,"Bottled Water Manufacturing","",4635.77863577864
313311,"Broadwoven Fabric Finishing Mills","",3430243.54177186
313312,"Textile and Fabric Finishing (Except Broadwoven Fabric) Mills","",4000.96292729899
314110,"Carpet and Rug Mills","",383082.490297469
314120,"Curtain and Linen Mills","",9986.17315464795
314121,"Curtain and Drapery Mills","",52433.6195862556
314912,"Canvas and Related Product Mills","",16858.5335532178
314999,"All Other Miscellaneous Textile Product Mills","",433520.227989346
315280,"Other Cut and Sew Apparel Manufacturing","",13283.7974968993
315299,"All Other Cut and Sew Apparel Manufacturing","",4314.23017402537
315990,"Apparel Accessories and Other Apparel Manufacturing","",53654.9648029623
315992,"Glove and Mitten Manufacturing","",10763.4238402533
315999,"Other Apparel Accessories and Other Apparel Manufacturing","",5153794.99139461
316110,"Leather and Hide Tanning and Finishing","",18536.3505055368
316213,"Men'S Footwear (Except Athletic) Manufacturing","",18999.7592681753
316991,"Luggage Manufacturing","",209953.29812947
316998,"All Other Leather Good and Allied Product Manufacturing","",352.47
316999,"All Other Leather Good Manufacturing","",95389.0348892313
321211,"Hardwood Veneer and Plywood Manufacturing","",29050.2798711731
321214,"Truss Manufacturing","",38268.350399809
321920,"Wood Container and Pallet Manufacturing","",33679.5991823384
321991,"Manufactured Home (Mobile Home) Manufacturing","",129700.567793986
321992,"Prefabricated Wood Building Manufacturing","",5749.26147254482
321999,"All Other Miscellaneous Wood Product Manufacturing","",128857.986563315
322121,"Paper (except Newsprint) Mills","",249094.431916677
322212,"Folding Paperboard Box Manufacturing","",10991.7651271035
322222,"Coated and Laminated Paper Manufacturing","",19998.3656244689
322223,"Plastics, Foil, and Coated Paper Bag Manufacturing","",38567.439402727
322225,"Laminated Aluminum Foil Manufacturing For Flexible Packaging Uses","",4966.06027694814
322226,"Surface-Coated Paperboard Manufacturing","",20094.1554713515
322230,"Stationery Product Manufacturing","",175764.605766083
322231,"Die-Cut Paper and Paperboard Office Supplies Manufacturing","",74903.0711151923
322232,"Envelope Manufacturing","",128582.24925073
322233,"Stationery, Tablet, and Related Product Manufacturing","",27834.959696014
322291,"Sanitary Paper Product Manufacturing","",25841.083936158
322299,"All Other Converted Paper Product Manufacturing","",63886.1348841955
323110,"Commercial Lithographic Printing","",59083.3601569051
323111,"Commercial Printing (except Screen and Books)","",21929.7481187099
323113,"Commercial Screen Printing","",9176.09046849758
323114,"Quick Printing","",223323.022313723
323115,"Digital Printing","",5005.49142710478
323117,"Books Printing","",18055.1758419287
323119,"Other Commercial Printing","",60322.6793885074
323120,"Support Activities for Printing","",113153.832896665
324122,"Asphalt Shingle and Coating Materials Manufacturing","",1369.13377056007
325130,"Synthetic Dye and Pigment Manufacturing","",40770.6574863388
325211,"Plastics Material and Resin Manufacturing","",215262.409894877
325412,"Pharmaceutical Preparation Manufacturing","",78507.9771094606
325413,"In-Vitro Diagnostic Substance Manufacturing","",771095.997864539
325510,"Paint and Coating Manufacturing","",11156.7376775272
325910,"Printing Ink Manufacturing","",80918.4150512209
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing","",1746063.11750887
325998,"All Other Miscellaneous Chemical Product and Preparation Manufacturing","",92042.3346197079
326122,"Plastics Pipe and Pipe Fitting Manufacturing","",1503844.49153184
326150,"Urethane and Other Foam Product (except Polystyrene) Manufacturing","",29121.6647516916
326199,"All Other Plastics Product Manufacturing","",29488.8912963591
326299,"All Other Rubber Product Manufacturing","",453693.084474104
327111,"Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing","",129631.504413064
327122,"Ceramic Wall and Floor Tile Manufacturing","",24597.2550565313
327390,"Other Concrete Product Manufacturing","",7693.19095188885
327993,"Mineral Wool Manufacturing","",1474.95326721586
331111,"Iron and Steel Mills","",74342.0055830871
331318,"Other Aluminum Rolling, Drawing, and Extruding","",36179.2911082748
331419,"Primary Smelting and Refining Of Nonferrous Metal (Except Copper and Aluminum)","",83471.2115409166
331422,"Copper Wire (Except Mechanical) Drawing","",21565.7312507313
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding","",4318956.69551896
332116,"Metal Stamping","",176065.334628774
332212,"Hand and Edge Tool Manufacturing","",9347.15564018323
332213,"Saw Blade and Handsaw Manufacturing","",19074.4103826332
332216,"Saw Blade and Handtool Manufacturing","",8674.6250382614
332311,"Prefabricated Metal Building and Component Manufacturing","",1350750.08090152
332312,"Fabricated Structural Metal Manufacturing","",4315502.29502693
332313,"Plate Work Manufacturing","",211397.292490959
332321,"Metal Window and Door Manufacturing","",12333.8388515011
332322,"Sheet Metal Work Manufacturing","",53672.8773031847
332323,"Ornamental and Architectural Metal Work Manufacturing","",120729.775885668
332420,"Metal Tank (Heavy Gauge) Manufacturing","",289311.09314662
332439,"Other Metal Container Manufacturing","",379764.461975008
332510,"Hardware Manufacturing","",21365102.9912345
332618,"Other Fabricated Wire Product Manufacturing","",27286.3979074295
332710,"Machine Shops","",96910.0802440821
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","",36988.2461128786
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring","",4354.11643127799
332996,"Fabricated Pipe and Pipe Fitting Manufacturing","",10138.1955436503
332999,"All Other Miscellaneous Fabricated Metal Product Manufacturing","",1298181.24452953
333111,"Farm Machinery and Equipment Manufacturing","",15632.4110671937
333120,"Construction Machinery Manufacturing","",51143.5864188568
333131,"Mining Machinery and Equipment Manufacturing","",77885.3754940712
333210,"Sawmill and Woodworking Machinery Manufacturing","",14776.7100278937
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing","",9752.52167708855
333244,"Printing Machinery and Equipment Manufacturing","",113097.750270654
333249,"Other Industrial Machinery Manufacturing","",276931.087211999
333292,"Textile Machinery Manufacturing","",11245.8355834337
333293,"Printing Machinery and Equipment Manufacturing","",6824730.11386409
