"ProductOrServiceCode","ProductOrServiceCodeText","ProductServiceOrRnDarea","ProductServiceOrRnDarea.sum","Commercial","Unlabeled","Not IT","Non-Commercial","Non-Developmental","NA"
"",NA,"Unlabeled","Unlabeled",0,2161706.2957417,NA,NA,NA,NA
"1095","MISCELLANEOUS WEAPONS","Launchers & Munitions","Products (All)",NA,NA,6437.35541215147,NA,NA,NA
"1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ","Launchers & Munitions","Products (All)",NA,NA,172745.526010929,NA,NA,NA
"1230","FIRE CONTROL SYSTEMS, COMPLETE","Launchers & Munitions","Products (All)",NA,NA,10199.1048340797,NA,NA,NA
"1250","FIRE CONTROL STABILIZING MECHANISMS","Launchers & Munitions","Products (All)",NA,NA,11057.7197,NA,NA,NA
"1265","FIRE CONT EQ EXCEPT AIRBORNE","Launchers & Munitions","Products (All)",NA,NA,26346.2860259502,NA,NA,NA
"1290","MISC FIRE CONT EQUIPMENT","Launchers & Munitions","Products (All)",NA,NA,3946.81247669939,NA,NA,NA
"1398","AMMUNITION HANDLING & SERVICING EQ","Launchers & Munitions","Products (All)",NA,NA,31906.3181238034,NA,NA,NA
"1680","MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS","Aircraft","Products (All)",NA,NA,57974.9855002731,NA,NA,NA
"1730","AIRCRAFT GROUND SERVICING EQUIPMENT","Aircraft","Products (All)",NA,NA,55433.0088495575,NA,NA,NA
"1925","SPECIAL SERVICE VESSELS","Ships","Products (All)",NA,NA,47288.5307439425,NA,NA,NA
"2305","GROUND EFFECT VEHICLES","Ground Vehicles","Products (All)",NA,NA,98070.9405816235,NA,NA,NA
"2310","PASSENGER MOTOR VEHICLES","Ground Vehicles","Products (All)",NA,421681.393669936,827553.343783677,NA,NA,NA
"2320","TRUCKS AND TRUCK TRACTORS, WHEELED","Ground Vehicles","Products (All)",NA,33395.7101869907,4594110.80230704,NA,NA,NA
"2330","TRAILERS","Ground Vehicles","Products (All)",NA,NA,236797.871238421,NA,NA,NA
"2340","MOTORCYCLE,MOTOR SCOOTERS & BIKES","Ground Vehicles","Products (All)",NA,74246.6786982711,93583.4866524853,NA,NA,NA
"2420","TRACTORS, WHEELED","Ground Vehicles","Products (All)",0,NA,43649.2318892469,NA,NA,NA
"2520","VEH POWER TRANSMISSION COMPONENTS","Ground Vehicles","Products (All)",NA,NA,9908.0703,NA,NA,NA
"2530","VEH BRAKE STEERING AXLE WHEEL COMP","Ground Vehicles","Products (All)",NA,NA,15154.5623265346,NA,NA,NA
"2540","VEHICULAR FURNITURE AND ACCESSORIES","Ground Vehicles","Products (All)",161523.216308041,NA,88915.3714492056,NA,NA,NA
"2590","MISCELLANEOUS VEHICULAR COMPONENTS","Ground Vehicles","Products (All)",NA,NA,236634.371469577,NA,NA,NA
"2610","TIRES & TUBES PNEUMATIC EXCEPT AIR","Ground Vehicles","Products (All)",NA,NA,92637.193668753,NA,NA,NA
"2815","DIESEL ENGINES AND COMPONENTS","Engines & Power Plants","Products (All)",NA,NA,16956.826956827,NA,NA,NA
"3040","MISC POWER TRANSMISSION EQ","Ground Vehicles","Products (All)",NA,12945.2317119877,16381.4297648884,NA,NA,NA
"3220","WOODWORKING MACHINES","Other","Products (All)",NA,NA,269545.841310359,NA,NA,NA
"3405","SAWS AND FILING MACHINES","Other","Products (All)",NA,NA,21262.9980433737,NA,NA,NA
"3415","GRINDING MACHINES","Other","Products (All)",30939.5170919596,NA,4688.52459016393,NA,NA,NA
"3419","MISCELLANEOUS MACHINE TOOLS","Other","Products (All)",NA,167572.752993582,681010.013589977,NA,NA,NA
"3445","PUNCHING AND SHEARING MACHINES","Other","Products (All)",50187.6824690671,179762.421938637,NA,NA,NA,NA
"3449","MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES","Other","Products (All)",NA,NA,10991.7651271035,NA,NA,NA
"3456","CUTTING AND FORMING TOOLS FOR SECONDARY METALWORKING MACHINERY","Other","Products (All)",NA,NA,9432.60684281018,NA,NA,NA
"3460","MACHINE TOOL ACCESSORIES","Other","Products (All)",NA,14143.3613901711,NA,NA,NA,NA
"3461","ACCESSORIES FOR SECONDARY METALWORKING MACHINERY","Other","Products (All)",NA,NA,15188.2689200944,NA,NA,NA
"3470","MACHINE SHOP SETS KITS & OUTFITS","Other","Products (All)",NA,NA,119847.800843845,NA,NA,NA
"3540","WRAPPING AND PACKAGING MACHINERY","Other","Products (All)",110187.682469067,NA,8718.24332950338,NA,NA,NA
"3590","MISC SERVICE & TRADE EQ","Other","Products (All)",0,1498449.79792818,6260772.30739086,NA,NA,NA
"3610","PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT","Other","Products (All)",47005252.4962327,651038.200980115,252218.256551,301057.474518686,NA,NA
"3615","PULP AND PAPER INDUSTRIES MACHINERY","Other","Products (All)",NA,NA,9494.70351881164,NA,NA,NA
"3685","SPECIAL METAL CONTAINER MFG MACH","Other","Products (All)",NA,NA,126828.963610586,NA,NA,NA
