"PlatformPortfolio","gfe_gfp_value","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Aircraft","No Government Furnished",48133887081.8564,47527502936.5857,54103201651.8027,46390304008.3508,55430344949.5117,52309273541.7186,46243588934.3942,49419110052.9298,55575804811.1027,48670566685.3172,38291238163.182,38821698945.7451,49613941312.7121,49031436267.2582,49123019751.3997,57678830821.4684,73608798812.6476,50634636126.9637,45729922990.1736,48654832394.237,37706548245.66,17537197655.3
"Aircraft","Transaction uses
Government Furnished
Equipment or Property",236375574.93,368295121.7235,833400483.4571,15095781676.4145,12647033395.2336,14962468923.3092,19403364016.2725,22840824489.7583,24209486947.3106,26212758830.4137,20840606176.2999,24174910705.0056,27007604800.7577,38581565435.266,36527553608.8848,33953006734.7504,33517063385.1048,24119188339.6687,31612309241.9361,50657389371.206,36150737488.67,24757721677.79
"Electronics, Comms, & Sensors","No Government Furnished",58458296464.8368,61791331538.7323,63559240776.5299,66844545097.1053,71746764409.1991,71680406620.9144,70827634437.3709,66736003774.198,63634739607.0519,56040706690.8415,58138012864.1976,58240592224.9788,63946460676.3607,68612678659.203,76090722388.6395,81127557810.1449,85747561982.1034,82719258695.0556,84731423599.2725,87544713244.8424,90889347542.5269,32478006045.87
"Electronics, Comms, & Sensors","Transaction uses
Government Furnished
Equipment or Property",1423736417.1615,1111357046.3397,1583814397.8982,7363559539.6437,7578690087.919,8106528927.2207,11562970164.5486,11676561475.4715,11581575429.6444,10842113971.0478,11646462064.7005,11555313352.7874,11551478808.4333,10913687371.0317,11016822053.9836,12334827283.119,12289519249.8709,11544439918.3143,16377264132.3608,19652336451.7794,21368901809.72,8872963476.01
"Electronics, Comms, & Sensors",,,,,,,277892.9864,,,,,,,,,,,,,,,,
"Facilities and Construction","No Government Furnished",57664527746.725,74626110136.9597,83331247258.2605,83537239193.3404,92407248039.1208,106777663418.501,105700707342.834,94576682254.0042,79984948361.0776,68755525449.0458,72510208652.1704,69542714610.5468,72545088474.3369,75041368119.0091,87827426381.8344,94004501284.1099,104188680311.969,97833405319.4712,100670278097.306,108842467376.963,107950529724.328,38417543380.78
"Facilities and Construction","Transaction uses
Government Furnished
Equipment or Property",18586936057.8455,12128228440.5467,12263467680.7893,12874155211.1082,13322246915.4223,19223105472.8265,16981201650.1336,12006715297.5839,18270295170.9451,16453947419.6045,18237554753.285,15940732589.8222,17339482468.5877,19239973556.0059,17577575113.1872,18692807906.864,19130538213.2647,19494160634.1323,32388300823.9943,38971076422.4974,39120351186.3101,15999282664.17
"Facilities and Construction",,,,,,,3839.48,107564.1026,,,,,,,,0,,,,,,,
"Land Vehicles","No Government Furnished",10215324817.0317,17386536012.0219,16919509814.4909,19479208117.4693,28921375639.4599,15390192539.4986,19965333670.3253,17539058940.1187,9678863245.4239,6670637655.6891,6195793210.7687,6654814152.6518,6268152485.1856,6955355025.0851,10511804708.4339,8593472468.0085,8014611360.3054,7157453110.3951,7078821349.3613,10417761254.4605,10247506729.0933,5472456133.03
"Land Vehicles","Transaction uses
Government Furnished
Equipment or Property",16682036.7185,797919549.4079,1403666111.4143,10402893640.7091,12454875728.0962,15661178383.0996,7214255881.2782,3867588936.8776,2960955421.5075,2275402823.9641,1594636617.039,2674379243.0469,3276440703.3804,3482244959.2238,4613449361.482,6551054849.9002,6041165387.5562,4875672769.4877,6195630707.4656,6999890094.9717,6517127043.82,2702697189
"Land Vehicles",,,,,,,,3428.98,,,,,,,,,,,,,,,
"Missile Defense","No Government Furnished",6850890917.5797,7241986679.0175,7745738779.0004,8170821064.7309,6846719735.8761,10169706702.9408,9818761977.7695,8516446274.4657,9394526008.1672,6107603640.0025,6571427914.1391,8023971851.363,7144791066.788,6868535364.6808,10373370700.7092,10994217998.86,13033066224.3299,10523011455.5882,8354788630.3208,5661262053.2128,7729439558.96,3094860678.33
"Missile Defense","Transaction uses
Government Furnished
Equipment or Property",-7664,0,392194171.58,1427894404.865,3510724588.2113,2078313002.6137,2592116368.8216,3566246842.4746,3282040639.511,5992138098.1562,2722066219.3687,2651906176.9413,3830643256.3867,1964713872.8878,4382367543.4072,4087687809.279,7345046693.5355,2953274134.4458,6681100997.2393,8227499745.7979,6297539815.07,2893257889.62
"Ordnance and Missiles","No Government Furnished",13297211587.8127,14174189782.1424,13553030031.1859,10655598551.2461,12913036856.3592,10562775539.4043,7632104064.1593,7614493710.8102,6926835853.1386,5359139884.8237,6152359034.3459,6004190600.6221,7605879913.3583,10663408983.3501,12388699022.066,14602553778.7895,13142736153.8114,11343423299.797,11389209576.4618,18206039421.6094,22524389128.23,8575086572.57
