"CompetitionClassification","Vehicle.sum7","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Unlabeled: Blank Extent Competed","BOA or BPA",1861738.22236286,12802.8237120113,26326234.5888968,1432476.44062082,18002395.096204,68926192.1809519,38530420.4436452,37221884.090902,40108373.8284827,177181107.041722,58625199.6659502,86353859.6840684,120633126.412713,112151330.614683,59429177.0066769,111268051.379773,93442901.4322535,166034131.173983,153061761.769077,88440253.2066435,98177342.2404334,59745223.249851,43162148.1916038,14746800.8812,26124541.3034447,515578.93309154
"Unlabeled: Blank Extent Competed","Definitive",426550624.227161,818763725.890888,279469668.710875,951893652.02625,914592957.004581,558094766.721661,161963023.628073,118544940.30978,94700650.2953649,-8395846.64891386,9728181.06930028,5074929.8974861,1589506.33357259,1206139.06828414,-1989172.16597432,1313587.79150153,1149111.24040496,1338995.95828305,24128.2425049737,938007.876670227,960696.628941639,540246.127671068,699607.860085732,79003.24,76948.260673824,-293859.393121523
"Unlabeled: Blank Extent Competed","FSS or GWAC",,,,,0,,,,,,,,,,,,,,,,,,,,,
"Unlabeled: Blank Extent Competed","Pur. Order",19107118.5213775,29093588.3787128,222153682.158006,109474089.064913,27678412.300778,59453961.1530272,24264495.98343,3232675.2824962,3050770.16544179,642267.247530947,-280496.835271957,-357883.19293562,-49201.5232097488,-32386.7169772192,,,0,,,-26837.7771880548,0,,,,0,0
"Unlabeled: Blank Extent Competed","Single-Awd.",161219944.649451,220448090.595571,290170545.531573,672933290.416667,2574081495.55713,6263476409.63258,9946519271.80248,11704149271.4492,11335301067.0931,5636556127.12255,1270807953.15996,358255401.889468,218227412.548775,107429530.175483,27123711.3353215,30963209.5725712,75910094.4495585,-499236.116579422,136957016.394796,7658763.72651267,-6513667.88982342,-7184742.66079803,-1101054.818551,-141367.9529,25899.9073841965,-75095.5426011786
"Unlabeled: Blank Extent Competed","Unlbd. IDV",30531529.0594948,0,,,157561.152155938,43006.8524243123,,,,,-2099135.83736844,-67960.4843023438,,-14512.6851358152,0,-62561.5006139673,245909.630300416,0,,0,,-1.1188817598517,,,,0
"Unlabeled: Blank Extent Competed","Unlabeled",,,,,,,,,,0,0,0,,0,0,,0,,,,0,0,0,0,0,474615.698850474
"Unlabeled: Blank Fair Opportunity","BOA or BPA",21923693.7239459,50270034.6122698,27352748.8523804,73939495.2861343,275503429.354284,2075789753.30961,2781016207.39697,2136921553.32424,2213939388.82967,3464726733.64632,627406591.923874,120836154.234394,178033402.66981,139484581.965068,59182737.1614764,98143051.4509059,38307810.1555343,63452650.3140775,75970514.0546827,42757163.65462,249099272.624951,145186900.939293,2476538.15227419,112153881.8934,28813898.0932874,18770933.6397191
"Unlabeled: Blank Fair Opportunity","FSS or GWAC",128393013.318425,231134243.242653,537933048.185311,1096800569.73869,4046774272.33024,7696808342.81175,8532378102.97125,8868197247.03353,8364725527.01111,6766889281.37806,1611091693.98533,704409106.562784,309396925.96495,118507049.684739,-4175187.20352933,-857741.350951993,-3565335.46604875,-6062902.23522218,-1274854.16731073,92350.3783313482,174372.59677364,-1598115.71013734,100684.041148171,-326972.861,-31721.0383309852,-0.0953076202409086
"Unlabeled: Blank Fair Opportunity","Multi-Awd.",9211409.01221543,34349073.4619459,67328759.9940328,159836998.774361,827442469.634031,2624535471.32202,4794229486.67085,3967404282.62661,3300189101.27431,2713423059.67871,642079793.143919,206833031.043284,65232883.9177877,44864453.712891,-56424955.5301303,-2902265.06903413,-2262932.56203994,-14784279.1629231,-3373634.65051361,758063.441137965,-1474440.10494423,-786389.574524713,-53492.3847394417,-31859.2071,-5319.5754810383,-105775.523033304
"Unlabeled: Blank Fair Opportunity","Unlbd. IDV",60901852.3686228,29894082.5892102,28444174.5828593,51576596.6684245,219928913.424207,446659184.753484,420099785.559336,270906066.629396,109344739.899261,61277227.4208377,45098467.0021181,34948414.4313278,-2314394.43569029,-303581.293211588,140513.100689312,-25399.2935850641,,0,-21066.6415215045,18227.1934174809,-3599.48516112358,-13079.0558841696,0,-16555.4199,,
"Unlabeled: Blank Fair Opportunity","Unlabeled",30121351.6513695,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,617474.711643126
"Unlabeled: Competition; Unlabeled Offers","BOA or BPA",0,0,0,0,857591.200227374,1607757.06950674,2816419.10019149,2043526.61119205,3761089.65587808,659895.317046208,2597346.88777124,20971746.0551474,12044.5763939217,526586.513236558,-6364.35256640197,2022920.75457588,1905673.94642213,1711606.3607928,-62354.5788282633,-268065.022232317,-14756.7317698796,1588792.14250246,-62144.1923550971,110772.25,42082.8460192053,35094.1719251074
"Unlabeled: Competition; Unlabeled Offers","FSS or GWAC",0,0,0,0,752966.205814317,1445909.19232071,3083661.15672374,282046.543560907,1199772.92122786,101062.31722923,-119610.38746062,0,5045839.59824013,0,0,51660.7847469896,63812.7069736014,57928.318511128,0,0,0,0,0,0,0,0
"Unlabeled: Competition; Unlabeled Offers","Multi-Awd.",,0,0,0,0,0,0,0,0,,0,,,,,,,0,,,,,,,,
"Unlabeled: Competition; Unlabeled Offers","Single-Awd.",,,,,63407.6804896267,547557.014755933,,,,,0,0,-3422.04909729582,6456.46418633994,0,,0,255711.137419122,138090.759209767,1435014.9235822,154984.715775832,129401.025626098,19022.1305579319,167079.6875,158308.280948684,434289007.268832
"Unlabeled: Competition; Unlabeled Offers","Unlbd. IDV",,0,,0,,,,,,,0,,,0,,0,,,,1316295.31448779,1902294.46195528,2160078.58009537,1367520.86113869,,,-1534.45268587863
"Unlabeled: Competition; Unlabeled Offers","Unlabeled",,,,,,,0,0,0,0,,,,,,,,,0,0,0,,,,,0
