GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,OPTAX.id,OPTAX.display-label,YEAR.id,ESTAB,RCPTOT,PAYANN,EMP
Geographic identifier code,Id2,Geographic area name,Id,2007 NAICS code,Meaning of 2007 NAICS code,Id,Type of operation or tax status code,Meaning of Type of operation or tax status code,Year,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)",Number of paid employees for period including March 12
0100000US,,United States,,335222,Household refrigerator and home freezer manufacturing,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$i
0100000US,,United States,,335224,Household laundry equipment manufacturing,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$i
0100000US,,United States,,4247,Petroleum and petroleum products merchant wholesalers,,00,Wholesale Trade,2007,,ECONF$r,,
0100000US,,United States,,42471,Petroleum bulk stations and terminals ,,00,Wholesale Trade,2007,,ECONF$r,,
0100000US,,United States,,424710,Petroleum bulk stations and terminals ,,00,Wholesale Trade,2007,,ECONF$r,,
0100000US,,United States,,42472,Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals) ,,00,Wholesale Trade,2007,,ECONF$r,,
0100000US,,United States,,424720,Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals) ,,00,Wholesale Trade,2007,,ECONF$r,,
0100000US,,United States,,42511,Business to business electronic markets,,00,Wholesale Trade,2007,ECONF$r,ECONF$r,ECONF$r,ECONF$r
0100000US,,United States,,425110,Business to business electronic markets,,00,Wholesale Trade,2007,ECONF$r,ECONF$r,ECONF$r,ECONF$r
0100000US,,United States,,443112,"Radio, television, and other electronics stores",,99,Total,2007,ECONF$r,ECONF$r,ECONF$r,ECONF$r
0100000US,,United States,,44411,Home centers,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$m
0100000US,,United States,,444110,Home centers,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$m
0100000US,,United States,,44412,Paint and wallpaper stores,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$k
0100000US,,United States,,444120,Paint and wallpaper stores,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$k
0100000US,,United States,,446199,All other health and personal care stores,,99,Total,2007,ECONF$r,ECONF$r,ECONF$r,ECONF$r
0100000US,,United States,,454111,Electronic shopping,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$m
0100000US,,United States,,4541111,"Electronic shopping, general merchandise",,99,Total,2007,,ECONF$D,ECONF$D,ECONF$i
0100000US,,United States,,454112,Electronic auctions,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$i
0100000US,,United States,,485111,Mixed mode transit systems,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$f
0100000US,,United States,,485111,Mixed mode transit systems,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$g
0100000US,,United States,,485112,Commuter rail systems,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$h
0100000US,,United States,,485112,Commuter rail systems,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$h
0100000US,,United States,,485119,Other urban transit systems,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$f
0100000US,,United States,,52212,Savings institutions,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$m
0100000US,,United States,,522120,Savings institutions,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$m
0100000US,,United States,,52213,Credit unions,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$m
0100000US,,United States,,522130,Credit unions,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$m
0100000US,,United States,,52219,Other depository credit intermediation,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$g
0100000US,,United States,,52219,Other depository credit intermediation,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$h
0100000US,,United States,,522190,Other depository credit intermediation,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$g
0100000US,,United States,,522190,Other depository credit intermediation,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$h
0100000US,,United States,,522293,International trade financing,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$f
0100000US,,United States,,522294,Secondary market financing,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$j
0100000US,,United States,,522298,All other nondepository credit intermediation,,99,Total,2012,,ECONF$D,ECONF$D,ECONF$l
0100000US,,United States,,522298,All other nondepository credit intermediation,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$l
0100000US,,United States,,5232,Securities and commodity exchanges,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$i
0100000US,,United States,,52321,Securities and commodity exchanges,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$i
0100000US,,United States,,523210,Securities and commodity exchanges,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$i
0100000US,,United States,,5239,Other financial investment activities,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$m
0100000US,,United States,,52399,All other financial investment activities,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$l
0100000US,,United States,,523999,Miscellaneous financial investment activities,,99,Total,2007,,ECONF$D,ECONF$D,ECONF$j
0100000US,,United States,,5615,Travel arrangement and reservation services,,99,Total,2007,,ECONF$r,,
0100000US,,United States,,56151,Travel agencies,,99,Total,2007,,ECONF$r,,
0100000US,,United States,,561510,Travel agencies,,99,Total,2007,,ECONF$r,,
0100000US,,United States,,62139,Offices of all other health practitioners,,A,All establishments,2007,ECONF$r,ECONF$r,ECONF$r,ECONF$r
0100000US,,United States,,621399,Offices of all other miscellaneous health practitioners,,A,All establishments,2007,ECONF$r,ECONF$r,ECONF$r,ECONF$r
0100000US,,United States,,621491,HMO medical centers,,A,All establishments,2007,ECONF$r,ECONF$r,ECONF$r,ECONF$r
0100000US,,United States,,623311,Continuing care retirement communities,,A,All establishments,2007,ECONF$r,ECONF$r,ECONF$r,ECONF$r
0100000US,,United States,,623312,Homes for the elderly,,A,All establishments,2007,ECONF$r,ECONF$r,ECONF$r,ECONF$r
0100000US,,United States,,8112,Electronic and precision equipment repair and maintenance,,A,All establishments,2007,,ECONF$S,ECONF$S,
0100000US,,United States,,81121,Electronic and precision equipment repair and maintenance,,A,All establishments,2007,,ECONF$S,ECONF$S,
0100000US,,United States,,811212,Computer and office machine repair and maintenance,,A,All establishments,2007,,ECONF$S,ECONF$S,ECONF$S
0100000US,,United States,,8132,Grantmaking and giving services,,A,All establishments,2007,,,ECONF$S,
0100000US,,United States,,81321,Grantmaking and giving services,,A,All establishments,2007,,,ECONF$S,
0100000US,,United States,,813212,Voluntary health organizations,,A,All establishments,2007,,ECONF$S,ECONF$S,ECONF$S
0100000US,,United States,,813311,Human rights organizations,,A,All establishments,2007,,ECONF$S,,
