"Column Name","Label"
"GEO_ID","Geographic identifier code"
"NAME","Geographic Area Name"
"NAICS2017","2017 NAICS code"
"NAICS2017_LABEL","Meaning of NAICS code"
"TYPOP","Type of operation code"
"TYPOP_LABEL","Meaning of Type of operation code"
"CONCENFI","Firm concentration code"
"CONCENFI_LABEL","Meaning of Firm concentration code"
"YEAR","Year"
"FIRM","Number of firms"
"ESTAB","Number of establishments"
"RCPTOT","Sales, value of shipments, or revenue ($1,000)"
"PAYANN","Annual payroll ($1,000)"
"PAYQTR1","First-quarter payroll ($1,000)"
"EMP","Number of employees"
"VAL_PCT","Sales, value of shipments, or revenue of largest firms as percent of total sales, value of shipments, or revenue (%)"
"HHI","Herfindahl-Hirschman Index (based on sales, value of shipments, or revenue) (%)"
"RCPTOT_IMP","Range indicating percent of total sales, value of shipments, or revenue imputed"
"PAYANN_IMP","Range indicating percent of total annual payroll imputed"
"EMP_IMP","Range indicating percent of total employees imputed"
