"Column Name","Label"
"GEO_ID","Geographic identifier code"
"NAME","Geographic Area Name"
"NAICS2017","2017 NAICS code"
"NAICS2017_LABEL","Meaning of NAICS Code"
"YEAR","Year"
"RCPTOT","Sales, value of shipments, or revenue ($1,000)"
"RCPTOT_S","Relative standard error for estimate of sales, value of shipments, or revenue (%)"
"PAYANN","Annual payroll ($1,000)"
"PAYANN_S","Relative standard error for estimate of annual payroll (%)"
"PAYQTR1","First-quarter payroll ($1,000)"
"PAYQTR1_S","Relative standard error for estimate of first-quarter payroll (%)"
"EMP","Number of employees"
"EMP_S","Relative standard error for estimate of number of employees (%)"
"EMPQ1PW","Production workers for pay period including March 12"
"EMPQ1PW_S","Relative standard error for estimate of production workers for pay period including March 12 (%)"
"HOURS","Production workers annual hours (1,000)"
"HOURS_S","Relative standard error for estimate of production workers annual hours (%)"
"PAYANPW","Production workers annual wages ($1,000)"
"PAYANPW_S","Relative standard error for estimate of production workers annual wages (%)"
"BENEFIT","Total fringe benefits ($1,000)"
"BENEFIT_S","Relative standard error for estimate of total fringe benefits (%)"
"BENHEA","Employer's cost for health insurance ($1,000)"
"BENHEA_S","Relative standard error for estimate of employer's cost for health insurance (%)"
"BENPEB","Employer's cost for defined benefit pension plans ($1,000)"
"BENPEB_S","Relative standard error for estimate of employer's cost for defined benefit pension plans (%)"
"BENPEC","Employer's cost for defined contribution plans ($1,000)"
"BENPEC_S","Relative standard error for estimate of employer's cost for defined contribution plans (%)"
"BENOTH","Employer's cost for other fringe benefits ($1,000)"
"BENOTH_S","Relative standard error for estimate of employer's cost for other fringe benefits (%)"
"CSTMTOT","Total cost of materials ($1,000)"
"CSTMTOT_S","Relative standard error for estimate of total cost of materials  (%)"
"CSTMPRT","Cost of materials, packaging, etc. used ($1,000)"
"CSTMPRT_S","Relative standard error for estimate of cost of materials, packaging, etc. used(%)"
"CSTRSL","Cost of resales ($1,000)"
"CSTRSL_S","Relative standard error for estimate of cost of resales (%)"
"CSTFU","Cost of purchased fuels consumed ($1,000)"
"CSTFU_S","Relative standard error for estimate of cost of purchased fuels consumed (%)"
"CSTELEC","Cost of purchased electricity ($1,000)"
"CSTELEC_S","Relative standard error for estimate of cost of purchased electricity (%)"
"CSTCNT","Cost of contract work ($1,000)"
"CSTCNT_S","Relative standard error for estimate of cost of contract work (%)"
"ELECPCH","Quantity of electricity purchased for heat and power (1,000 kWh)"
"ELECPCH_S","Relative standard error for estimate of quantity of electricity purchased for heat and power (%)"
"ELECGEN","Quantity of generated electricity (1,000 kWh)"
"ELECGEN_S","Relative standard error for estimate of quantity of generated electricity (%)"
"ELECSLD","Quantity of electricity sold or transferred (1,000 kWh)"
"ELECSLD_S","Relative standard error for estimate of quantity of electricity sold or transferred (%)"
"VALADD","Value added ($1,000)"
"VALADD_S","Relative standard error for estimate of value added (%)"
"INVTOTB","Total inventories, beginning of year ($1,000)"
"INVTOTB_S","Relative standard error for estimate of total inventories, beginning of year (%)"
"INVFINB","Finished goods inventories, beginning of year ($1,000)"
"INVFINB_S","Relative standard error for estimate of finished goods inventories, beginning of year (%)"
"INVWIPB","Work-in-process inventories, beginning of year ($1,000)"
"INVWIPB_S","Relative standard error for estimate of work-in-process inventories, beginning of year (%)"
"INVMATB","Materials and supplies inventories, beginning of year ($1,000)"
"INVMATB_S","Relative standard error for estimate of materials and supplies inventories, beginning of year (%)"
"INVTOTE","Total inventories, end of year ($1,000)"
"INVTOTE_S","Relative standard error for estimate of total inventories, end of year (%)"
"INVFINE","Finished goods inventories, end of year ($1,000)"
"INVFINE_S","Relative standard error for estimate of finished goods inventories, end of year (%)"
"INVWIPE","Work-in-process inventories, end of year ($1,000)"
"INVWIPE_S","Relative standard error for estimate of work-in-process inventories, end of year (%)"
"INVMATE","Materials and supplies inventories, end of year ($1,000)"
"INVMATE_S","Relative standard error for estimate of materials and supplies inventories, end of year  (%)"
"CEXTOT","Total capital expenditures (new and used) ($1,000)"
"CEXTOT_S","Relative standard error for estimate of total capital expenditures (new and used)  (%)"
"CEXBLD","Capital expenditures for buildings and other structures ($1,000)"
